Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,701624,-,-,-,32.77,-96.82,-6,130,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,0,0,0,0,8,1,168.17000000000002,0,0.148,2.8000000000000003,1.6380000000000001,5.300000000000001,97.29,3,1010.0
2016,1,1,0,30,0,0,0,0,0,0,8,1,170.26,0,0.148,2.9000000000000004,1.633,5.300000000000001,97.3,2,1010.0
2016,1,1,1,0,0,0,0,0,0,0,8,1,168.29,0,0.148,3.0,1.629,0.5,94.55,2,1010.0
2016,1,1,1,30,0,0,0,0,0,0,8,1,163.67000000000002,0,0.148,3.0,1.621,0.5,94.55,2,1010.0
2016,1,1,2,0,0,0,0,0,0,0,8,0,158.02,0,0.148,3.1,1.613,357.40000000000003,92.36,2,1010.0
2016,1,1,2,30,0,0,0,0,0,0,8,0,151.98,0,0.148,3.1,1.601,357.40000000000003,99.21000000000001,2,1010.0
2016,1,1,3,0,0,0,0,0,0,0,8,0,145.77,0,0.148,3.1,1.59,356.1,97.55,2,1010.0
2016,1,1,3,30,0,0,0,0,0,0,8,0,139.48,0,0.148,3.1,1.583,356.1,97.54,2,1010.0
2016,1,1,4,0,0,0,0,0,0,0,8,0,133.18,0,0.148,3.2,1.576,355.8,96.38,2,1010.0
2016,1,1,4,30,0,0,0,0,0,0,6,0,126.89,0,0.148,3.1,1.575,355.8,96.4,1,1010.0
2016,1,1,5,0,0,0,0,0,0,0,8,0,120.64,0,0.148,3.1,1.575,354.8,95.52,1,1010.0
