Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,737407,-,-,-,29.73,-95.22,-6,6,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,0,0,0,0,8,8,171.41,0,0.148,5.300000000000001,3.335,34.800000000000004,96.64,9,1020.0
2016,1,1,0,30,0,0,0,0,0,0,8,8,173.18,0,0.148,5.300000000000001,3.2800000000000002,34.800000000000004,96.65,9,1020.0
2016,1,1,1,0,0,0,0,0,0,0,8,8,169.54,0,0.148,5.4,3.225,30.8,94.5,9,1020.0
2016,1,1,1,30,0,0,0,0,0,0,8,8,163.82,0,0.148,5.4,3.169,30.8,100.0,8,1020.0
2016,1,1,2,0,0,0,0,0,0,0,8,7,157.55,0,0.148,5.5,3.114,25.400000000000002,98.24000000000001,8,1020.0
2016,1,1,2,30,0,0,0,0,0,0,8,7,151.12,0,0.148,5.6000000000000005,3.052,25.400000000000002,98.24000000000001,8,1020.0
2016,1,1,3,0,0,0,0,0,0,0,8,7,144.62,0,0.148,5.7,2.991,22.400000000000002,94.76,8,1020.0
2016,1,1,3,30,0,0,0,0,0,0,8,7,138.11,0,0.148,5.9,2.9170000000000003,22.400000000000002,100.0,8,1020.0
2016,1,1,4,0,0,0,0,0,0,0,8,6,131.62,0,0.148,6.2,2.843,24.6,95.54,8,1020.0
2016,1,1,4,30,0,0,0,0,0,0,8,6,125.15,0,0.148,6.0,2.803,24.6,95.55,7,1020.0
2016,1,1,5,0,0,0,0,0,0,0,8,5,118.74000000000001,0,0.148,5.9,2.763,24.8,90.97,7,1020.0
2016,1,1,5,30,0,0,0,0,0,0,4,5,112.4,0,0.148,5.800000000000001,2.755,24.8,91.01,7,1020.0
2016,1,1,6,0,0,0,0,0,0,0,8,5,106.15,0,0.148,5.7,2.747,26.0,88.38,7,1020.0
2016,1,1,6,30,0,0,0,0,0,0,6,5,100.0,0,0.148,5.7,2.755,26.0,88.42,7,1020.0
2016,1,1,7,0,0,0,0,0,0,0,8,4,93.99,0,0.148,5.7,2.763,23.6,87.02,7,1020.0
2016,1,1,7,30,5,0,5,14,107,18,4,4,88.14,4,0.148,5.9,2.777,23.6,87.07000000000001,7,1020.0
2016,1,1,8,0,24,0,24,43,351,89,8,4,82.5,4,0.148,6.1000000000000005,2.791,20.6,85.2,7,1020.0
2016,1,1,8,30,49,0,49,62,514,177,4,4,77.11,4,0.148,6.2,2.814,20.6,85.23,7,1020.0
2016,1,1,9,0,74,0,74,76,618,267,4,4,72.03,0,0.148,6.4,2.837,20.0,81.58,7,1020.0
2016,1,1,9,30,146,21,155,86,690,352,8,4,67.33,0,0.148,6.2,2.858,20.0,81.59,7,1020.0
2016,1,1,10,0,102,0,102,92,746,429,8,3,63.11,0,0.148,6.0,2.879,25.5,73.35000000000001,8,1020.0
2016,1,1,10,30,218,61,249,97,781,494,8,3,59.46,0,0.148,5.7,2.892,25.5,73.34,8,1020.0
2016,1,1,11,0,207,18,217,101,807,546,8,3,56.49,0,0.148,5.5,2.906,29.700000000000003,72.11,9,1020.0
2016,1,1,11,30,242,39,265,103,823,583,8,3,54.32,0,0.148,5.300000000000001,2.907,29.700000000000003,72.09,9,1020.0
2016,1,1,12,0,119,0,119,105,831,605,8,3,53.050000000000004,0,0.148,5.2,2.9090000000000003,26.0,68.01,9,1020.0
2016,1,1,12,30,131,0,131,105,834,610,8,3,52.74,0,0.148,5.2,2.9050000000000002,26.0,67.97,9,1020.0
2016,1,1,13,0,100,0,100,103,833,599,8,3,53.42,0,0.148,5.2,2.9010000000000002,23.5,68.75,10,1020.0
2016,1,1,13,30,132,0,132,101,822,572,8,3,55.03,0,0.148,5.2,2.8930000000000002,23.5,68.73,10,1020.0
2016,1,1,14,0,238,76,279,97,805,530,8,3,57.51,0,0.148,5.2,2.8850000000000002,19.0,65.09,10,1020.0
2016,1,1,14,30,201,42,221,93,778,473,8,3,60.75,0,0.148,5.1000000000000005,2.861,19.0,65.1,10,1020.0
2016,1,1,15,0,7,0,7,87,740,404,8,3,64.63,0,0.148,5.1000000000000005,2.838,15.8,65.72,10,1020.0
2016,1,1,15,30,6,0,6,79,684,323,8,3,69.04,4,0.148,4.9,2.8040000000000003,15.8,70.3,9,1020.0
2016,1,1,16,0,4,0,4,67,608,236,6,4,73.89,4,0.148,4.7,2.77,12.8,71.32000000000001,9,1020.0
2016,1,1,16,30,2,0,2,53,487,145,8,4,79.10000000000001,4,0.148,4.3,2.735,12.8,76.32000000000001,8,1020.0
2016,1,1,17,0,1,0,1,32,305,60,8,4,84.59,4,0.148,3.9000000000000004,2.7,12.4,79.27,8,1020.0
2016,1,1,17,30,0,0,0,0,0,0,8,4,90.31,0,0.148,3.9000000000000004,2.665,12.4,84.87,8,1020.0
2016,1,1,18,0,0,0,0,0,0,0,8,4,96.23,0,0.148,3.9000000000000004,2.63,14.3,85.92,8,1020.0
2016,1,1,18,30,0,0,0,0,0,0,8,4,102.29,0,0.148,3.9000000000000004,2.598,14.3,85.94,7,1020.0
2016,1,1,19,0,0,0,0,0,0,0,8,4,108.48,0,0.148,4.0,2.566,15.200000000000001,85.94,7,1020.0
2016,1,1,19,30,0,0,0,0,0,0,8,4,114.77,0,0.148,4.0,2.5380000000000003,15.200000000000001,85.96000000000001,7,1020.0
2016,1,1,20,0,0,0,0,0,0,0,6,4,121.14,0,0.148,4.0,2.511,15.600000000000001,86.10000000000001,7,1030.0
2016,1,1,20,30,0,0,0,0,0,0,8,4,127.57000000000001,0,0.148,3.9000000000000004,2.479,15.600000000000001,86.10000000000001,7,1030.0
2016,1,1,21,0,0,0,0,0,0,0,8,4,134.05,0,0.148,3.9000000000000004,2.448,14.8,86.02,7,1030.0
2016,1,1,21,30,0,0,0,0,0,0,8,4,140.55,0,0.148,3.8000000000000003,2.4130000000000003,14.8,92.14,6,1030.0
2016,1,1,22,0,0,0,0,0,0,0,6,4,147.06,0,0.148,3.7,2.378,13.5,92.26,6,1030.0
2016,1,1,22,30,0,0,0,0,0,0,6,4,153.54,0,0.148,3.7,2.343,13.5,92.24,6,1030.0
2016,1,1,23,0,0,0,0,0,0,0,6,4,159.92000000000002,0,0.148,3.7,2.309,16.5,91.91,6,1020.0
2016,1,1,23,30,0,0,0,0,0,0,6,4,166.04,0,0.148,3.7,2.2760000000000002,16.5,91.9,6,1020.0
2016,1,2,0,0,0,0,0,0,0,0,6,4,171.28,0,0.148,3.8000000000000003,2.243,17.5,91.08,6,1020.0
2016,1,2,0,30,0,0,0,0,0,0,8,4,173.11,0,0.148,3.8000000000000003,2.215,17.5,91.07000000000001,6,1020.0
2016,1,2,1,0,0,0,0,0,0,0,8,4,169.57,0,0.148,3.8000000000000003,2.188,16.5,90.49,6,1020.0
2016,1,2,1,30,0,0,0,0,0,0,8,4,163.87,0,0.148,3.8000000000000003,2.1710000000000003,16.5,90.47,6,1020.0
2016,1,2,2,0,0,0,0,0,0,0,8,4,157.62,0,0.148,3.9000000000000004,2.154,15.9,89.73,6,1020.0
2016,1,2,2,30,0,0,0,0,0,0,8,4,151.19,0,0.148,4.0,2.152,15.9,89.72,6,1020.0
2016,1,2,3,0,0,0,0,0,0,0,8,4,144.70000000000002,0,0.148,4.1000000000000005,2.1510000000000002,16.7,89.65,6,1020.0
2016,1,2,3,30,0,0,0,0,0,0,8,4,138.19,0,0.148,4.1000000000000005,2.16,16.7,89.64,6,1020.0
2016,1,2,4,0,0,0,0,0,0,0,8,4,131.69,0,0.148,4.1000000000000005,2.169,16.3,89.85000000000001,6,1020.0
2016,1,2,4,30,0,0,0,0,0,0,8,4,125.23,0,0.148,4.0,2.181,16.3,89.85000000000001,6,1020.0
2016,1,2,5,0,0,0,0,0,0,0,8,4,118.81,0,0.148,4.0,2.194,19.200000000000003,90.15,6,1020.0
2016,1,2,5,30,0,0,0,0,0,0,4,4,112.47,0,0.148,3.9000000000000004,2.207,19.200000000000003,90.15,6,1020.0
