Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,559413,-,-,-,32.01,-102.1,-6,844,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,4,5,165.38,0,0.156,1.1,1.736,253.9,80.7,9,910.0
2017,1,1,0,30,0,0,0,0,0,0,4,5,169.74,0,0.156,1.3,1.728,253.9,86.33,8,910.0
2017,1,1,1,0,0,0,0,0,0,0,4,5,170.79,0,0.156,1.5,1.72,252.0,86.72,8,910.0
2017,1,1,1,30,0,0,0,0,0,0,3,5,167.65,0,0.156,1.6,1.678,252.0,86.71000000000001,8,910.0
2017,1,1,2,0,0,0,0,0,0,0,1,5,162.45000000000002,0,0.156,1.8,1.6380000000000001,252.20000000000002,86.84,8,910.0
2017,1,1,2,30,0,0,0,0,0,0,3,5,156.53,0,0.156,1.7000000000000002,1.585,252.20000000000002,92.96000000000001,7,910.0
2017,1,1,3,0,0,0,0,0,0,0,1,5,150.34,0,0.156,1.7000000000000002,1.5330000000000001,258.0,92.17,7,910.0
2017,1,1,3,30,0,0,0,0,0,0,1,5,144.03,0,0.156,1.7000000000000002,1.504,258.0,98.71000000000001,6,910.0
2017,1,1,4,0,0,0,0,0,0,0,1,5,137.67000000000002,0,0.156,1.8,1.475,265.0,97.53,6,910.0
2017,1,1,4,30,0,0,0,0,0,0,4,4,131.32,0,0.156,1.7000000000000002,1.457,265.0,100.0,5,910.0
2017,1,1,5,0,0,0,0,0,0,0,1,4,124.99000000000001,0,0.156,1.7000000000000002,1.44,268.1,100.0,5,910.0
2017,1,1,5,30,0,0,0,0,0,0,1,4,118.71000000000001,0,0.156,1.6,1.412,268.1,100.0,4,910.0
2017,1,1,6,0,0,0,0,0,0,0,1,4,112.49000000000001,0,0.156,1.6,1.3860000000000001,267.2,100.0,4,910.0
