x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
3.205e-5,0.0006759,0.00303439,0.0,0.01114086,0.00887851,0.00063436,0.00013777,0.00872154,0.0
0.020423,0.02821176,0.05766107,0.01839835,0.11689086,0.10038796,0.03139849,0.02546784,0.09910553,0.00524118
0.15037342,0.15394595,0.19657486,0.10601998,0.28576618,0.25807046,0.16869648,0.18661719,0.27501622,0.14569738
0.31088926,0.29720681,0.35799627,0.23742738,0.43948459,0.4290854,0.33647425,0.34097266,0.41830167,0.29635944
0.46244318,0.39777276,0.47210158,0.31573148,0.60493767,0.53691959,0.49348418,0.48460604,0.56029626,0.47108064
0.53030859,0.46386578,0.50940946,0.36835014,0.68339135,0.61017281,0.55970882,0.55647266,0.61011833,0.60029421
0.5359206,0.52990517,0.59016239,0.39383227,0.73928084,0.61455127,0.59053288,0.61024889,0.64484247,0.67531885
0.52749925,0.48165555,0.59568018,0.37245224,0.68976571,0.61279553,0.59267235,0.58529236,0.62395624,0.66862794
0.4619882,0.46398793,0.5452225,0.352684,0.62379958,0.58805381,0.54807369,0.52663516,0.58085059,0.62658765
0.3572806,0.38853717,0.46326197,0.29979201,0.49023222,0.49726949,0.4160576,0.42835473,0.48211947,0.50568149
0.24340509,0.25919986,0.31456839,0.19909833,0.38261252,0.3913064,0.26904645,0.26080397,0.35399526,0.34770022
0.09623555,0.1118155,0.17554662,0.07521353,0.21803617,0.21783203,0.09972982,0.08682425,0.21472186,0.12955181
0.00532928,0.0174225,0.03659695,0.01004144,0.066185,0.06530153,0.0110161,0.00513956,0.06865244,0.00178981
0.0,0.00020808,0.00020445,0.0,0.00132101,0.00282103,6.23e-6,-0.0,0.00293315,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
