x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-0.0,0.87878788,0.26829268,0.04,0.25,-0.0,0.96078431,-0.0,0.81818182,0.78571429
-0.0,0.90909091,0.26829268,0.04,0.25,-0.0,0.92156863,-0.0,0.81818182,0.85714286
-0.0,0.84848485,0.29268293,0.04,0.25,-0.0,0.94117647,-0.0,0.83636364,0.85714286
-0.0,0.84848485,0.17073171,0.04,0.25,-0.0,0.92156863,-0.0,0.8,0.85714286
-0.0,0.87878788,0.19512195,0.04,0.25,-0.0,0.92156863,-0.0,0.78181818,0.78571429
-0.0,0.84848485,0.19512195,0.04,0.3,-0.0,0.94117647,-0.0,0.8,0.85714286
-0.0,0.81818182,0.19512195,0.04,0.3,-0.0,0.90196078,-0.0,0.8,0.92857143
-0.0,0.84848485,0.19512195,0.04,0.3,-0.0,0.90196078,-0.0,0.8,0.92857143
-0.0,0.78787879,0.24390244,0.04,0.25,-0.0,0.88235294,-0.0,0.74545455,0.92857143
-0.0,0.81818182,0.2195122,0.04,0.25,-0.0,0.8627451,-0.0,0.74545455,0.92857143
-0.0,0.72727273,0.2195122,0.04,0.25,-0.0,0.82352941,-0.0,0.8,0.71428571
-0.0,0.51515152,0.17073171,-0.0,0.25,-0.0,0.64705882,-0.0,0.76363636,0.35714286
-0.0,0.3030303,0.07317073,-0.0,0.15,-0.0,0.54901961,-0.0,0.65454545,0.35714286
-0.0,0.24242424,0.02439024,-0.0,0.1,-0.0,0.47058824,-0.0,0.30909091,0.21428571
0.16666667,0.12121212,-0.0,-0.0,-0.0,-0.0,0.21568627,0.05,-0.0,0.07142857
0.4,-0.0,-0.0,0.12,0.05,0.25,-0.0,0.325,-0.0,-0.0
0.43333333,-0.0,-0.0,0.12,0.05,0.53571429,-0.0,0.35,-0.0,-0.0
0.46666667,-0.0,-0.0,0.12,0.15,0.73214286,-0.0,0.525,-0.0,-0.0
0.43333333,-0.0,0.04878049,0.32,0.25,0.78571429,-0.0,0.625,-0.0,-0.0
0.6,-0.0,0.19512195,0.4,0.35,0.78571429,-0.0,0.675,-0.0,-0.0
0.86666667,-0.0,0.2195122,0.6,0.35,0.78571429,-0.0,0.85,-0.0,-0.0
0.86666667,-0.0,0.29268293,0.72,0.35,0.80357143,-0.0,0.85,-0.0,-0.0
0.93333333,-0.0,0.31707317,0.76,0.45,0.82142857,-0.0,0.85,-0.0,-0.0
0.93333333,-0.0,0.34146341,0.76,0.5,0.82142857,-0.0,0.875,-0.0,-0.0
