x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.00208404,-0.0,-0.0,0.00031611,-0.0,0.00281937,-0.0,0.00090189,0.00250839,-0.0
8.0,0.07142304,0.01947791,0.01192787,0.01319916,0.0059282,0.0702011,0.01342393,0.04067213,0.0679978,0.01025737
9.0,0.2227619,0.15835573,0.10694689,0.1101581,0.07659126,0.21424895,0.12722839,0.16808155,0.23247563,0.0916407
10.0,0.40230924,0.30639114,0.24588815,0.25102106,0.24851288,0.40738324,0.30647421,0.31096675,0.40319215,0.23654735
11.0,0.54809585,0.45510821,0.35797863,0.39251219,0.39213995,0.55447595,0.47415628,0.48677131,0.55261837,0.30597302
12.0,0.65013593,0.59641753,0.4605472,0.51925816,0.49291886,0.68760819,0.60601536,0.58416839,0.65025381,0.40349845
13.0,0.70957636,0.65022689,0.47112214,0.55724273,0.51598992,0.74019789,0.6668251,0.60340508,0.70445944,0.48137911
14.0,0.71292311,0.65685687,0.51015216,0.57915417,0.53634727,0.71458954,0.66631375,0.61952607,0.72557272,0.53591439
15.0,0.6710371,0.61678202,0.53019339,0.55658799,0.52702747,0.68340526,0.59369228,0.58723869,0.68255005,0.47548482
16.0,0.58129818,0.50365698,0.45933388,0.4437486,0.42328808,0.57729523,0.51393815,0.51208786,0.58537073,0.4196768
17.0,0.44170592,0.35040227,0.33811735,0.28437753,0.32758589,0.42125657,0.3394408,0.38839796,0.4307422,0.28634398
18.0,0.26639113,0.16291215,0.15622309,0.13110209,0.12243013,0.27000535,0.1700621,0.23395698,0.26238832,0.14142513
19.0,0.09484866,0.0252801,0.02610527,0.01873199,0.01539973,0.0922233,0.02428026,0.06711165,0.09189146,0.01574828
20.0,0.00890016,0.00047069,3.276e-5,0.00114807,-0.0,0.00651432,-0.0,0.00148059,0.00866356,-0.0
21.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
