x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1.0,0.49471815,0.37545477,0.46532741,0.3385998,0.87047579,0.77097681,0.79968928,0.4300503,0.48232543,0.63990985
2.0,0.38699716,0.36530955,0.43591778,0.3015196,0.90271509,0.7058342,0.83880783,0.33211232,0.42245914,0.6066497
3.0,0.33180235,0.33300288,0.37331956,0.26165778,0.94143649,0.6170142,0.85252174,0.31245778,0.34775519,0.60156288
4.0,0.28503296,0.29399081,0.3201157,0.21295475,0.92202035,0.54351246,0.85025478,0.25260808,0.28736432,0.572935
5.0,0.22744309,0.30685045,0.28271378,0.17691838,0.90795649,0.51951014,0.87151014,0.21775737,0.24977802,0.45885545
6.0,0.20576531,0.28404811,0.25964815,0.17841293,0.91151719,0.46894841,0.87483275,0.20839374,0.19816383,0.46202303
7.0,0.17907198,0.26584829,0.21215081,0.15781556,0.87124,0.43297681,0.88348174,0.19256828,0.18927148,0.43535121
8.0,0.09173309,0.28284054,0.21554207,0.14341071,0.84796947,0.35685565,0.79668696,0.16349434,0.10847,0.41274379
9.0,0.08151284,0.22750216,0.19625407,0.10853374,0.8498007,0.35699652,0.66572609,0.13553717,0.09974691,0.40692136
10.0,0.10321173,0.15253604,0.16720874,0.0825103,0.86650105,0.39153246,0.50155768,0.09381434,0.10086938,0.39190606
11.0,0.10521074,0.11091712,0.13827022,0.05744707,0.8239,0.43343565,0.42575275,0.11380162,0.11376716,0.41393197
12.0,0.12834716,0.10740685,0.16904667,0.04836384,0.8938586,0.43536986,0.37955188,0.11575677,0.1180658,0.45684924
13.0,0.12161309,0.11521207,0.20432859,0.04594909,0.86414421,0.48820551,0.32745478,0.13841838,0.10489407,0.50660591
14.0,0.12394605,0.13858703,0.26351496,0.05102404,0.80389474,0.55051043,0.30338,0.17363253,0.13690852,0.55958485
15.0,0.16042049,0.13548108,0.27717956,0.06295455,0.77995474,0.56613797,0.27716087,0.21187616,0.13811593,0.53608985
16.0,0.21274247,0.14500288,0.32839022,0.06939293,0.79200421,0.53929478,0.24875014,0.27366444,0.2079,0.56223803
17.0,0.26616358,0.17425351,0.32552607,0.12736364,0.77395509,0.65527014,0.20417275,0.27720364,0.25639852,0.55716621
18.0,0.30393765,0.1612436,0.37303333,0.15962162,0.71546982,0.74751594,0.19786754,0.27645495,0.28361716,0.57146455
19.0,0.35552012,0.19189459,0.45504178,0.21826586,0.6556814,0.82179855,0.25088464,0.31729899,0.37471062,0.61765697
20.0,0.49231321,0.30973784,0.54478504,0.26406141,0.69089193,0.89136029,0.36621159,0.35443657,0.44432877,0.68516545
21.0,0.60426568,0.41657874,0.62217556,0.23053556,0.73584175,0.93040986,0.43348609,0.51356182,0.57111568,0.73095485
22.0,0.70687025,0.4060227,0.66385733,0.25213131,0.72049684,0.89158116,0.46059101,0.60035434,0.64131617,0.70666848
23.0,0.66830296,0.44133117,0.71353896,0.33014707,0.69461509,0.84273623,0.45251536,0.58146485,0.65844556,0.74952273
24.0,0.61754494,0.44369423,0.637068,0.32154283,0.69352737,0.78498551,0.40584928,0.55927253,0.56669049,0.68909364
