x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.03846154,-0.0,0.05882353,-0.0,0.63636364,-0.0,0.04166667,0.66666667,0.64285714,0.92857143,-0.0
2.0,-0.0,-0.0,0.05882353,-0.0,0.70909091,-0.0,0.08333333,0.69047619,0.5952381,0.92857143,-0.0
3.0,-0.0,-0.0,0.02941176,-0.0,0.61818182,-0.0,0.08333333,0.66666667,0.5952381,0.85714286,-0.0
4.0,-0.0,-0.0,0.02941176,-0.0,0.67272727,-0.0,0.08333333,0.69047619,0.61904762,0.78571429,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,0.65454545,-0.0,0.08333333,0.69047619,0.64285714,0.78571429,-0.0
6.0,-0.0,-0.0,0.02941176,-0.0,0.61818182,-0.0,0.08333333,0.66666667,0.69047619,0.71428571,-0.0
7.0,-0.0,-0.0,0.02941176,-0.0,0.65454545,-0.0,0.04166667,0.66666667,0.66666667,0.78571429,-0.0
8.0,0.03846154,-0.0,0.05882353,-0.0,0.65454545,-0.0,-0.0,0.61904762,0.64285714,0.78571429,-0.0
9.0,0.03846154,-0.0,0.05882353,-0.0,0.63636364,-0.0,-0.0,0.64285714,0.5952381,0.78571429,-0.0
10.0,0.03846154,-0.0,0.05882353,-0.0,0.69090909,-0.0,-0.0,0.71428571,0.57142857,0.71428571,-0.0
11.0,-0.0,-0.0,0.02941176,-0.0,0.69090909,-0.0,0.04166667,0.54761905,0.4047619,0.42857143,-0.0
12.0,-0.0,-0.0,-0.0,-0.0,0.56363636,-0.0,0.04166667,0.4047619,0.28571429,0.28571429,-0.0
13.0,-0.0,-0.0,-0.0,-0.0,0.25454545,-0.0,-0.0,0.23809524,0.19047619,0.21428571,-0.0
14.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07142857,-0.0
15.0,-0.0,0.22222222,-0.0,-0.0,-0.0,0.11538462,-0.0,-0.0,-0.0,0.0,0.01851852
16.0,0.19230769,0.55555556,-0.0,0.04761905,-0.0,0.46153846,-0.0,-0.0,-0.0,0.0,0.27777778
17.0,0.19230769,0.59259259,-0.0,0.0952381,-0.0,0.57692308,0.04166667,-0.0,-0.0,0.0,0.57407407
18.0,0.26923077,0.66666667,0.02941176,0.19047619,-0.0,0.69230769,0.04166667,-0.0,-0.0,0.0,0.61111111
19.0,0.46153846,0.7037037,0.05882353,0.23809524,-0.0,0.92307692,0.08333333,-0.0,-0.0,0.0,0.66666667
20.0,0.65384615,0.77777778,0.08823529,0.28571429,-0.0,0.92307692,0.125,-0.0,-0.0,0.0,0.68518519
21.0,0.65384615,0.85185185,0.05882353,0.38095238,-0.0,0.88461538,0.125,-0.0,-0.0,0.0,0.68518519
22.0,0.65384615,0.88888889,0.11764706,0.38095238,-0.0,0.84615385,0.125,-0.0,-0.0,0.0,0.68518519
23.0,0.61538462,0.81481481,0.08823529,0.38095238,-0.0,0.84615385,0.125,-0.0,-0.0,0.0,0.62962963
24.0,0.61538462,0.77777778,0.05882353,0.38095238,-0.0,0.88461538,0.20833333,-0.0,-0.0,0.0,0.61111111
