x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.00307861,0.00897599,-0.0,0.00438744,0.00208025,0.00019002,-0.0,0.00841499,-0.0,0.00897854,3.88e-5
8.0,0.07240112,0.10242303,0.01290333,0.04647234,0.05271905,0.0172362,0.02249494,0.09977948,0.00611471,0.100899,0.01941408
9.0,0.23156863,0.28426181,0.1034305,0.18751498,0.19656073,0.11974946,0.19766811,0.25560871,0.14947526,0.28009049,0.13757774
10.0,0.39785267,0.45334856,0.26574802,0.35532842,0.37416761,0.23667856,0.36360452,0.42548945,0.3316542,0.42482175,0.2669757
11.0,0.50673283,0.58055795,0.37819879,0.44081184,0.54002671,0.37286627,0.51253509,0.53984754,0.52629888,0.56683897,0.39679454
12.0,0.54202722,0.65974018,0.42949801,0.53461725,0.60242499,0.42362903,0.58366358,0.61637336,0.65257346,0.61664063,0.4651385
13.0,0.61282783,0.6782971,0.44900174,0.55015321,0.64697398,0.51102518,0.60620694,0.63391038,0.74369877,0.65016271,0.51123672
14.0,0.64595561,0.67381952,0.42837202,0.49285798,0.63423875,0.47196853,0.59219494,0.61611756,0.72258221,0.62500342,0.50478036
15.0,0.58685151,0.60282541,0.40741628,0.42008852,0.59047244,0.45009803,0.51985479,0.59029234,0.66088802,0.57865651,0.48845356
16.0,0.49749887,0.49128254,0.31225342,0.38668646,0.45961605,0.36208318,0.43980275,0.49799394,0.52742222,0.4764862,0.37908575
17.0,0.34796314,0.3726505,0.18769755,0.27753315,0.30064353,0.23650608,0.27516834,0.3952483,0.34277221,0.3542658,0.25131535
18.0,0.18565453,0.20136609,0.07481172,0.1256318,0.11997651,0.10855116,0.08692844,0.22175942,0.12719893,0.21541722,0.09842495
19.0,0.04544327,0.05475667,0.00495353,0.03651916,0.01939952,0.00729725,0.00280922,0.06674044,0.00208811,0.07082237,0.00733577
20.0,0.00026196,0.00171485,-0.0,0.00058076,2.625e-5,0.0,-0.0,0.00274505,-0.0,0.00304584,-0.0
21.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
