x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.11428521,0.33173187,0.41061196,0.63198292,0.24913667,0.48704414,0.22475118,0.17426222,0.76586667,0.22011988,0.32637244
2.0,0.13564375,0.31486271,0.41137725,0.59060833,0.20588643,0.52547931,0.20698602,0.16965319,0.79770167,0.2050179,0.31738692
3.0,0.13463979,0.30066542,0.37873863,0.55744042,0.19123452,0.57738391,0.18979828,0.17020089,0.85732722,0.16895654,0.32140282
4.0,0.11427396,0.2830975,0.40656882,0.56904708,0.16661333,0.58941816,0.17785398,0.15124044,0.87277778,0.14790765,0.27920718
5.0,0.09705292,0.27554208,0.40171353,0.54468375,0.16161167,0.55667425,0.1451286,0.13256548,0.87874611,0.14281148,0.25479051
6.0,0.09714688,0.27533521,0.42985824,0.558725,0.11975619,0.53235609,0.13244409,0.10633378,0.87610056,0.12530716,0.23765205
7.0,0.07566,0.24280417,0.41765176,0.53635,0.09983071,0.56566115,0.11379183,0.09726593,0.88944444,0.1293063,0.24508577
8.0,0.06944229,0.20738375,0.38292843,0.56569875,0.08345643,0.56826,0.10560581,0.07658044,0.89926278,0.10182556,0.22813859
9.0,0.06322042,0.20669438,0.34917392,0.53412708,0.05518381,0.45746552,0.07286172,0.08096593,0.88431222,0.11042383,0.21197538
10.0,0.06791646,0.2404875,0.33244824,0.53002792,0.04095667,0.38966345,0.02479118,0.08474933,0.79439167,0.08368407,0.15980756
11.0,0.08144396,0.25476688,0.34629725,0.62175167,0.02972643,0.34320805,0.02919118,0.07812311,0.70517167,0.10397593,0.15159821
12.0,0.08642833,0.27114292,0.39197412,0.6738875,0.05219952,0.34997195,0.02970022,0.09297778,0.68250833,0.07542222,0.16305756
13.0,0.14964312,0.36360812,0.45981588,0.75651208,0.11185595,0.35395333,0.02021914,0.08745719,0.71779667,0.11036321,0.17749936
14.0,0.16435729,0.40002688,0.53407196,0.82146875,0.11113048,0.31772368,0.05386194,0.12411674,0.70936556,0.09338914,0.25732782
15.0,0.18000729,0.45413604,0.58133863,0.79331667,0.13639,0.28179724,0.06545699,0.17233289,0.65879056,0.17540444,0.29485923
16.0,0.26502271,0.59989333,0.5880349,0.8515075,0.12972357,0.30258552,0.10034645,0.202244,0.64189333,0.22807963,0.37389603
17.0,0.22928604,0.63611667,0.60829059,0.86438333,0.17808833,0.26268023,0.10977355,0.26363837,0.64406667,0.31599654,0.39595833
18.0,0.27508792,0.64856458,0.63866765,0.85764417,0.19802214,0.23302644,0.10180151,0.32651156,0.614415,0.34976679,0.41320769
19.0,0.31482396,0.63068521,0.68628451,0.80685,0.1908731,0.26522575,0.12415548,0.39960341,0.62185889,0.40602691,0.38355936
20.0,0.30463896,0.61084792,0.65352471,0.80374417,0.2168569,0.26174276,0.12956473,0.41574415,0.67763389,0.45526383,0.34013769
21.0,0.27353,0.59120833,0.64873471,0.73334792,0.18831643,0.29459195,0.16038903,0.3932923,0.61596389,0.41903914,0.33558679
22.0,0.19865375,0.51290229,0.61803686,0.72903708,0.19289571,0.28313839,0.16117398,0.35049393,0.51993111,0.3750021,0.30600513
23.0,0.17628917,0.48676229,0.59753569,0.71104667,0.19101357,0.27019839,0.19985011,0.279568,0.54565056,0.28687284,0.30508513
24.0,0.14521688,0.43036833,0.60196275,0.67304542,0.18753667,0.27601816,0.21798387,0.2366883,0.49584667,0.2381821,0.33213103
