x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.44144133,0.58071606,0.55378407,0.80472729,0.63407714,0.75542025,0.86643872,0.4712262,0.22747564,0.36903981,0.7792075
0.35823867,0.57114515,0.44020748,0.77764208,0.60374238,0.71646,0.85387513,0.4731755,0.21534205,0.34096495,0.78219583
0.36427867,0.52966394,0.39925837,0.77429917,0.55826952,0.70371556,0.83798256,0.44577318,0.20526359,0.35262781,0.78859
0.3216608,0.46415909,0.37633707,0.74769583,0.51542798,0.67825728,0.79410769,0.40931008,0.19163846,0.32699638,0.760255
0.28687333,0.39096182,0.28980667,0.70663229,0.44931976,0.64068938,0.76609949,0.38490729,0.17053179,0.31384933,0.78404188
0.20162347,0.29891212,0.25030927,0.60659542,0.39221417,0.64030247,0.72566256,0.35431333,0.14076359,0.28578019,0.77509271
0.2132488,0.25975545,0.21986537,0.59305,0.34018357,0.6528158,0.77582333,0.37080171,0.13249538,0.2502299,0.772405
0.252392,0.24121455,0.15364553,0.38156,0.21315381,0.62498543,0.72041641,0.33720837,0.09891128,0.22646971,0.75523521
0.18097493,0.17414727,0.13711577,0.40794188,0.17985417,0.54576123,0.73422359,0.29272868,0.11704949,0.1401581,0.73125688
0.12320373,0.09665636,0.13853496,0.44442812,0.17856631,0.43154148,0.74394744,0.24734605,0.07973436,0.14368762,0.70623021
0.10465973,0.08181212,0.10512878,0.49605625,0.17935369,0.40966716,0.79019897,0.16617612,0.05900923,0.17331676,0.69873417
0.081556,0.05974848,0.09139756,0.53359062,0.17903286,0.47198593,0.7452141,0.21355922,0.0527159,0.15077219,0.730865
0.08903147,0.07359636,0.09065675,0.56057104,0.20038107,0.53773926,0.70321513,0.27802574,0.05634026,0.18651848,0.74716896
0.06811467,0.08185182,0.11353789,0.57203729,0.18282012,0.58823457,0.79821128,0.31834961,0.08485385,0.2148021,0.76135083
0.07737227,0.06966939,0.12765902,0.61682729,0.25708262,0.57446864,0.77161641,0.36161566,0.11456462,0.29788057,0.77122583
0.09728907,0.06776424,0.16089041,0.59980083,0.26819798,0.59015926,0.76537487,0.39680388,0.11687744,0.27539067,0.78694917
0.11577787,0.06389909,0.21542569,0.68190708,0.28480167,0.61827753,0.75262282,0.46353054,0.12782821,0.26861333,0.80102042
0.13708213,0.07495545,0.26636829,0.78004917,0.39899881,0.65213704,0.7736159,0.48356016,0.15515564,0.30222724,0.80689938
0.17304693,0.10994788,0.35051854,0.811785,0.49269083,0.74039111,0.76119462,0.58809674,0.24726231,0.3753059,0.79912833
0.20661227,0.16244848,0.44430211,0.87364729,0.63179869,0.80257358,0.72622385,0.67367302,0.33610769,0.47307467,0.81397896
0.19406827,0.14817545,0.49791561,0.87923542,0.70381476,0.81484049,0.7391959,0.75171907,0.36248513,0.45753314,0.7802275
0.1867008,0.20484667,0.54145398,0.8927575,0.68834083,0.80290914,0.76084897,0.77034729,0.44461436,0.46629295,0.74722271
0.18542293,0.20427242,0.56046992,0.87031625,0.66152452,0.79456346,0.74219744,0.74806698,0.46223154,0.41396057,0.75147229
0.22402827,0.23978121,0.57115854,0.88700687,0.62140726,0.80904963,0.71671872,0.73122806,0.4771241,0.39851562,0.72434125
