x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,0.85690462,0.91422815,0.75060392,0.6684273,0.72238121,0.75078564,0.91671917,0.65615746,0.82246794,0.68021048,0.71316123
2.0,0.91310103,0.88984148,0.66932824,0.66728571,0.75117673,0.76295103,0.89621,0.65095683,0.83363952,0.63056286,0.70112877
3.0,0.87903231,0.8775237,0.63492569,0.63333651,0.76830473,0.77201872,0.86053972,0.62790143,0.82775905,0.61796905,0.73196247
4.0,0.87337333,0.87711704,0.61262765,0.62941873,0.75380364,0.76282385,0.85560944,0.61735905,0.85512762,0.59756333,0.67071049
5.0,0.88078821,0.8592521,0.55404549,0.60440667,0.73618485,0.74062333,0.833675,0.61799206,0.88583302,0.60606952,0.67427728
6.0,0.86276256,0.89057111,0.54317078,0.59229587,0.72008897,0.69771154,0.79887222,0.62228635,0.87622794,0.52055667,0.67533679
7.0,0.83845949,0.87465605,0.52677216,0.60257397,0.70675697,0.63429538,0.82793472,0.61787889,0.88381429,0.51165571,0.64434086
8.0,0.82292462,0.85415951,0.50418392,0.63875937,0.64718048,0.63817333,0.80959778,0.57118492,0.87413254,0.51542762,0.54230062
9.0,0.77706974,0.84702938,0.42371451,0.60615937,0.47912739,0.63963744,0.55930667,0.52930952,0.86065,0.51628667,0.42926593
10.0,0.68293923,0.79822765,0.36133118,0.56645143,0.4414263,0.47588308,0.48005722,0.44651524,0.81353873,0.4938619,0.37673716
11.0,0.62120718,0.6643084,0.35127,0.4550073,0.42393891,0.37109,0.43926306,0.33933159,0.72086159,0.32642667,0.35484914
12.0,0.59066564,0.54733877,0.33469647,0.42931778,0.38837394,0.28445385,0.47103806,0.29752159,0.72137603,0.34523905,0.32993407
13.0,0.57341872,0.55874494,0.34412843,0.47249238,0.38999139,0.27270538,0.50474278,0.29848476,0.73148825,0.42720476,0.30949148
14.0,0.58435769,0.53917753,0.33515843,0.4737419,0.40161891,0.28567692,0.59981083,0.30833698,0.75159254,0.3954081,0.35035654
15.0,0.57378462,0.53837481,0.38823647,0.5032946,0.45969806,0.31473795,0.61038417,0.31130778,0.76038825,0.44159381,0.38337407
16.0,0.57726949,0.5359316,0.39236961,0.53501841,0.46107297,0.33232667,0.63259139,0.33803841,0.73732429,0.39805,0.44215642
17.0,0.57610718,0.53652469,0.41605745,0.53892222,0.53744582,0.32848179,0.70233361,0.39138778,0.71090667,0.39077524,0.50964358
18.0,0.54546385,0.54194198,0.41724275,0.56773302,0.55609091,0.36885538,0.72852194,0.43066683,0.73079286,0.39150048,0.58536025
19.0,0.55607872,0.60207975,0.4594098,0.64747619,0.57988109,0.48394256,0.724265,0.54855349,0.73087397,0.45199,0.55064333
20.0,0.58671974,0.7174516,0.50709275,0.75540635,0.60405745,0.65309231,0.76528833,0.66682381,0.73566873,0.54647952,0.70765049
21.0,0.62670564,0.73583407,0.58212039,0.77571429,0.68486364,0.68854744,0.73845944,0.7206054,0.79567571,0.63573143,0.74519296
22.0,0.66311846,0.75520173,0.56283706,0.8489946,0.70181588,0.72366333,0.73309417,0.72477857,0.82711952,0.64942286,0.72290099
23.0,0.69845718,0.77497605,0.56561157,0.83267238,0.76880679,0.73096256,0.71880861,0.78243349,0.81044667,0.6483,0.71568383
24.0,0.64761359,0.74026049,0.64783627,0.84448825,0.76614982,0.74227436,0.76717028,0.80157778,0.86338698,0.59754381,0.72646556
