x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.84,0.04545455,-0.0,0.03125,0.69642857,0.0,0.0,0.72093023,0.0,0.08571429,0.625
0.8,0.0,-0.0,0.03125,0.67857143,0.0,0.0,0.72093023,0.0,0.08571429,0.71875
0.8,0.0,-0.0,0.03125,0.71428571,0.0,0.0,0.72093023,0.0,0.08571429,0.75
0.8,0.0,-0.0,0.0625,0.75,0.0,0.0,0.8372093,0.0,0.08571429,0.78125
0.8,0.0,-0.0,0.03125,0.78571429,0.0,0.0,0.79069767,0.0,0.11428571,0.75
0.84,0.0,-0.0,0.03125,0.80357143,0.0,0.0,0.86046512,0.0,0.08571429,0.75
0.84,0.0,-0.0,0.03125,0.76785714,0.0,0.03846154,0.86046512,0.0,0.08571429,0.71875
0.84,0.0,-0.0,0.0,0.73214286,0.0,0.0,0.8372093,0.0,0.08571429,0.71875
0.84,0.0,-0.0,0.0,0.71428571,0.0,0.0,0.8372093,0.0,0.08571429,0.71875
0.84,0.0,-0.0,0.0,0.75,0.0,0.0,0.8372093,0.0,-0.0,0.71875
0.84,0.0,-0.0,0.0,0.71428571,0.0,0.03846154,0.8372093,0.0,0.05714286,0.6875
0.8,0.0,-0.0,0.0,0.71428571,0.0,0.0,0.53488372,0.0,0.02857143,0.28125
0.52,0.0,-0.0,0.0,0.48214286,0.0,0.0,0.44186047,0.0,-0.0,0.21875
0.04,0.0,-0.0,0.0,0.01785714,0.0,0.0,0.18604651,0.0,-0.0,0.03125
0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,0.19512195,0.03125,-0.0,0.25925926,0.11538462,-0.0,0.30769231,-0.0,0.0
0.0,0.0,0.3902439,0.09375,-0.0,0.2962963,0.19230769,-0.0,0.46153846,0.02857143,0.0
0.0,0.04545455,0.51219512,0.21875,-0.0,0.37037037,0.19230769,-0.0,0.57692308,0.08571429,0.0
0.0,0.27272727,0.56097561,0.21875,-0.0,0.7037037,0.30769231,-0.0,0.69230769,0.17142857,0.0
0.0,0.31818182,0.6097561,0.25,-0.0,0.74074074,0.42307692,-0.0,0.76923077,0.14285714,0.0
0.0,0.40909091,0.70731707,0.25,-0.0,0.81481481,0.5,-0.0,0.84615385,0.14285714,0.0
0.0,0.5,0.75609756,0.375,-0.0,0.88888889,0.5,-0.0,0.88461538,0.11428571,0.0
0.0,0.45454545,0.7804878,0.375,-0.0,0.88888889,0.53846154,-0.0,0.88461538,0.14285714,0.0
0.0,0.36363636,0.80487805,0.40625,-0.0,0.88888889,0.5,-0.0,0.92307692,0.14285714,0.0
