x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.295e-5,0.0,0.00092737,0.0013896,0.00121582,0.0,0.0,0.0,0.0,0.00033683,0.00025103
0.01198608,0.00647992,0.04807733,0.05516884,0.04883816,0.00233293,0.00784863,0.00550467,0.00389584,0.02594153,0.01160387
0.12905569,0.09247754,0.19922888,0.22103971,0.21660836,0.07658425,0.08664821,0.10565693,0.0960058,0.17567019,0.10676034
0.34140578,0.28969184,0.38951344,0.41686594,0.40235834,0.29100627,0.26149646,0.32982361,0.30443826,0.36163615,0.33443894
0.47688977,0.47984112,0.54042939,0.55863569,0.56372082,0.47721487,0.43144666,0.51702729,0.48287525,0.50833166,0.52744859
0.57977934,0.63632124,0.65366841,0.66280061,0.67900726,0.61896532,0.57909814,0.65149091,0.61903393,0.60163101,0.66529059
0.64087004,0.71185628,0.72024484,0.72751285,0.72909093,0.71320785,0.64484452,0.70055149,0.68449286,0.66323591,0.73641321
0.65505479,0.71509526,0.73539454,0.73453301,0.75084678,0.72571268,0.63566107,0.72788898,0.68741474,0.65729262,0.73138165
0.62906271,0.69408766,0.70210596,0.69960273,0.71043157,0.6909191,0.62115023,0.70009102,0.62831349,0.68111082,0.70874414
0.5491538,0.59998404,0.61339811,0.60586626,0.62400793,0.58605133,0.55923201,0.59767915,0.54221052,0.60041546,0.6338648
0.42225523,0.46786321,0.49106726,0.48530464,0.49147828,0.42413066,0.41050732,0.44165626,0.38549412,0.47947826,0.44802238
0.23055137,0.24014709,0.32469148,0.31909053,0.32533729,0.19143601,0.24646387,0.2323109,0.19793494,0.30013013,0.23846602
0.05383172,0.04884824,0.13759787,0.1279075,0.14465188,0.02176419,0.05996954,0.04507924,0.02716533,0.1114803,0.05112208
0.00376113,0.00102012,0.02255596,0.01854162,0.02304965,0.00026972,0.00141551,0.00072943,0.00019114,0.00656439,0.0029671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
