x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,9767.6639144,9988.09892117,10087.8261565,9583.28342867,12869.54709205,9856.92604376,11859.95130708,9876.95356029,9759.13005462,9843.72373477,12755.25800339
2.0,9269.76733596,9504.48432094,9579.19390986,9125.82662116,12171.44056778,9391.84475977,11207.07345438,9371.77869181,9269.12874847,9245.86898198,12069.20137322
3.0,8958.57312589,9209.93069728,9247.52580458,8867.07305098,11676.21714703,9122.77579361,10755.42548832,9078.59371848,8972.76497442,8913.26159454,11611.31875361
4.0,8761.68333576,9067.0396592,9066.70588057,8729.29434425,11390.15684376,8997.29004829,10483.62335149,8928.07440012,8822.84969045,8699.43777767,11347.23235334
5.0,8689.13125161,9081.94153724,9101.06956959,8737.87928682,11359.64673565,9045.50245932,10443.31581928,8945.94191074,8832.99831269,8645.92353448,11336.39549589
6.0,8828.02783851,9345.30508386,9527.96662069,8993.85390492,11688.89380387,9393.4747595,10764.09153502,9261.69742025,9107.91601792,8817.93698364,11709.81837229
7.0,9285.62081995,9927.08156702,10249.22920106,9613.8564623,12123.36331952,10119.09937992,11225.02462893,9914.24148456,9712.82883414,9276.14694971,12195.63883503
8.0,9871.93189184,10476.81144406,10520.82750244,10238.88973627,12314.33383858,10745.92892046,11437.25102845,10440.81778706,10270.05714541,9813.80024658,12387.94158026
9.0,10088.08185844,10661.98356866,10790.20055277,10444.53375019,13081.69217765,10945.78173566,12174.40546392,10647.89997267,10482.25775936,10128.57438746,13123.3364962
10.0,10393.36251673,10950.80521505,11317.35486745,10603.3137431,14191.85640273,11251.16452662,13168.76385866,10980.8792918,10768.38675405,10505.7631571,14194.55084537
11.0,10836.94944023,11315.31423704,11886.49119405,10808.88068536,15334.44289711,11658.39796294,14194.3907674,11366.60272329,11167.16426065,10899.60608867,15296.27738097
12.0,11215.34482586,11617.26861725,12367.81704375,10931.70342152,16334.64641675,11994.39573328,15089.33600866,11710.67231834,11538.09250105,11158.16476478,16251.71182539
13.0,11445.075065,11857.48446432,12775.01522916,10964.81288585,17110.87926998,12219.01643356,15801.16600404,11975.55858349,11797.55079764,11277.82619201,16998.52465131
14.0,11561.4408605,12036.24000286,13196.76011791,10944.81633092,17772.87172929,12396.91048228,16384.58380297,12207.38735272,12012.32877231,11273.39879975,17646.48266937
15.0,11647.04475898,12194.13574452,13538.54064866,10952.53079802,18279.18327006,12495.12189989,16782.45796491,12412.90661088,12192.32990335,11228.88942898,18111.07022122
16.0,11652.6153596,12279.78432449,13816.33932117,10958.2461034,18592.47017979,12516.79320422,17056.53257468,12554.67441177,12299.54152951,11153.06568031,18447.13666798
17.0,11624.591267,12294.90270869,13951.23875469,10965.14479882,18643.62538741,12480.87883146,17087.1835695,12594.87799951,12341.49703103,11081.78725891,18532.62465435
18.0,11528.14156055,12187.7509081,13810.22236561,10962.78867687,18392.67671297,12295.7369708,16802.32440434,12467.5853498,12227.54547174,11034.60150222,18279.1152162
19.0,11532.41860965,12231.94761302,13374.18804786,11078.47507582,17738.96291586,12249.45038259,16123.80260713,12369.38615504,12167.4952321,11229.55928561,17634.67703456
20.0,11781.12684766,12511.16842006,13123.20313591,11454.16973774,17079.61904784,12449.44680423,15470.66227696,12477.58730006,12353.98729719,11727.94719733,16993.86397699
21.0,11784.30121725,12338.74384477,13123.82642402,11478.72845799,16746.0505806,12280.41084119,15257.6834216,12363.09392336,12291.11164378,11768.77492834,16657.73800239
22.0,11521.68807345,11957.92546277,12631.08628054,11192.51946065,16162.69417623,11887.02150765,14742.08876565,11981.04270621,11935.9777414,11545.66093797,16044.73263535
23.0,11041.3210398,11382.47133749,11787.54483225,10655.89636815,15106.0545138,11270.39105731,13801.20583228,11343.48420615,11343.55542934,11132.4448289,14980.33356065
24.0,10335.66611531,10624.74703043,10829.75104619,9949.04049544,13962.86579714,10520.09828813,12750.56317597,10558.98018203,10593.56092773,10544.10913841,13843.23213532
