x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1.0,11954.1342863,14652.45172765,12165.14561522,13332.92097029,12234.96015194,12882.08071261,13235.83275739,17122.45618853,13291.52005633,17126.9690275,12744.02826586
2.0,11257.4387058,13706.53425266,11453.68043662,12513.5107848,11559.0188628,12320.56510832,12608.49128472,16012.52013901,12846.46039309,16020.91335952,12071.16004899
3.0,10824.38730314,13069.24117001,11060.25463641,11970.20006592,11178.95289655,12050.56796324,12296.4687951,15224.30110711,12686.26012845,15234.30803965,11717.79503045
4.0,10614.79487964,12678.22460591,10871.37918348,11667.50277703,11018.06334576,11970.71442131,12195.42774419,14714.05070053,12727.14319116,14717.82429299,11577.54730014
5.0,10681.4260168,12585.27617056,10869.33037911,11623.78685046,11092.51369598,12104.00811589,12311.21987545,14550.01642414,12978.04485469,14539.33580598,11662.26111981
6.0,11318.12161321,13048.82955263,11162.01630558,12009.82152234,11592.75296873,12571.90355712,12823.22541806,14898.26486573,13498.06800201,14875.19373286,12116.79069629
7.0,12652.92474638,14043.69554714,11940.17265316,12920.37107448,12679.78579634,13643.43517886,13982.5844223,15647.26449476,14532.37987078,15591.56673889,13205.65903509
8.0,13332.66438476,14616.6327563,13052.47374128,13755.04300213,13677.61285123,15136.39373025,15303.97451216,16170.18606945,15972.25052298,16059.37804906,14501.14827992
9.0,13659.95811425,15220.62658525,13613.56721066,14278.86824638,14100.95612858,15759.68027003,15718.27417372,17191.64372926,16826.28594684,17007.88966697,14982.26042837
10.0,14237.11901542,16180.40591325,13839.7385319,14917.43390801,14407.87083468,15695.84483138,15638.59933579,18648.94512196,17016.80528053,18403.76070484,14985.22746415
11.0,14895.33215192,17288.13631963,14047.36034735,15657.95050316,14719.53443384,15576.58412819,15535.40321413,20337.89270169,17004.90415523,20006.24958526,15055.87488061
12.0,15463.07014453,18338.00447313,14131.82885135,16306.54801942,14952.61037838,15374.32812992,15398.24087904,21966.97023631,16778.11378151,21546.44773285,15070.55433026
13.0,15997.65922759,19334.36482051,14106.95262132,16802.86741259,15126.51829896,15056.61748793,15199.6850684,23456.49118674,16323.27873135,22929.35188858,15011.89332068
14.0,16582.39211021,20303.18515531,14046.28806784,17202.71883896,15334.65028643,14731.05855343,15044.01701257,24801.10492847,15821.81130538,24171.86075593,14962.71953474
15.0,17054.95217842,21093.27237959,13999.38724864,17526.3269939,15539.27336753,14470.89869985,14926.41782618,25772.63654866,15346.21128747,25090.72184718,14926.52511734
16.0,17442.58184486,21712.1143044,13897.75194187,17752.98717476,15682.08727208,14232.67941,14798.16508108,26373.07405229,14918.43668836,25690.07983529,14851.89172051
17.0,17744.17344228,22096.89232007,13854.09720111,17863.87962338,15776.13874464,14110.32331207,14725.74556055,26615.55469195,14715.86177489,25901.52683558,14806.52729499
18.0,17744.61707666,22020.58131879,13913.67219799,17755.66931385,15750.92082668,14170.83120241,14688.88061363,26414.03843118,14891.22166692,25671.54786974,14803.9098003
19.0,17361.87276749,21407.26184345,14330.41860874,17493.72146029,15718.65014192,14650.57894593,15009.5379433,25725.49024875,15821.32089085,24943.8402516,15067.97502224
20.0,16855.45506067,20616.44354065,15017.08559495,17346.86628847,15802.35690685,15516.42914272,15634.45335271,24557.92499475,17072.41924654,23851.61913154,15601.85480117
21.0,16875.22998034,20138.27393679,15102.01585766,17268.0507914,15677.82520117,15690.31962122,15585.91387786,23620.31970467,17335.85457476,22986.7515168,15614.4419015
22.0,16235.94903179,19428.10191326,14853.04348141,16778.46010888,15217.21187139,15478.0268038,15225.37735283,22653.13205821,17347.45732659,22074.42140556,15252.41119145
23.0,14863.78155905,17917.78323627,14298.78441995,15696.66271641,14245.41794118,14866.77821813,14519.04362857,20864.04120977,17040.12611964,20338.12021446,14506.63983006
24.0,13308.74385019,16238.39750915,13381.54886013,14355.37967579,13032.96474122,13887.23251929,13497.11634285,18957.9728157,16263.23821454,18465.43106436,13410.53181869
