x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
8408.15698035,8103.47980397,11202.27230451,10302.16600503,11090.05028305,8516.20647888,8124.18786675,8226.99021579,8388.94855707,8369.73005194,8439.36976771
7904.56107759,7577.48854252,10438.65866866,9617.84689816,10342.53586522,7999.49453215,7555.9212081,7724.89656048,7897.18285571,7812.32066009,7884.05663074
7573.16980557,7305.30283304,9888.42228328,9151.99188584,9798.72222789,7695.79036035,7206.01478103,7440.45303137,7624.04232549,7486.00412199,7553.29446694
7403.90959613,7185.92589519,9525.98584867,8862.72777442,9444.60379923,7544.9201943,6994.24619835,7303.09802823,7497.7400153,7296.50023114,7382.49776528
7372.28887229,7196.75738098,9370.0168519,8768.48323816,9283.02041916,7522.52737916,6913.73307601,7301.87728542,7519.75370418,7288.4900234,7353.32483722
7624.20092502,7458.01199685,9571.63011088,9015.64575433,9478.80161125,7742.7800957,7035.01941945,7555.17247465,7815.50730563,7625.76237886,7575.26870463
8234.05720311,8138.34870871,10030.28095119,9560.41610592,9927.43953401,8350.82681572,7519.80709071,8226.79706261,8530.42464697,8383.63407949,8163.66532571
8777.69029023,8965.89468182,10233.42616857,9796.83011072,10124.47409278,9054.07295598,8213.20923814,8959.92085477,9309.16106185,8811.19388682,8884.75050185
9033.41471086,9279.17119579,10897.50224066,10290.28160086,10763.52533213,9318.79646489,8547.31963237,9198.10199092,9515.284904,9048.51428775,9268.05425391
9382.23266901,9368.60895848,11866.97680367,11080.83553197,11718.55482691,9465.84132458,8818.24447818,9309.90554102,9612.70413758,9465.2554418,9562.93044442
9749.46779804,9444.62798644,12934.73744397,11956.95029844,12781.10993827,9664.32851158,9175.08022776,9462.08769089,9762.02609768,9934.07289268,9904.507269
10053.88137463,9447.71972196,13942.73314395,12786.01181699,13766.70339194,9836.71852753,9473.90373269,9583.77959155,9898.8933232,10353.84484041,10156.60145323
10288.14942162,9387.95144382,14864.72697836,13538.26303537,14654.84549547,9984.9495545,9666.08482293,9678.61133024,10003.02473838,10738.14155156,10339.55804423
10508.22602879,9358.79672853,15671.93877734,14228.54942814,15441.04256814,10137.39505819,9818.73220265,9785.17216573,10114.31287254,11120.45737529,10500.66870115
10696.0440835,9343.13911645,16307.83028907,14798.80202622,16060.29372161,10284.37309299,9935.48368135,9888.04220039,10232.90839761,11454.13926478,10624.26926449
10851.5572601,9357.83068186,16714.22171145,15243.10341357,16492.58888737,10403.27027326,10014.1858121,9994.52553667,10320.90970382,11720.73235672,10720.51513107
10958.48662779,9399.85033431,16890.00315187,15514.46686204,16727.65337668,10476.29903606,10059.47503,10072.58835942,10371.56650614,11898.7819251,10777.49927158
10941.04258672,9458.99170755,16775.57745581,15458.45063397,16649.4494583,10463.99401785,10060.96126495,10077.3586596,10332.59693025,11877.57186489,10778.98560544
10854.07582747,9615.25566056,16366.90346919,15030.42624308,16217.40266458,10489.93141192,10083.9618907,10143.56899183,10356.21414075,11637.3118663,10789.10802083
10973.5187833,10119.94498866,15661.16518165,14400.80887729,15533.55590316,10856.81779412,10367.06793408,10494.9367678,10696.76507261,11365.95164633,11093.29679252
10896.39178708,10277.88025177,15192.41710151,14084.9399093,15089.70286389,10763.89883716,10478.04892579,10526.29075168,10640.32720318,11413.47625258,11158.83453924
10518.77581606,10047.94651262,14627.07865353,13590.4727391,14541.4486268,10390.0328189,10225.26455616,10211.27390034,10285.45695861,10991.88461699,10893.30155009
9863.33961682,9516.74116387,13538.13803804,12562.77456094,13462.05913941,9809.71851283,9729.52539363,9636.09118492,9704.14769286,10160.93319735,10357.96655928
9042.40739651,8758.34806923,12306.18029282,11375.41667016,12232.99370611,9019.94040869,9015.08555501,8850.27291387,8956.72098626,9153.01897948,9614.70765252
