x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
3.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
4.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
5.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
6.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
7.0,2.828e-5,0.00662463,0.00237692,0.00884551,0.00022043,0.0,0.01052256,0.00075238,0.00084583,0.00927128,0.0,-0.0
8.0,0.03142093,0.08293638,0.05026874,0.10040731,0.02078334,0.01499704,0.11650899,0.03189054,0.02449151,0.10376301,0.02701133,0.00624885
9.0,0.17971517,0.23594541,0.21619562,0.28289538,0.13490595,0.08822167,0.28209428,0.17710173,0.10985971,0.27083619,0.20884202,0.14545756
10.0,0.35056465,0.40751354,0.38963235,0.42721028,0.27687394,0.20303476,0.43138083,0.35714299,0.20404204,0.44316277,0.39246897,0.32483589
11.0,0.49947497,0.50584747,0.49298826,0.56832732,0.42281644,0.29274681,0.60179115,0.53854644,0.29504003,0.5527072,0.52877495,0.49810477
12.0,0.58618981,0.52654439,0.54067571,0.62377323,0.48140899,0.3317095,0.67854667,0.59978614,0.37395768,0.63131132,0.59874067,0.63172947
13.0,0.60140451,0.5949416,0.56249997,0.66284324,0.57763877,0.34541134,0.74097429,0.62411364,0.44676951,0.62514422,0.64088541,0.73460881
14.0,0.59644348,0.58489808,0.51299956,0.63732993,0.52947995,0.32614805,0.69347539,0.63026558,0.44210029,0.64264398,0.61524754,0.70369646
15.0,0.5153804,0.55996657,0.52115352,0.58250061,0.50887228,0.32894317,0.63665458,0.56803363,0.44653703,0.59546693,0.53369264,0.62677058
16.0,0.42245824,0.47894553,0.43234901,0.47677046,0.40952326,0.25992313,0.52539479,0.41914544,0.39748419,0.48992966,0.43657853,0.5154444
17.0,0.27061538,0.35155936,0.26242216,0.35936103,0.26917794,0.17433611,0.37899677,0.27310262,0.28316305,0.39425876,0.26846735,0.32407637
18.0,0.12010858,0.18854133,0.1262212,0.21504197,0.12487779,0.06614796,0.21655002,0.09809455,0.12608183,0.21925822,0.08438777,0.13408941
19.0,0.01298812,0.05024275,0.02458212,0.07067864,0.01045251,0.00754622,0.06158986,0.01239121,0.01553761,0.06857468,0.00443783,0.00399909
20.0,-0.0,0.00108014,0.00085675,0.002982,0.0,0.0,0.00062262,1.709e-5,-0.0,0.0031111,0.0,-0.0
21.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
22.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
23.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
24.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
