x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0.0,0.02439024,0.17647059,0.0,-0.0,-0.0,0.89655172,0.75,0.66,0.81481481,0.06666667,0.94117647
0.0,0.04878049,0.17647059,0.03571429,-0.0,-0.0,0.86206897,0.75,0.7,0.85185185,0.06666667,0.94117647
0.0,0.07317073,0.11764706,0.0,-0.0,-0.0,0.89655172,0.66666667,0.64,0.81481481,0.03333333,0.97058824
0.0,0.07317073,0.17647059,0.0,-0.0,-0.0,0.79310345,0.66666667,0.66,0.85185185,0.1,0.97058824
0.0,0.02439024,0.17647059,0.0,-0.0,-0.0,0.82758621,0.83333333,0.68,0.85185185,0.06666667,0.94117647
0.0,-0.0,0.11764706,0.0,-0.0,-0.0,0.79310345,0.83333333,0.76,0.85185185,0.03333333,0.91176471
0.0,0.02439024,0.11764706,0.0,-0.0,-0.0,0.82758621,0.83333333,0.74,0.88888889,0.03333333,0.91176471
0.0,0.02439024,0.11764706,0.0,-0.0,-0.0,0.79310345,0.83333333,0.72,0.88888889,0.06666667,0.94117647
0.0,0.04878049,0.11764706,0.0,-0.0,-0.0,0.82758621,0.83333333,0.68,0.88888889,0.1,0.91176471
0.0,0.02439024,0.17647059,0.0,-0.0,-0.0,0.68965517,0.83333333,0.66,0.85185185,0.1,0.85294118
0.0,-0.0,0.05882353,0.0,-0.0,-0.0,0.48275862,0.5,0.62,0.81481481,0.06666667,0.76470588
0.0,-0.0,0.05882353,0.0,-0.0,-0.0,0.20689655,0.33333333,0.66,0.66666667,-0.0,0.64705882
0.0,-0.0,0.0,0.0,-0.0,-0.0,0.17241379,0.25,0.38,0.44444444,-0.0,0.5
0.0,-0.0,0.0,0.0,-0.0,-0.0,0.10344828,0.08333333,-0.0,0.11111111,-0.0,0.23529412
0.0,0.04878049,0.0,0.03571429,0.12121212,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
0.20833333,0.19512195,0.0,0.03571429,0.39393939,0.24519261,-0.0,0.0,-0.0,0.0,0.03333333,-0.0
0.33333333,0.2195122,0.0,0.03571429,0.47534657,0.45,-0.0,0.0,-0.0,0.0,0.06666667,-0.0
0.58333333,0.31707317,0.0,0.10714286,0.57575758,0.45,-0.0,0.0,-0.0,0.0,0.06666667,-0.0
0.625,0.53658537,0.0,0.35714286,0.84848485,0.45,-0.0,0.0,-0.0,0.0,0.1,-0.0
0.66666667,0.58536585,0.0,0.39285714,0.87878788,0.475,-0.0,0.0,-0.0,0.0,0.1,-0.0
0.66666667,0.6097561,0.0,0.42857143,0.90909091,0.5,-0.0,0.0,-0.0,0.0,0.1,-0.0
0.66666667,0.63414634,0.05882353,0.57142857,0.93939394,0.575,-0.0,0.0,-0.0,0.0,0.1,-0.0
0.70833333,0.65853659,0.11764706,0.57142857,0.93939394,0.575,-0.0,0.0,-0.0,0.0,0.1,-0.0
0.66666667,0.65853659,0.11764706,0.53571429,0.96969697,0.6,-0.0,0.0,-0.0,0.0,0.1,-0.0
