x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.00753496,0.0,0.01000641,0.00010751,0.0,0.00920351,0.00013484,-0.0,0.00822298,0.00236934,0.00396464,0.00019486
0.08012158,0.00538909,0.08331498,0.01403169,0.00894202,0.0943377,0.0151813,0.00290699,0.09187873,0.03722113,0.0685415,0.02172155
0.23840348,0.07957013,0.2467566,0.13175887,0.1453693,0.2613813,0.1307754,0.13906091,0.2578782,0.18280149,0.21440186,0.11783268
0.41332873,0.20140328,0.38906896,0.31598934,0.30292341,0.42498596,0.29277802,0.32684531,0.42608995,0.34648723,0.37049018,0.28655457
0.53877205,0.3125023,0.56185742,0.44275754,0.44015672,0.55525534,0.43416408,0.49586926,0.56323443,0.49476009,0.50684216,0.35864202
0.62533383,0.41071756,0.66177056,0.56253511,0.56833891,0.64265328,0.54742495,0.62309328,0.66631685,0.56707981,0.58398999,0.43360998
0.70181121,0.44879801,0.74028641,0.61327435,0.59067703,0.71685354,0.6447328,0.69570509,0.69721521,0.60889825,0.63235393,0.4601407
0.67570841,0.44109794,0.75210877,0.605863,0.62376711,0.69542055,0.68343027,0.67946544,0.70776865,0.62000924,0.61226405,0.51858805
0.63941473,0.41185452,0.70097091,0.57104058,0.57467983,0.64273433,0.64920292,0.56562229,0.66599612,0.58307285,0.59253572,0.48819758
0.54983841,0.38145957,0.59886615,0.47886224,0.4602552,0.54158206,0.49852338,0.49288941,0.53823452,0.46768688,0.50516155,0.39333821
0.40910971,0.27096121,0.43838533,0.33711849,0.29225708,0.42347693,0.34753147,0.36589591,0.39787914,0.32844017,0.36689052,0.27352392
0.22030643,0.10671588,0.25746443,0.1362751,0.09184666,0.25975365,0.14533045,0.13211528,0.23444666,0.13596417,0.20249162,0.10786107
0.06508892,0.01287669,0.0852751,0.0141764,0.00524152,0.09554442,0.01839455,0.00515356,0.08904704,0.02761683,0.05965276,0.01589308
0.00635012,0.0,0.00562752,0.0,0.0,0.00949627,0.0,-0.0,0.00917939,0.00102088,0.002067,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
