x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,0.79148579,0.68912306,0.57095391,0.41739828,0.79382121,0.34713521,0.47388111,0.5555587,0.75430167,0.96031746,0.36247452,0.51400989
2.0,0.76427035,0.67317514,0.56530348,0.35068215,0.7807303,0.33151437,0.47611611,0.44611935,0.7274137,0.94627365,0.31945143,0.49241011
3.0,0.74502807,0.65215405,0.51458261,0.33706237,0.8163697,0.32167667,0.47259185,0.41537675,0.72393889,0.9384127,0.3454431,0.40503892
4.0,0.70649965,0.59053676,0.45376638,0.28852839,0.79984424,0.30527167,0.43845333,0.3975335,0.69377352,0.90881333,0.32136452,0.38714925
5.0,0.67747842,0.50055333,0.38677188,0.26897978,0.79180485,0.26813062,0.46146426,0.30325187,0.65381685,0.87912857,0.31993071,0.35204172
6.0,0.65269368,0.41918216,0.29014609,0.22048559,0.72022606,0.25024396,0.45774519,0.26245837,0.55657407,0.8605819,0.30084619,0.30926989
7.0,0.70470912,0.34854919,0.25541826,0.22698882,0.7202697,0.24068354,0.48550259,0.24235772,0.52546685,0.83781968,0.2612719,0.29991032
8.0,0.69741544,0.24086883,0.24806377,0.23824129,0.65920727,0.19577208,0.45622481,0.16165821,0.37631204,0.73589238,0.23493,0.19940688
9.0,0.66851421,0.21604018,0.18544116,0.20339527,0.58615939,0.20026812,0.40361222,0.15966195,0.33523444,0.77820825,0.13521262,0.15381828
10.0,0.62845719,0.21322486,0.11670406,0.14857269,0.50927152,0.12826583,0.35375056,0.16452862,0.3716263,0.77866127,0.13111357,0.15451935
11.0,0.64093333,0.20846505,0.09467333,0.07277462,0.48630303,0.08826375,0.29637426,0.12714976,0.43133389,0.82919333,0.1577331,0.1754729
12.0,0.63333,0.18447766,0.06288754,0.0687372,0.44329879,0.10321062,0.35174148,0.11617122,0.45427833,0.88006286,0.1492581,0.20807011
13.0,0.63778561,0.19951676,0.07769188,0.09405376,0.42417636,0.13297167,0.43367796,0.12088667,0.46409667,0.89950476,0.18615929,0.21811677
14.0,0.71080474,0.20286757,0.08634667,0.10389935,0.41112909,0.16543771,0.47689093,0.14440358,0.47821111,0.92563746,0.22950333,0.17437032
15.0,0.70807667,0.2375209,0.08038087,0.12172022,0.40575818,0.1949275,0.51132648,0.15745154,0.50140704,0.93365079,0.31252,0.28234172
16.0,0.71301789,0.27358486,0.08392348,0.14256688,0.3768897,0.20820021,0.56077074,0.19440163,0.4785663,0.93368063,0.29105881,0.25709247
17.0,0.71047825,0.3057182,0.08107565,0.1489443,0.36474727,0.21604958,0.63371889,0.25474358,0.55711315,0.95037238,0.26834786,0.2887157
18.0,0.73094281,0.40081586,0.09264116,0.17715763,0.37098909,0.25484,0.64290963,0.31495707,0.65618981,0.9631746,0.27056786,0.39685376
19.0,0.76108737,0.52491604,0.13787536,0.25151097,0.38771394,0.34612958,0.6919013,0.40468325,0.70272556,0.93603683,0.3302169,0.46893204
20.0,0.76107035,0.64477009,0.19241362,0.34984301,0.35139455,0.42675146,0.74029056,0.46959447,0.81570574,0.94688127,0.42922762,0.59402151
21.0,0.77009772,0.71364955,0.19139101,0.40454409,0.27836485,0.44363125,0.77615352,0.50884862,0.85596037,0.94688032,0.39472405,0.63222753
22.0,0.78118018,0.71549604,0.25788116,0.42655398,0.19779152,0.50463917,0.78187241,0.5503213,0.87772259,0.95368063,0.37498667,0.59334452
23.0,0.77246526,0.69507658,0.27510116,0.43346581,0.16780485,0.50884271,0.74979093,0.54796488,0.86559093,0.9490527,0.30856,0.5909714
24.0,0.76310649,0.62077532,0.30848638,0.46269699,0.16632061,0.52128604,0.72611833,0.56676829,0.87764926,0.91135175,0.27697857,0.61765548
