x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,-0.0,0.89189189,0.08695652,1.0,0.72727273,-0.0,0.86111111,-0.0,0.02777778,0.66666667,0.28571429,0.74193548
2.0,-0.0,0.86486486,0.08695652,0.96774194,0.81818182,-0.0,0.86111111,-0.0,0.02777778,0.66666667,0.28571429,0.77419355
3.0,-0.0,0.89189189,0.08695652,1.0,0.81818182,-0.0,0.86111111,-0.0,0.02777778,0.57142857,0.32142857,0.77419355
4.0,-0.0,0.83783784,0.08695652,1.0,0.81818182,-0.0,0.86111111,-0.0,0.02777778,0.57142857,0.14285714,0.74193548
5.0,-0.0,0.83783784,0.08695652,0.96774194,0.72727273,-0.0,0.86111111,-0.0,0.02777778,0.61904762,0.21428571,0.70967742
6.0,-0.0,0.86486486,0.13043478,0.96774194,0.81818182,-0.0,0.86111111,-0.0,0.02777778,0.66666667,0.17857143,0.70967742
7.0,-0.0,0.86486486,0.13043478,0.93548387,0.90909091,-0.0,0.83333333,-0.0,0.02777778,0.66666667,0.17857143,0.67741935
8.0,-0.0,0.86486486,0.08695652,0.93548387,0.90909091,-0.0,0.86111111,-0.0,0.02777778,0.66666667,0.21428571,0.67741935
9.0,-0.0,0.75675676,0.08695652,0.93548387,0.90909091,-0.0,0.80555556,-0.0,0.02777778,0.61904762,0.25,0.70967742
10.0,-0.0,0.75675676,0.08695652,0.93548387,0.90909091,-0.0,0.80555556,-0.0,-0.0,0.66666667,0.25,0.67741935
11.0,-0.0,0.83783784,0.08695652,0.96774194,0.72727273,-0.0,0.63888889,-0.0,-0.0,0.61904762,0.25,0.67741935
12.0,-0.0,0.75675676,-0.0,0.77419355,0.36363636,-0.0,0.30555556,-0.0,0.02777778,0.61904762,0.21428571,0.70967742
13.0,-0.0,0.67567568,-0.0,0.61290323,0.36363636,-0.0,0.25,-0.0,-0.0,0.33333333,0.07142857,0.61290323
14.0,-0.0,0.35135135,-0.0,0.48387097,0.27272727,-0.0,0.25,-0.0,-0.0,0.19047619,-0.0,0.35483871
15.0,0.05263158,-0.0,-0.0,0.19354839,0.09090909,0.09375,0.13888889,-0.0,0.05555556,0.04761905,-0.0,0.09677419
16.0,0.23684211,-0.0,0.13043478,-0.0,-0.0,0.375,-0.0,0.31707317,0.16666667,-0.0,-0.0,-0.0
17.0,0.26315789,-0.0,0.17391304,-0.0,-0.0,0.375,-0.0,0.63414634,0.25,-0.0,-0.0,-0.0
18.0,0.26315789,-0.0,0.17391304,-0.0,-0.0,0.59375,-0.0,0.80487805,0.41666667,-0.0,0.03571429,-0.0
19.0,0.34210526,-0.0,0.30434783,-0.0,-0.0,0.65625,-0.0,0.82926829,0.52777778,-0.0,0.10714286,-0.0
20.0,0.42105263,-0.0,0.43478261,-0.0,-0.0,0.71875,-0.0,0.82926829,0.63888889,0.04761905,0.25,-0.0
21.0,0.73684211,-0.0,0.60869565,-0.0,-0.0,0.875,-0.0,0.85365854,0.61111111,0.04761905,0.25,-0.0
22.0,0.81578947,-0.0,0.65217391,-0.0,-0.0,0.875,-0.0,0.87804878,0.61111111,0.04761905,0.32142857,-0.0
23.0,0.89473684,-0.0,0.65217391,-0.0,-0.0,0.90625,-0.0,0.92682927,0.63888889,0.04761905,0.32142857,-0.0
24.0,0.89473684,-0.0,0.69565217,-0.0,-0.0,0.90625,-0.0,0.92682927,0.66666667,0.04761905,0.35714286,-0.0
