x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.00330055,-0.0,0.00341538,-0.0,-0.0,0.00237002,-0.0,-0.0,0.00323242,0.00076437,0.00074271,-0.0
0.05166601,0.00248851,0.06698737,0.00630835,0.00383909,0.05650707,0.00676585,0.0001682,0.05890357,0.01782304,0.02771968,0.00886642
0.20615432,0.06687357,0.23333005,0.0665991,0.09123205,0.21107058,0.07277541,0.05183398,0.22147018,0.14246146,0.16318727,0.1112621
0.39748889,0.24253533,0.43765972,0.24559262,0.27299117,0.40618066,0.25879251,0.26077587,0.39267171,0.30785009,0.3432792,0.30369461
0.55901954,0.43394418,0.6110693,0.41849038,0.47837103,0.55925623,0.46620196,0.47584305,0.55199644,0.47316291,0.46635645,0.47691679
0.67061253,0.60976221,0.72968301,0.55112545,0.61078576,0.65910914,0.61839096,0.58206682,0.66466952,0.58228732,0.60356227,0.62859221
0.68447751,0.68995674,0.74714694,0.61748746,0.68857861,0.73683172,0.69431255,0.63978125,0.72740767,0.63438574,0.6673019,0.68136308
0.70372337,0.68369918,0.79055214,0.62966443,0.66278061,0.72955773,0.71062617,0.6726862,0.72807769,0.67351224,0.67483406,0.67610681
0.66928252,0.64759886,0.76621664,0.61032751,0.63675238,0.67370336,0.67877391,0.60710274,0.66819169,0.62899107,0.68986029,0.62060869
0.60624861,0.55469467,0.66490794,0.53507988,0.51844984,0.60856427,0.56281862,0.54470264,0.58232286,0.54747847,0.59180877,0.55163988
0.4748266,0.40308381,0.51209263,0.37720273,0.37156315,0.50284719,0.41036575,0.39876582,0.49259394,0.39317388,0.49701972,0.39648226
0.29354089,0.22135441,0.32133244,0.20637067,0.16451815,0.35447445,0.22248741,0.2196488,0.3261782,0.21276104,0.2996488,0.19266767
0.11340413,0.04625131,0.14546005,0.04057706,0.01683011,0.16267132,0.04745852,0.02736501,0.15717017,0.05577409,0.12269268,0.03471545
0.01750055,0.00097199,0.02210894,0.00097627,9.79e-6,0.02907954,0.00099904,-0.0,0.02799362,0.00620808,0.00972869,0.00222201
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
