x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0.0,-0.0,0.11764706,0.03571429,0.0,-0.0,0.62068966,0.66666667,0.72,0.7037037,0.1,0.85294118
0.0,-0.0,0.17647059,0.0,0.0,-0.0,0.62068966,0.75,0.68,0.7037037,0.1,0.88235294
0.0,-0.0,0.17647059,0.0,0.0,-0.0,0.62068966,0.83333333,0.72,0.66666667,0.1,0.91176471
0.0,-0.0,0.23529412,0.0,0.0,-0.0,0.79310345,0.83333333,0.76,0.7037037,0.1,0.91176471
0.0,-0.0,0.23529412,0.0,0.0,-0.0,0.72413793,0.83333333,0.78,0.77777778,0.1,0.85294118
0.0,-0.0,0.23529412,0.0,0.0,-0.0,0.79310345,0.83333333,0.8,0.77777778,0.1,0.88235294
0.0,0.02439024,0.17647059,0.0,0.0,-0.0,0.79310345,0.83333333,0.8,0.77777778,0.06666667,0.85294118
0.0,-0.0,0.05882353,0.0,0.0,-0.0,0.75862069,0.91666667,0.76,0.77777778,0.06666667,0.85294118
0.0,0.02439024,0.05882353,0.0,0.0,-0.0,0.72413793,0.83333333,0.72,0.77777778,0.06666667,0.91176471
0.0,-0.0,0.05882353,0.0,0.0,-0.0,0.72413793,0.66666667,0.76,0.77777778,0.03333333,0.94117647
0.0,0.02439024,0.05882353,0.0,0.0,-0.0,0.72413793,0.66666667,0.74,0.74074074,0.1,0.91176471
0.0,-0.0,0.0,0.0,0.0,-0.0,0.31034483,0.25,0.74,0.7037037,0.06666667,0.67647059
0.0,-0.0,0.0,0.0,0.0,-0.0,0.20689655,0.25,0.52,0.44444444,0.03333333,0.52941176
0.0,-0.0,0.0,0.0,0.0,-0.0,0.06896552,0.0,0.02,0.07407407,0.0,0.17647059
0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
0.125,0.14634146,0.0,0.03571429,0.27272727,0.175,0.0,0.0,-0.0,0.0,0.03333333,-0.0
0.25,0.19512195,0.0,0.03571429,0.42424242,0.325,0.0,0.0,-0.0,0.0,0.1,-0.0
0.45833333,0.2195122,0.0,0.07142857,0.54545455,0.4,0.0,0.0,-0.0,0.0,0.2,-0.0
0.54166667,0.43902439,0.0,0.32142857,0.63636364,0.45,0.0,0.0,-0.0,0.0,0.26666667,-0.0
0.54166667,0.53658537,0.0,0.35714286,0.6969697,0.55,0.0,0.0,-0.0,0.0,0.2,-0.0
0.54166667,0.58536585,0.05882353,0.39285714,0.81818182,0.625,0.0,0.0,-0.0,0.0,0.23333333,-0.0
0.75,0.58536585,0.05882353,0.46428571,0.87878788,0.65,0.0,0.0,-0.0,0.0,0.23333333,-0.0
0.75,0.6097561,0.05882353,0.46428571,0.87878788,0.675,0.0,0.0,-0.0,0.0,0.23333333,-0.0
0.79166667,0.58536585,0.05882353,0.39285714,0.90909091,0.7,0.0,0.0,-0.0,0.0,0.23333333,-0.0
