x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,-0.0,0.00242725,-0.0,-0.0,0.0,-0.0,-0.0,0.00216712,0.00192329,0.00109978,0.00097064,0.00176965
8.0,0.00634854,0.06961199,0.01507319,0.01192776,0.00289482,0.00970097,0.00937662,0.07068778,0.06448458,0.03726693,0.03934299,0.05594301
9.0,0.07498388,0.23119955,0.13123227,0.14166579,0.08525199,0.11858088,0.10059556,0.22422851,0.21474638,0.13608333,0.14155797,0.22144345
10.0,0.20721155,0.42078708,0.30793939,0.29044899,0.32425814,0.28144766,0.23991545,0.39941536,0.40041424,0.27724107,0.26576121,0.36124312
11.0,0.2552926,0.57173588,0.47164283,0.41231835,0.52801236,0.42424469,0.3756541,0.55154505,0.54887059,0.3753746,0.43409177,0.5216884
12.0,0.37194271,0.66009566,0.60234847,0.54179997,0.64226757,0.52828358,0.47688435,0.6486164,0.66795825,0.50944458,0.52934485,0.63852044
13.0,0.44999453,0.71414361,0.66510199,0.58019232,0.6704844,0.56978978,0.48088791,0.71774002,0.71729491,0.55243115,0.55901963,0.67850578
14.0,0.49915189,0.73211114,0.66096165,0.59896907,0.65500533,0.60599796,0.50540747,0.7188756,0.71502107,0.58509449,0.57693693,0.70173546
15.0,0.43926779,0.6873368,0.59248623,0.57350766,0.60373787,0.56987858,0.54241982,0.68481908,0.67023161,0.5743483,0.54996916,0.6524983
16.0,0.3977208,0.58438024,0.51367708,0.45799377,0.48366621,0.45301211,0.47654965,0.5893585,0.57136255,0.47108426,0.48840528,0.56236992
17.0,0.26862904,0.43649301,0.34245083,0.32182828,0.35643031,0.28765081,0.35271079,0.45040645,0.42113344,0.36395776,0.36328538,0.39794678
18.0,0.13528321,0.27738838,0.17546747,0.13437883,0.14420129,0.12139223,0.16580107,0.27893347,0.24769044,0.18196066,0.22267624,0.2217674
19.0,0.01596546,0.09988683,0.02754929,0.01605809,0.00818282,0.00739904,0.025651,0.10327941,0.07669762,0.05361703,0.06582374,0.06591178
20.0,-0.0,0.00990843,-0.0,-0.0,0.0,-0.0,-0.0,0.00968894,0.005666,0.00189417,0.00161928,0.00486948
21.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
