x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,0.50961333,0.36390333,0.59025333,0.49024256,0.77364667,0.70776321,0.78448431,0.40636961,0.36706,0.54734397,0.42675333,0.88597889
2.0,0.46787941,0.29131711,0.53348316,0.43512449,0.77521413,0.68282247,0.73488588,0.39095612,0.33279071,0.44153262,0.37178846,0.93273
3.0,0.40765039,0.25879067,0.4625193,0.35629372,0.8011592,0.72109531,0.64490196,0.35851457,0.29448788,0.38737447,0.32472205,0.97777778
4.0,0.37813098,0.16563133,0.43876596,0.29733821,0.77491413,0.70095852,0.56346039,0.30855271,0.25042343,0.34577135,0.28189667,0.97722222
5.0,0.26217039,0.12643578,0.4234007,0.25939397,0.8045856,0.62419383,0.55419686,0.30790977,0.22202909,0.28123759,0.23960282,0.97166667
6.0,0.23374118,0.12243356,0.36928491,0.20729744,0.81981067,0.64146,0.54288745,0.28040589,0.22593455,0.24225489,0.24024667,0.97666667
7.0,0.18878118,0.10564711,0.3430993,0.19427308,0.81396533,0.62529037,0.49326235,0.25938775,0.20177919,0.20875759,0.2251941,0.95986778
8.0,0.17898627,0.06171622,0.32850351,0.11149167,0.75525307,0.58415037,0.43311412,0.28220636,0.1849404,0.10510794,0.21428615,0.93042111
9.0,0.14921176,0.03529644,0.3332607,0.10102372,0.65141893,0.58727877,0.41403843,0.23621922,0.17229939,0.10181277,0.1561341,0.92323556
10.0,0.11864255,0.02978178,0.29740596,0.10109282,0.49135173,0.60936938,0.44102627,0.14754915,0.16931273,0.12666894,0.11088231,0.95153444
11.0,0.13382569,0.026402,0.29118316,0.11840218,0.42456773,0.61465605,0.48544392,0.10199984,0.17061596,0.12724681,0.07833744,0.90857278
12.0,0.14158059,0.03712067,0.40625368,0.119985,0.36831307,0.68797259,0.47641373,0.09812031,0.19757657,0.1550027,0.06267256,0.89249833
13.0,0.18080588,0.05145689,0.43285579,0.11185308,0.333824,0.7181679,0.53481725,0.1086138,0.21439535,0.15056383,0.05373564,0.87199278
14.0,0.20826353,0.07227622,0.51092877,0.1417141,0.3122416,0.76935926,0.62671451,0.1331369,0.27515677,0.13947021,0.05205256,0.81237333
15.0,0.24701765,0.11018044,0.49670596,0.14522397,0.30686347,0.73503457,0.63989647,0.14662915,0.27596566,0.16441149,0.05681051,0.73117167
16.0,0.31270392,0.175008,0.57520632,0.20482769,0.28750613,0.7342158,0.59697569,0.14533535,0.35279939,0.20151007,0.05246462,0.72839889
17.0,0.33414137,0.21570622,0.60266842,0.25973038,0.2376952,0.72924617,0.68467137,0.16556837,0.33627495,0.2759061,0.08269538,0.68820667
18.0,0.34045333,0.23010978,0.65683614,0.278955,0.250472,0.72096049,0.79912078,0.16087829,0.37397455,0.32121475,0.1068441,0.62018167
19.0,0.42185902,0.23367711,0.72546667,0.37096256,0.28765547,0.77423605,0.83079686,0.20618884,0.41468788,0.40595574,0.16973231,0.52492667
20.0,0.59928647,0.27251244,0.79272982,0.43411064,0.3778104,0.75311605,0.89977843,0.31526357,0.50475253,0.53994241,0.21442641,0.56126667
21.0,0.65435627,0.44478956,0.81588316,0.5588509,0.42254,0.7680363,0.92859373,0.43719194,0.55774242,0.6568773,0.23698103,0.62248667
22.0,0.70140902,0.53669444,0.77392386,0.63896192,0.4674288,0.68818543,0.90203804,0.44823039,0.59994586,0.74377844,0.26071333,0.61869889
23.0,0.75827059,0.51075956,0.78544807,0.66297244,0.45497893,0.73673037,0.84932039,0.48912109,0.63752747,0.69987858,0.29641077,0.60460833
24.0,0.70816941,0.470356,0.69653544,0.57152244,0.43700853,0.70145284,0.78004157,0.48917442,0.58836404,0.64046355,0.26937179,0.59698444
