x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,0.0,0.06666667,0.94736842,0.86538462,0.0,0.03703704,0.23529412,0.97674419,0.90909091,0.0,0.0,1.0
2.0,0.0,0.1,0.94736842,0.90384615,0.0,0.03703704,0.23529412,1.0,0.90909091,0.0,0.0,1.0
3.0,0.0,0.03333333,0.94736842,0.86538462,0.0,0.07407407,0.17647059,1.0,0.90909091,0.0,0.0,1.0
4.0,0.0,0.03333333,0.94736842,0.90384615,0.0,0.11111111,0.17647059,0.97674419,0.93939394,0.0,0.0,1.0
5.0,0.0,0.1,0.94736842,0.90384615,0.0,0.11111111,0.23529412,0.97674419,0.90909091,0.0,0.0,1.0
6.0,0.0,0.06666667,0.94736842,0.88461538,0.0,0.11111111,0.23529412,0.97674419,0.90909091,0.0,0.0,1.0
7.0,0.0,0.0,0.94736842,0.92307692,0.0,0.11111111,0.23529412,0.97674419,0.90909091,0.0,0.0,1.0
8.0,0.0,0.06666667,1.0,0.92307692,0.04,0.11111111,0.29411765,1.0,0.87878788,0.0,0.0,1.0
9.0,0.0,0.13333333,1.0,0.86538462,0.04,0.11111111,0.23529412,1.0,0.87878788,0.0,0.0,1.0
10.0,0.0,0.06666667,1.0,0.80769231,0.0,0.03703704,0.23529412,0.97674419,0.81818182,0.0,0.0,1.0
11.0,0.0,0.06666667,1.0,0.78846154,0.0,0.03703704,0.23529412,0.95348837,0.78787879,0.0,0.0,1.0
12.0,0.0,0.1,1.0,0.80769231,0.0,0.03703704,0.23529412,0.8372093,0.45454545,0.0,0.0,0.58333333
13.0,0.0,0.1,0.73684211,0.75,0.0,0.0,0.11764706,0.62790698,0.18181818,0.0,0.0,0.33333333
14.0,0.0,0.0,0.52631579,0.23076923,0.0,0.0,0.0,0.53488372,0.09090909,0.0,0.0,0.33333333
15.0,0.0,0.0,0.10526316,0.0,0.0,0.0,0.0,0.11627907,0.0,0.0,0.0,0.08333333
16.0,0.26470588,0.03333333,0.0,0.0,0.16,0.18518519,0.11764706,0.0,0.0,0.12765957,0.42307692,0.0
17.0,0.41176471,0.13333333,0.0,0.0,0.24,0.25925926,0.11764706,0.0,0.0,0.59574468,0.61538462,0.0
18.0,0.41176471,0.3,0.0,0.0,0.24,0.25925926,0.23529412,0.0,0.0,0.85106383,0.69230769,0.0
19.0,0.64705882,0.36666667,0.0,0.0,0.36,0.55555556,0.29411765,0.0,0.0,0.93617021,0.73076923,0.0
20.0,0.88235294,0.36666667,0.0,0.0,0.64,0.7037037,0.41176471,0.0,0.0,0.93617021,0.84615385,0.0
21.0,0.88235294,0.33333333,0.0,0.0,0.68,0.74074074,0.41176471,0.0,0.0,0.93617021,0.84615385,0.0
22.0,0.88235294,0.36666667,0.0,0.0,0.68,0.74074074,0.41176471,0.0,0.0,0.91489362,0.84615385,0.0
23.0,0.91176471,0.4,0.0,0.0,0.72,0.77777778,0.41176471,0.0,0.0,0.91489362,0.88461538,0.0
24.0,0.91176471,0.4,0.0,0.0,0.76,0.77777778,0.47058824,0.0,0.0,0.89361702,0.96153846,0.0
