x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,0.85990754,0.83238,0.7144,0.57439634,0.88753212,0.67664104,0.78625019,0.77421122,0.94361519,0.95238095,0.52059262,0.59897398
2.0,0.87098772,0.81545838,0.65524203,0.60583204,0.85708424,0.63954458,0.80129389,0.70690065,0.94918741,0.9381527,0.49106881,0.62473462
3.0,0.90883439,0.84028955,0.67314261,0.56450452,0.7482297,0.64435833,0.80576019,0.64627902,0.95054648,0.93238095,0.47112881,0.6525529
4.0,0.85417649,0.83026649,0.61600725,0.53811978,0.71330303,0.62242667,0.82832037,0.63146325,0.92043519,0.91386444,0.4403219,0.59577312
5.0,0.89983807,0.82343514,0.60466957,0.50363656,0.70710242,0.63047542,0.83046537,0.65529935,0.88727093,0.90555175,0.44680643,0.58794473
6.0,0.86902281,0.83548306,0.54535623,0.48198,0.59383818,0.58923125,0.84390741,0.63623642,0.90352481,0.95420889,0.44169762,0.56021376
7.0,0.84908596,0.81823099,0.55403217,0.48787312,0.61847939,0.55512479,0.8491137,0.64868813,0.89500593,0.89405048,0.41475905,0.58030903
8.0,0.8507493,0.69665243,0.47387565,0.46680688,0.52722303,0.54008083,0.85364648,0.55017171,0.87834407,0.88367016,0.38082119,0.51565677
9.0,0.89160246,0.48036505,0.38007217,0.38768323,0.54524061,0.54235521,0.84175704,0.3125452,0.70968093,0.81155079,0.26879405,0.36831462
10.0,0.77927351,0.35344468,0.21478899,0.25954903,0.41292424,0.39999896,0.71678019,0.25181675,0.54997519,0.70411206,0.15858381,0.25208516
11.0,0.60267544,0.31905604,0.17668841,0.13671892,0.28918909,0.22441813,0.55664407,0.16783268,0.56670426,0.65589492,0.12502571,0.2811428
12.0,0.53210035,0.24178378,0.17336058,0.11602968,0.22476,0.16414208,0.50591,0.14160764,0.54942056,0.64942032,0.11854929,0.29119161
13.0,0.53753632,0.18405568,0.17633391,0.11126344,0.20191879,0.18126146,0.55510556,0.1269852,0.50921278,0.60657333,0.13578595,0.26774108
14.0,0.56849105,0.18581081,0.17654406,0.13698731,0.14628788,0.20175208,0.58918222,0.14809236,0.48027111,0.58021556,0.12016595,0.23600903
15.0,0.56976333,0.19679333,0.19598957,0.14267871,0.15374,0.22415458,0.59353667,0.18804878,0.46871074,0.56303079,0.13978929,0.24648043
16.0,0.5812193,0.22253694,0.22932609,0.14138,0.17013697,0.23588271,0.62197407,0.17960976,0.48403241,0.56625111,0.14687071,0.28458194
17.0,0.59024333,0.26930198,0.24732609,0.16971462,0.17707212,0.24954125,0.60101278,0.23951951,0.5016163,0.59221619,0.17579881,0.29971484
18.0,0.59909368,0.25902847,0.26921217,0.19945441,0.15924727,0.27534167,0.59578056,0.26541447,0.56953981,0.67193619,0.20230833,0.3265714
19.0,0.67614737,0.34628829,0.33139652,0.3267828,0.19163758,0.38162896,0.63943519,0.35499285,0.63967963,0.74700921,0.29301571,0.45891871
20.0,0.68231509,0.41863225,0.4948229,0.46300473,0.26667455,0.45619896,0.70036333,0.44128228,0.79275037,0.73434603,0.37118857,0.56116387
21.0,0.71769333,0.62352108,0.64934174,0.66119054,0.24897636,0.52030062,0.76543981,0.56256959,0.77116981,0.7656781,0.3864981,0.71706839
22.0,0.76093789,0.69458703,0.75857739,0.70635591,0.26878909,0.61753375,0.79837407,0.61114862,0.85726259,0.88720254,0.4247081,0.74682301
23.0,0.77554947,0.82839405,0.82575217,0.70567634,0.30099273,0.601855,0.82301278,0.66412472,0.89055389,0.85818984,0.42297595,0.7405828
24.0,0.79978263,0.84255369,0.85213594,0.74326624,0.34906485,0.64595771,0.87834722,0.71606358,0.90901093,0.91693111,0.49265238,0.78649763
