x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,9854.41031379,11104.07778796,10536.04189011,12963.11496803,9563.17909608,9791.31569994,11743.02507579,9894.82897898,9547.1489068,12932.53491307,9913.04869859,9692.59129927
2.0,9365.41412282,10534.23051118,10017.08546673,12256.72102028,9108.88833999,9292.39672086,11092.41966334,9386.03088634,9068.17546635,12227.77476995,9452.07953211,9086.02687182
3.0,9070.28995981,10158.55356416,9683.8268217,11757.29862049,8838.8545423,8977.1074935,10650.44423866,9087.25480669,8778.59814485,11750.28532404,9186.96831879,8765.3253104
4.0,8925.37602168,9947.14436938,9507.69606644,11471.16756293,8688.54739304,8780.950516,10381.30131438,8929.98767412,8633.48487689,11473.55950827,9062.88415745,8556.77943365
5.0,8952.26549384,9982.26816943,9541.81269806,11444.43183436,8675.71699614,8703.71258037,10346.83900739,8935.56129587,8643.75885818,11446.75760614,9114.81982052,8507.76308834
6.0,9274.45586082,10444.94279,9933.32929586,11781.81115125,8883.63129343,8825.67043544,10718.33352733,9219.11071264,8912.07256065,11784.62603386,9465.31824506,8689.82546923
7.0,9935.81471502,11110.0694324,10584.76027498,12224.46092386,9425.08410286,9256.46631945,11274.84905663,9823.23996009,9545.52681287,12215.21312032,10192.61358169,9185.06590806
8.0,10427.59906684,11251.06736132,10904.03501304,12422.40316052,10025.7889031,9827.13139244,11451.53804915,10325.21767251,10197.84857768,12432.07110301,10828.82700547,9784.05406062
9.0,10610.65386013,11664.05291852,11197.74920238,13201.68333895,10260.95702807,10038.1485101,12118.17235026,10521.79672231,10439.50046069,13253.0358508,11017.07584638,10066.06593861
10.0,10980.92205205,12387.00069728,11777.97214119,14335.62000841,10465.09594529,10331.86277272,13065.82408924,10854.26229874,10654.15864982,14395.19568843,11289.27470037,10352.45815741
11.0,11438.24657575,13186.52456933,12453.8552884,15500.01643014,10694.66632736,10760.62466432,14042.08284829,11225.29261101,10986.14139135,15547.39970427,11660.13519816,10644.20160712
12.0,11820.10472147,13910.39291131,13035.65617791,16529.91918567,10829.718182,11125.99925349,14879.25896929,11550.12059069,11281.32699627,16550.02569148,11959.64504603,10811.13655121
13.0,12146.49374514,14529.98043912,13523.63059352,17318.68442311,10861.95262469,11343.90777669,15562.69764219,11805.29151823,11447.18209584,17327.12264028,12149.07027185,10850.06590051
14.0,12437.9452997,15128.20354263,14007.87022141,17978.62466531,10825.99650741,11442.36066208,16179.4701805,12022.28044946,11564.74497839,17985.07874834,12296.43381058,10759.22934683
15.0,12672.10989527,15587.57021238,14386.46482246,18486.22536803,10815.046282,11512.32165966,16592.74578003,12214.70228968,11670.0206437,18457.21860436,12378.07567623,10662.89501876
16.0,12826.16329515,15961.51072639,14609.0889403,18807.16933335,10806.45349496,11503.47298543,16877.51743342,12349.21147005,11731.88427101,18774.89563391,12397.12766919,10573.21279983
17.0,12876.2327502,16145.62961809,14653.07778407,18869.76408998,10803.92377173,11473.71673497,16904.34954848,12391.56703359,11759.12874132,18814.75668875,12366.57731937,10522.37113978
18.0,12742.59023777,15956.43256275,14397.68262732,18618.669475,10806.79778456,11394.25897645,16567.64048286,12280.89212611,11694.43023336,18536.7120769,12197.14662272,10531.9074505
19.0,12588.24867095,15359.93794487,13989.14950246,17947.5073899,10919.29537041,11456.8744038,15841.85470952,12238.57040351,11665.68253738,17884.56940762,12201.5326373,10839.84813506
20.0,12708.48119615,14859.62975771,13949.90979662,17258.08522074,11287.25644946,11720.84013485,15172.94212909,12369.76267231,11853.78331204,17233.5117015,12421.37997529,11420.68905538
21.0,12599.2010454,14694.52666487,13796.8188988,16899.13240848,11321.06501001,11705.35628705,14998.24095181,12261.76637404,11877.3830255,16875.7525461,12259.29812249,11484.19804943
22.0,12169.88950488,14088.78167772,13301.56189215,16302.72545501,11050.3632377,11446.90912662,14458.89933528,11898.1766962,11579.17777961,16279.27435677,11876.76966756,11301.99026379
23.0,11491.30897413,13061.33903284,12489.3317749,15235.67955118,10558.90739934,10987.08676447,13514.5093786,11286.50532051,11033.31887763,15227.00188167,11269.51217448,10927.31426656
24.0,10667.74599504,11935.71512399,11546.821549,14088.45926067,9899.34720509,10304.49677641,12475.94728534,10517.14410289,10324.77560959,14096.43152181,10510.90962838,10371.51052705
