x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,8307.15935251,9258.65857095,8972.20243879,11191.31771028,8206.3453185,8088.30152154,10013.47764289,8339.44990327,8099.31581852,11210.00472847,8449.44831826,7975.06463187
2.0,7799.05194413,8647.98059488,8392.33993869,10438.13510152,7666.92447134,7518.45397014,9343.54338394,7829.55577419,7590.98943857,10449.03920854,7955.41418588,7453.34157793
3.0,7496.39022907,8248.56003502,8009.15585342,9893.60424796,7396.17575575,7169.40828951,8886.45923921,7517.22588864,7298.0122866,9906.38857581,7687.6855728,7167.28299161
4.0,7341.68853318,7998.57512153,7792.67037728,9538.37706208,7274.03087973,6960.8386897,8601.86991256,7360.93920018,7153.45990427,9553.21500815,7566.44404385,7037.02860448
5.0,7329.43514067,7942.66283262,7738.42618975,9379.38363113,7278.96536468,6876.72566798,8498.2444071,7340.43813336,7143.02146175,9408.90321811,7596.02993751,7048.49672989
6.0,7593.17148088,8269.18195725,8019.02380268,9584.09207984,7511.51659695,6976.74293352,8743.19784093,7580.26128951,7380.55410341,9612.61563683,7900.26975289,7275.14961354
7.0,8269.9900838,8977.74829177,8689.27387838,10044.14904057,8127.06498124,7424.53261978,9332.36732888,8198.5855776,8029.82195205,10063.00026821,8628.06767208,7849.52203942
8.0,8931.21374953,9245.67705725,9144.8722763,10243.86796336,8914.1026333,8119.08838908,9568.85404342,8828.58879542,8821.69162499,10273.48389875,9416.93344781,8675.88416967
9.0,9150.52179754,9614.28743117,9393.897112,10895.0794082,9252.96790628,8461.83119718,10034.10442038,9069.03948378,9122.31682976,10921.21185682,9619.74062456,9123.93165412
10.0,9364.50800629,10275.69912172,9878.52758655,11866.50622139,9382.09904209,8725.1691988,10749.56615488,9293.63413064,9218.23740252,11879.61037441,9672.58364,9374.73967503
11.0,9634.26741664,11025.84751183,10457.4943076,12950.51976015,9479.925117,9071.72847423,11548.97170811,9537.12701524,9384.09507611,12929.29178472,9776.14974294,9555.00347984
12.0,9899.10042179,11723.38987843,11000.58911032,13953.10079166,9486.39290805,9351.61476011,12305.22277652,9742.42768242,9502.62983944,13925.29156831,9864.22794541,9546.96654797
13.0,10139.65350477,12365.9501555,11504.44051773,14852.91456748,9422.89680261,9514.89031377,13009.80164239,9916.65778286,9572.40859667,14833.36186714,9933.38658989,9409.52155873
14.0,10379.61065336,12984.30749555,11980.4953502,15648.34852733,9377.49423739,9634.33425965,13687.8678696,10105.40750505,9627.38266211,15620.33624787,10019.88596539,9265.2196798
15.0,10603.66851705,13506.54509469,12385.50984539,16269.82198014,9349.06595035,9712.14808919,14258.13368309,10280.12460484,9685.09769482,16238.51956923,10122.47142431,9096.26664242
16.0,10789.17485498,13882.85745438,12719.58884462,16697.44483179,9350.32695118,9757.02677745,14693.1790869,10432.4127103,9744.95384549,16655.97209113,10205.83524427,8988.12681829
17.0,10905.21437963,14105.13734886,12915.02189058,16923.15619265,9373.86057156,9781.79498254,14952.21786901,10539.62858583,9805.81908227,16851.35751525,10260.36195442,8953.61879613
18.0,10881.2837251,14032.46583213,12872.20587831,16829.01885357,9424.85271622,9790.97397271,14874.37643799,10542.96625647,9820.26945368,16758.26487104,10240.56119186,9035.12226727
19.0,10791.35304897,13648.2508778,12603.1345245,16387.88978014,9558.7463912,9869.15423568,14421.11072598,10549.51130917,9862.75910513,16347.70802016,10307.65018521,9371.91962357
20.0,10969.73217186,13101.44058443,12511.04531236,15692.96714247,10034.44543706,10235.68394115,13775.79240728,10788.09181733,10131.37645477,15662.74384346,10671.2149231,10138.67618896
21.0,10961.69044354,12902.22993937,12357.40049454,15227.83961002,10218.60710074,10323.81862858,13538.23878325,10731.75900502,10282.82788537,15196.93721967,10611.30076247,10360.98453847
22.0,10550.69746882,12387.92103871,11850.36161199,14673.47833933,9993.66387467,10078.86371819,13065.30985372,10386.68998398,10023.11578895,14654.18109054,10271.17960171,10278.23193673
23.0,9878.81408541,11371.33439814,10994.26077235,13584.68692801,9502.73325071,9606.74565319,12085.77715408,9781.9373192,9475.21578443,13582.56321179,9697.55971052,9994.28798761
24.0,9011.1779914,10190.05829939,9962.53520657,12352.3724123,8789.69792973,8925.02044275,10947.98565957,8983.96839904,8724.9793336,12363.2931952,8943.5141406,9448.61854449
