x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.0,4059.96291211,4157.44318492,4203.21127042,4827.94321039,4225.92317106,4062.21549026,4530.93564038,4115.8743282,4096.80673881,4867.11269728,4198.99037821,4220.2071494
2.0,3947.00774178,4010.78677735,4057.34490637,4622.57567537,4113.08720565,3941.87750577,4343.38391818,4009.15514831,3994.1550808,4656.85167368,4098.95113993,4137.78251162
3.0,3886.11343448,3917.57071628,3970.1127145,4475.85287873,4075.91791082,3870.98899845,4214.55419223,3955.23587249,3943.28502914,4507.99373941,4056.70982924,4112.19461067
4.0,3863.42550282,3861.15460564,3916.31104176,4377.5376441,4078.25218174,3840.26411812,4124.87605943,3938.06280727,3926.36468744,4405.93084746,4045.92931929,4116.87294616
5.0,3881.35541868,3846.03559861,3904.74975776,4325.82505321,4115.13583252,3843.57303487,4084.85792022,3953.3450855,3946.86863137,4352.66913544,4070.95851125,4159.97709243
6.0,3952.93865461,3914.78819706,3960.55185164,4351.33153768,4198.07095525,3892.25372762,4120.21982169,4026.06650905,4021.56466788,4376.60884969,4152.76990619,4243.87895384
7.0,4136.95938395,4095.18207914,4126.56445508,4462.95405633,4380.79946888,4032.84096878,4255.98993083,4208.13677921,4206.50466632,4487.94858755,4354.96268736,4423.70931337
8.0,4337.53174646,4189.10802293,4270.0122568,4533.6069128,4620.31507888,4241.80853967,4310.65931461,4405.97015332,4436.47481475,4563.27067972,4594.68016377,4674.34270844
9.0,4412.53724692,4282.7057629,4350.39566143,4724.52164653,4735.24502991,4358.22071055,4445.9289198,4493.82620846,4538.61517721,4759.58430025,4686.98596795,4837.12618787
10.0,4437.72180572,4438.28376971,4474.66419737,5003.91822204,4735.64904348,4402.04617224,4648.64115289,4524.69250312,4522.97671885,5037.43036492,4673.24680981,4866.41039332
11.0,4463.1195789,4605.27782293,4615.47290325,5311.58676679,4711.81154059,4461.12828083,4868.31450717,4538.4656701,4509.60013873,5340.28856623,4643.43830119,4848.87491815
12.0,4483.36987709,4773.19329275,4737.64002304,5621.99821913,4657.95860855,4486.31188304,5088.49954046,4533.82205973,4482.89962007,5644.08269639,4603.00196904,4796.09533039
13.0,4489.50343179,4916.36322933,4849.76700681,5891.92872808,4576.78975445,4489.75052788,5294.2976367,4520.23078159,4437.57957915,5914.93854192,4549.3457822,4703.20072776
14.0,4517.61628577,5086.0760899,4988.3794538,6157.27275983,4511.06758264,4476.84412731,5526.90947665,4529.9863547,4402.54013421,6183.05663891,4511.38042392,4600.38854875
15.0,4554.90387115,5233.76060747,5113.17480929,6362.94353746,4470.44178733,4483.68041951,5722.66032143,4551.68373409,4388.95014031,6391.43842109,4504.57211923,4516.2529866
16.0,4590.53573081,5353.70929471,5221.9308121,6517.06328909,4443.77312696,4474.19670267,5890.68650088,4579.41513813,4383.12680613,6539.60477948,4504.95735119,4439.31723566
17.0,4622.47613652,5439.19049912,5304.794919,6596.36408269,4441.35508066,4479.17636407,6001.67178901,4614.77741929,4393.80451204,6612.63415689,4518.79131749,4406.67924773
18.0,4612.55411218,5409.70812969,5274.9094425,6534.43733443,4454.65173409,4497.24997495,5981.91736223,4619.49680865,4401.86166273,6549.61918175,4510.44778865,4424.2353909
19.0,4585.36003257,5320.14291931,5186.08040468,6402.0596025,4488.92958396,4526.87043784,5857.5261076,4615.55834039,4409.26712779,6417.12055414,4517.01877319,4524.28356986
20.0,4644.65435988,5177.65960136,5127.96686312,6210.30471941,4618.6432785,4649.19014534,5668.98595763,4690.38701516,4500.16814837,6226.63704731,4645.83298671,4754.54446844
21.0,4679.27758157,5084.8514835,5048.44034343,6000.90396533,4690.28726666,4709.2505861,5513.8972526,4689.49749767,4574.4747861,6021.70451304,4668.58828442,4858.01280021
22.0,4601.38511789,4964.6539277,4916.69536273,5838.45152735,4655.07952162,4667.71881684,5389.38456165,4619.4829953,4539.54716918,5859.42346656,4603.15325052,4866.44212006
23.0,4443.2826642,4691.47136825,4679.50821794,5511.29424607,4539.08530164,4555.41862506,5103.51751434,4466.82983667,4418.49318964,5529.41963674,4468.02455959,4803.68872696
24.0,4230.38582935,4376.17241838,4407.03918616,5146.44622524,4349.41935011,4368.0078271,4780.6772872,4258.41541851,4226.7306789,5165.71331763,4282.91683365,4645.56416843
