x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,-0.0,0.00212787,0.00029878,0.00233472,-0.0,-0.0,-0.0,0.00216607,0.00271834,0.00217593,-0.0,0.00090189,-0.0
8.0,0.01338154,0.06862386,0.01018025,0.06110562,0.00762121,0.01301409,0.01690862,0.07219161,0.06815054,0.07273389,0.01121882,0.04067213,0.0106375
9.0,0.13482576,0.23569394,0.08596687,0.21115046,0.09754678,0.13722984,0.13818817,0.22108179,0.21424218,0.21739439,0.10653931,0.16808155,0.07998528
10.0,0.32706307,0.42819538,0.24801308,0.35163089,0.23338673,0.28886067,0.28351185,0.39856185,0.36772433,0.41940838,0.24930948,0.31096675,0.22199768
11.0,0.50020517,0.57448458,0.37299062,0.50411104,0.32876925,0.42443858,0.42928737,0.54800005,0.52071636,0.55567466,0.37457881,0.48677131,0.27095762
12.0,0.62102933,0.67097915,0.48943316,0.60946515,0.42324907,0.55983625,0.52450893,0.65353045,0.62118646,0.68614043,0.51001226,0.58416839,0.37295841
13.0,0.67675895,0.72850629,0.51530644,0.66252679,0.49039508,0.56431168,0.58847975,0.70987662,0.68158364,0.75576215,0.55342388,0.60340508,0.44242689
14.0,0.68701462,0.73688637,0.53887437,0.7003545,0.54513829,0.58073954,0.59365885,0.70815976,0.69823471,0.72697259,0.58623586,0.61952607,0.47938059
15.0,0.61900315,0.69185437,0.57457986,0.65099986,0.51522636,0.57698487,0.54775747,0.66403395,0.68423109,0.68540818,0.53593336,0.58723869,0.40183832
16.0,0.52617183,0.59272479,0.45507783,0.5621954,0.44200521,0.49260357,0.45717675,0.57797649,0.5875131,0.57015568,0.43324362,0.51208786,0.36597642
17.0,0.35522814,0.43441002,0.36082775,0.41109251,0.29781384,0.34741595,0.31433706,0.43995369,0.44548327,0.4078054,0.25798466,0.38839796,0.26068714
18.0,0.16918686,0.27463983,0.1654172,0.23733939,0.15252133,0.14752927,0.14857893,0.26521972,0.26965308,0.26128474,0.11728702,0.23395698,0.11863804
19.0,0.02198996,0.09812125,0.02563132,0.0770768,0.0127839,0.02348884,0.01777168,0.09794108,0.0952724,0.08567668,0.01097836,0.06711165,0.02368587
20.0,-0.0,0.00936131,0.00068219,0.00703199,-0.0,-0.0,-0.0,0.01000246,0.0084569,0.00373536,-0.0,0.00148059,-0.0
21.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
