x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,12768.87194369,18313.84741706,12964.12425617,15183.07401113,12422.89687661,12560.36726706,12409.36064906,16635.77567907,16201.68445056,15233.86352889,13225.98798032,11965.27510486,12229.80203195
2.0,12196.0563867,17157.92163107,12295.00533084,14186.69498179,11729.0211122,11903.98060121,11815.21114844,15563.33550064,15171.67206883,14210.05391557,12609.93592804,11287.83082637,11530.29220845
3.0,11899.68128256,16317.36500755,11933.24276268,13507.2774074,11366.31841384,11566.04765209,11506.00689001,14806.55380858,14464.50734101,13497.08264974,12319.16529861,10867.097207,11122.8302214
4.0,11803.85076335,15749.94479673,11799.29306946,13081.8838185,11214.84232615,11441.03975515,11384.14080326,14321.23829659,14018.97584824,13044.50386489,12228.3723327,10673.29912475,10925.5066438
5.0,11927.63878927,15528.33784201,11893.79533598,12958.58033202,11278.90820739,11541.0222527,11511.82609785,14167.33984832,13922.98661054,12883.59720331,12366.97399311,10733.76372989,10912.7528226
6.0,12410.64311145,15818.90486117,12366.85596432,13350.93169273,11695.75706512,12001.67507096,12022.53391981,14537.77690445,14320.37669032,13276.56411362,12936.69429924,11318.77296548,11208.26875532
7.0,13467.31017709,16460.13600658,13443.18508196,14188.74689846,12695.19622439,13063.72138227,13113.35986508,15319.67043991,15108.17590687,14181.93138967,14198.08287697,12598.84140334,12043.35609244
8.0,14793.01686487,16887.30480499,14707.07671037,14713.88908238,13936.10598003,14274.32902833,14186.04937567,15874.87894622,15621.8192293,14698.3922708,15541.8722622,13381.32801293,13256.22465287
9.0,15348.74017586,17939.00724652,15299.03577035,15474.09328416,14452.45873253,14719.22574204,14589.63999789,16835.53567147,16556.01528805,15329.63574749,15922.48331818,13736.13147756,13884.70356901
10.0,15370.91221891,19488.73878354,15508.73233078,16602.86771127,14545.67970738,14754.5508412,14793.97452621,18207.40317064,17908.8849105,16291.59165905,15815.58542996,14208.2783424,14160.71395991
11.0,15315.21588206,21278.29991617,15786.0400942,17882.52812987,14650.8614577,14792.96179325,14938.47637749,19800.1913034,19459.94491344,17412.5421968,15701.7375402,14720.97090541,14469.04050745
12.0,15154.49241572,22985.87045991,15962.39080424,19124.73638169,14668.50036105,14765.12154008,14969.37413475,21336.30195937,20970.47154464,18472.65532714,15567.13592644,15122.22360128,14677.30320112
13.0,14898.42693948,24501.88885498,15999.20750637,20275.96681217,14621.31163221,14670.64562592,14913.42345059,22739.82871366,22379.77885039,19461.09418745,15373.49183786,15449.45737863,14753.82304878
14.0,14653.64476124,25851.78479054,15986.69126406,21338.14460034,14585.50429873,14603.60547179,14888.40322706,24039.04791591,23664.89270399,20413.40499139,15219.347436,15800.77025329,14755.5639312
15.0,14451.28138997,26838.09474955,15951.93124576,22151.08108758,14562.26431522,14555.21230805,14903.82031713,25008.01466356,24620.0919039,21235.23271016,15107.1958475,16070.51023769,14746.51011574
16.0,14275.21049735,27478.2128861,15852.41970028,22703.26348707,14498.66692357,14495.15733647,14900.0998821,25658.9444366,25198.03321664,21907.16868965,14974.12154005,16297.14649606,14662.1906209
17.0,14187.71297047,27756.87111534,15782.173678,22870.43109277,14472.38607079,14473.7880362,14927.13761727,25963.66834024,25424.21328739,22354.88930645,14910.77622633,16496.02095189,14622.60969577
18.0,14213.30856409,27590.43559872,15769.66200717,22598.84298114,14490.31506825,14484.85752797,14960.32843004,25777.08201302,25252.59779778,22319.29487944,14876.21912627,16488.6801951,14722.95022079
19.0,14617.44036358,26897.2554793,16001.71104674,21863.45971377,14806.79685165,14799.33518787,15162.86796971,25076.69247896,24582.02044828,21685.26548782,15165.25586862,16233.99554216,15124.61624654
20.0,15411.77136556,25725.98230211,16513.89527154,20978.89351083,15490.56803827,15314.16264569,15571.45134276,24016.56051289,23392.54116693,20718.66708158,15725.95411031,15961.1093474,15687.13031465
21.0,15563.06363477,24732.69555138,16565.68446585,20299.98070023,15547.43015786,15380.51896009,15497.32878261,23128.39062407,22502.07733954,20287.56301119,15685.09539761,16103.47323548,15762.03431129
22.0,15307.07943033,23685.6845038,16272.82313949,19542.0364751,15236.69347318,15027.33724507,15097.78650105,22237.82284227,21538.12697333,19608.04034284,15315.68049918,15594.65254967,15475.75316353
23.0,14624.63008615,21809.10657263,15567.93605266,17995.30307318,14571.98980219,14268.3527492,14287.07891337,20504.71202621,19815.91484422,18104.07563323,14557.47631318,14424.41895749,14821.85861718
24.0,13596.7598642,19813.12859182,14514.78590883,16282.24984718,13541.18312421,13171.3135653,13234.90117285,18645.15450397,17972.21076062,16412.44410114,13499.76759344,13023.47172146,13813.53896177
