x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1.0,4151.90214217,4967.77258911,4193.50246562,4531.95114234,4104.10884635,4149.77510442,4061.30058513,4795.7636015,4749.73928649,4530.93564038,4180.28958131,3939.65872962,4101.86120377
2.0,4048.50983082,4752.54581884,4073.9721882,4351.06665102,3997.00970321,4047.3417869,3964.00862556,4593.4295673,4546.39560465,4343.38391818,4078.41994127,3816.71601826,3979.45786782
3.0,4008.39682576,4596.76502765,4019.23517885,4225.0929271,3938.92365364,3993.8941406,3920.53948398,4451.57369665,4406.19238197,4214.55419223,4035.34962134,3752.4474917,3907.01882584
4.0,4005.26206829,4490.35630031,3996.40575458,4144.30696342,3917.43738571,3977.95730326,3906.79598833,4355.9866022,4310.20204048,4124.87605943,4024.81197178,3724.87847377,3876.15622023
5.0,4038.90041371,4431.0061222,4012.87122149,4105.66657268,3935.31523052,3997.15206624,3929.16972066,4307.79875899,4263.17836619,4084.85792022,4049.90246792,3734.19351515,3879.54991022
6.0,4124.65247691,4452.34240788,4080.61790877,4137.11945174,3997.00950298,4068.1478536,4012.95549855,4339.40735086,4296.12259489,4120.21982169,4132.12045185,3819.46955635,3927.87821451
7.0,4310.9139552,4555.81278008,4252.47492364,4262.43484017,4160.05728822,4248.09701411,4203.76143164,4463.5571974,4417.35877924,4255.98993083,4340.24400868,4027.4392439,4069.82549275
8.0,4548.74487117,4620.56364437,4470.85169046,4342.45817077,4375.91066276,4465.30491951,4403.90652704,4546.45155369,4489.3147314,4310.65931461,4585.40575988,4164.56067789,4281.45553133
9.0,4657.06045201,4826.37593598,4596.4994203,4491.23731188,4479.30559374,4560.60386733,4486.07871296,4730.27191284,4670.03131757,4445.9289198,4673.36779367,4216.23247529,4398.36510098
10.0,4658.53614226,5127.61668975,4639.3815694,4714.8253463,4486.469982,4563.98173745,4522.96504119,4992.67143592,4934.46500329,4648.64115289,4658.98679017,4292.27454668,4444.33367339
11.0,4636.80968846,5461.67173669,4677.05961551,4958.04401265,4495.08198675,4555.25447936,4538.9430506,5279.99688941,5223.33645207,4868.31450717,4632.83256485,4370.38475136,4499.79916469
12.0,4592.5210802,5799.07646045,4691.76768097,5201.15869649,4493.84718689,4536.12026549,4523.78999139,5570.52877709,5507.25765946,5088.49954046,4596.71971724,4433.71746646,4524.17012467
13.0,4524.63828438,6085.55196475,4681.41549901,5424.20332984,4472.06089303,4502.70807415,4500.98824433,5829.06463029,5754.58533332,5294.2976367,4547.22848622,4478.5829292,4535.12294188
14.0,4471.59562198,6356.5339707,4677.87819661,5663.25661132,4459.98485705,4487.81995586,4495.46468416,6091.70921477,5997.36664183,5526.90947665,4514.33530433,4558.84377733,4529.18918029
15.0,4445.25279935,6564.16820132,4683.2849357,5853.9674989,4466.33716095,4496.19957857,4495.93993028,6298.70620455,6179.34329168,5722.66032143,4511.20388504,4639.08039273,4543.55169879
16.0,4428.53571759,6718.18682709,4688.00365339,6005.38118014,4471.09952136,4508.29924835,4505.77614789,6453.74158623,6291.51328108,5890.68650088,4515.69747959,4719.33247033,4540.45530867
17.0,4431.97076324,6801.19023767,4700.35457506,6089.31624739,4483.41100307,4532.57543837,4533.64137106,6533.13919908,6349.64405771,6001.67178901,4533.19837661,4786.94336566,4550.08810641
18.0,4440.11231878,6744.47783757,4694.31586815,6038.5578607,4483.73067609,4542.96028868,4530.86639584,6475.53317895,6278.73121894,5981.91736223,4524.77114298,4775.72766248,4572.38828859
19.0,4465.14399691,6614.81486217,4698.62669917,5914.24051046,4489.21448298,4552.16450653,4524.60137005,6344.18655851,6157.77278206,5857.5261076,4522.32500136,4726.85135644,4599.88820048
20.0,4598.18638264,6421.50457663,4789.22472907,5746.83319846,4607.23288264,4651.40632946,4603.87835429,6160.09247272,5976.74682153,5668.98595763,4641.79509748,4655.3786604,4719.49398157
21.0,4653.34544109,6196.72987379,4820.96140886,5582.04718396,4652.62106843,4684.79988369,4610.89117283,5962.57374332,5789.95339089,5513.8972526,4667.43298048,4673.57226451,4768.33077337
22.0,4611.8356689,6024.80196778,4769.18737024,5436.73499049,4594.44470021,4625.97299007,4542.42970742,5803.50862125,5634.31621639,5389.38456165,4599.27424654,4594.54316403,4724.62539276
23.0,4486.72785471,5674.09807608,4642.75206002,5147.75074829,4473.15452499,4487.46968502,4397.34114175,5479.11222081,5318.86376435,5103.51751434,4458.3724511,4377.72998412,4606.13603482
24.0,4296.41314277,5286.44825283,4447.49225181,4819.09185588,4282.34232804,4282.91439988,4208.66766801,5118.20856384,4971.64314646,4780.6772872,4267.65893399,4113.11120028,4411.16626301
