x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,0.04,0.57575758,0.85714286,0.0,0.0,-0.0,0.02564103,0.18181818,0.0,0.81818182,0.04761905,0.96774194,0.72413793,0.82352941
2.0,0.04,0.63636364,0.8,0.0,0.0,-0.0,-0.0,0.18181818,0.0,0.81818182,0.0952381,1.0,0.79310345,0.88235294
3.0,0.04,0.57575758,0.88571429,0.0,0.0,-0.0,-0.0,0.09090909,0.0,0.72727273,0.04761905,0.96774194,0.72413793,0.88235294
4.0,0.04,0.57575758,0.8,0.0,0.0,-0.0,-0.0,0.18181818,0.0,0.72727273,0.0952381,0.96774194,0.82758621,0.88235294
5.0,0.0,0.63636364,0.8,0.0,0.0,-0.0,-0.0,0.18181818,0.0,0.90909091,0.0952381,0.96774194,0.75862069,0.82352941
6.0,0.0,0.6969697,0.77142857,0.0,0.0,-0.0,-0.0,0.09090909,0.0,0.90909091,0.04761905,0.90322581,0.82758621,0.82352941
7.0,0.0,0.66666667,0.8,0.0,0.0,-0.0,-0.0,0.09090909,0.0,0.90909091,0.04761905,0.96774194,0.82758621,0.82352941
8.0,0.04,0.63636364,0.74285714,0.0,0.0,-0.0,-0.0,0.09090909,0.0,0.90909091,0.04761905,1.0,0.82758621,0.88235294
9.0,0.04,0.57575758,0.77142857,0.0,0.04347826,-0.0,-0.0,0.09090909,0.0,0.90909091,0.04761905,1.0,0.82758621,0.88235294
10.0,0.0,0.60606061,0.62857143,0.0,0.04347826,-0.0,-0.0,0.18181818,0.0,0.90909091,0.04761905,0.93548387,0.75862069,0.88235294
11.0,0.0,0.57575758,0.37142857,0.0,0.04347826,-0.0,-0.0,0.0,0.0,0.54545455,0.0,0.90322581,0.68965517,0.88235294
12.0,0.0,0.63636364,0.22857143,0.0,0.0,-0.0,-0.0,0.0,0.0,0.36363636,0.0,0.70967742,0.62068966,0.64705882
13.0,0.0,0.48484848,0.2,0.0,0.0,-0.0,-0.0,0.0,0.0,0.27272727,0.0,0.5483871,0.17241379,0.47058824
14.0,0.0,-0.0,0.14285714,0.0,0.0,-0.0,-0.0,0.0,0.0,0.09090909,0.0,0.19354839,-0.0,0.17647059
15.0,0.04,-0.0,-0.0,0.15384615,0.04347826,-0.0,0.02564103,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
16.0,0.16,-0.0,-0.0,0.42307692,0.04347826,0.31912714,0.23076923,0.0,0.03703704,0.0,0.0,-0.0,-0.0,0.0
17.0,0.2,-0.0,-0.0,0.56486295,0.04347826,0.51351351,0.25641026,0.0,0.14814815,0.0,0.0,-0.0,-0.0,0.0
18.0,0.32,-0.0,-0.0,0.61538462,0.13043478,0.54054054,0.35897436,0.0,0.2962963,0.0,0.0,-0.0,-0.0,0.0
19.0,0.52,-0.0,-0.0,0.84615385,0.39130435,0.54054054,0.61538462,0.0,0.2962963,0.0,0.0,-0.0,-0.0,0.0
20.0,0.56,-0.0,-0.0,0.88461538,0.39130435,0.59459459,0.66666667,0.0,0.2962963,0.0,0.0,-0.0,-0.0,0.0
21.0,0.56,-0.0,-0.0,0.88461538,0.39130435,0.62162162,0.71794872,0.0,0.2962963,0.0,0.04761905,-0.0,-0.0,0.0
22.0,0.6,-0.0,-0.0,0.96153846,0.56521739,0.7027027,0.71794872,0.0,0.33333333,0.0,0.0,-0.0,-0.0,0.0
23.0,0.6,-0.0,-0.0,0.92307692,0.56521739,0.7027027,0.74358974,0.0,0.40740741,0.0,0.04761905,-0.0,-0.0,0.0
24.0,0.64,-0.0,-0.0,0.96153846,0.52173913,0.7027027,0.71794872,0.0,0.40740741,0.0,0.04761905,-0.0,-0.0,0.0
