x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,0.83456027,0.69931515,0.81838857,0.75300436,0.65441594,0.66662036,0.92343026,0.88152485,0.89994247,0.58996485,0.63742571,0.59362624,0.75068161,0.93961098
2.0,0.88531147,0.75123535,0.82708019,0.73026333,0.64825159,0.66460018,0.91484017,0.8573297,0.87648444,0.52071636,0.5404346,0.59109527,0.74184552,0.95245412
3.0,0.85359573,0.74311131,0.82559276,0.71303949,0.61711333,0.70969784,0.94276615,0.77955758,0.88265802,0.48030121,0.43718127,0.56772538,0.7844154,0.94098824
4.0,0.86030827,0.7160297,0.8471219,0.68836077,0.62852957,0.64534324,0.93377197,0.78395212,0.84228963,0.44321879,0.40581175,0.56534194,0.78933954,0.94584863
5.0,0.86615307,0.69720424,0.84998495,0.67899333,0.60180841,0.64846252,0.89995436,0.82207212,0.81724617,0.43998182,0.35359968,0.56520688,0.77845471,0.99843137
6.0,0.84553973,0.65629515,0.82952267,0.61547231,0.6074858,0.65629297,0.91106308,0.81910182,0.80245852,0.3252103,0.33695651,0.58311484,0.79599195,0.99333333
7.0,0.80768427,0.63536687,0.84820876,0.55829026,0.60850203,0.60887189,0.90401538,0.80830303,0.8406037,0.31494909,0.33152222,0.59514409,0.77786368,0.94578745
8.0,0.78448907,0.59039071,0.85704057,0.57017205,0.62449594,0.49214811,0.87832803,0.81588121,0.7752721,0.30448364,0.31759937,0.55593914,0.69710138,0.92448157
9.0,0.7471456,0.38979737,0.84921048,0.56159949,0.59327536,0.37592216,0.82473726,0.58965939,0.57348148,0.33178182,0.2935619,0.52506817,0.58543195,0.86926196
10.0,0.65668187,0.33043293,0.77628743,0.44183282,0.55632522,0.36441712,0.72843436,0.49617697,0.47375062,0.30491515,0.26730032,0.45259978,0.57664,0.77679922
11.0,0.61405547,0.29736667,0.66365314,0.35055308,0.43855971,0.35233694,0.57531077,0.49236303,0.43046988,0.20139697,0.29609238,0.32206968,0.57403977,0.7166349
12.0,0.5892832,0.26661495,0.636352,0.26266282,0.40403072,0.32638396,0.49244291,0.52445152,0.43276296,0.22076242,0.28301619,0.27727075,0.53879632,0.75198118
13.0,0.58888,0.27839818,0.65023905,0.25824282,0.45164812,0.29703802,0.4876935,0.49045091,0.46021284,0.24423273,0.29945841,0.28713548,0.51370322,0.81464745
14.0,0.5963448,0.29350747,0.65592324,0.29929128,0.46832435,0.32598036,0.46928359,0.60265273,0.51670543,0.25046485,0.26927238,0.29978495,0.52007931,0.83208392
15.0,0.59180347,0.3362301,0.65892914,0.32693821,0.51282087,0.36887856,0.47330462,0.60972182,0.52790049,0.32277879,0.31342349,0.29529505,0.57761011,0.87540471
16.0,0.61626107,0.31680747,0.61659257,0.35624615,0.55084058,0.41813856,0.44819538,0.6584497,0.56745111,0.33767636,0.35068381,0.33212602,0.60343885,0.82872
17.0,0.59708533,0.36535859,0.59320629,0.38745128,0.55317652,0.46204018,0.46218479,0.73328909,0.64749802,0.33966424,0.38143333,0.39731806,0.69012644,0.81665098
18.0,0.56990933,0.39355152,0.6157819,0.42483897,0.55945739,0.5484591,0.48089983,0.69351939,0.72207753,0.29134727,0.37182635,0.43302581,0.71456253,0.8483451
19.0,0.57260773,0.45595515,0.61000762,0.52690538,0.68015942,0.54603874,0.53739521,0.71535576,0.64358691,0.39556485,0.39744571,0.58001699,0.70110276,0.83030235
20.0,0.60558053,0.47889192,0.62593619,0.67819513,0.77667536,0.70778342,0.6352241,0.77247636,0.7384679,0.46965697,0.44667175,0.72598194,0.73199287,0.88500667
21.0,0.62845893,0.62493838,0.71184952,0.69795077,0.79521739,0.76669351,0.68340137,0.84632242,0.70621506,0.55577939,0.5121,0.78735333,0.71326759,0.90101412
22.0,0.66911493,0.64714141,0.72670781,0.73199718,0.86212551,0.73169063,0.70821795,0.9630303,0.64724469,0.56350788,0.50061016,0.8029529,0.71185908,0.91332784
23.0,0.70512667,0.69291697,0.72818514,0.74002077,0.84722261,0.70142468,0.73451983,0.88687091,0.68111259,0.56389697,0.5052346,0.82887054,0.80665126,0.91842431
24.0,0.6318944,0.67719212,0.80148038,0.74780205,0.85801101,0.6997773,0.73715077,0.92922667,0.7291842,0.52186667,0.55990317,0.83129312,0.84256368,0.96069098
