x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,-0.0,0.0,0.55172414,0.64,0.71428571,-0.0,-0.0,0.07142857,0.04545455,-0.0,-0.0,0.83333333,0.77272727,0.03703704,0.625
2.0,-0.0,0.0,0.5862069,0.64,0.65714286,-0.0,-0.0,0.14285714,0.04545455,-0.0,-0.0,0.83333333,0.77272727,-0.0,0.75
3.0,-0.0,0.0,0.62068966,0.52,0.62857143,-0.0,-0.0,0.14285714,0.04545455,-0.0,-0.0,0.75,0.72727273,-0.0,0.65625
4.0,0.05,0.0,0.62068966,0.56,0.68571429,-0.0,-0.0,0.14285714,-0.0,-0.0,-0.0,0.75,0.68181818,-0.0,0.71875
5.0,-0.0,0.0,0.5862069,0.56,0.68571429,-0.0,-0.0,0.14285714,0.04545455,-0.0,-0.0,0.83333333,0.68181818,-0.0,0.6875
6.0,-0.0,0.0,0.55172414,0.56,0.65714286,-0.0,-0.0,0.14285714,0.04545455,-0.0,-0.0,0.66666667,0.86363636,-0.0,0.65625
7.0,-0.0,0.0,0.55172414,0.6,0.65714286,-0.0,-0.0,0.07142857,0.04545455,-0.0,-0.0,0.66666667,0.86363636,-0.0,0.6875
8.0,-0.0,0.0,0.51724138,0.56,0.6,0.03448276,-0.0,0.0,0.04545455,-0.0,-0.0,0.66666667,0.90909091,-0.0,0.71875
9.0,-0.0,0.0,0.48275862,0.56,0.62857143,0.03448276,-0.0,0.0,-0.0,-0.0,-0.0,0.66666667,0.90909091,-0.0,0.6875
10.0,-0.0,0.0,0.44827586,0.64,0.74285714,0.03448276,-0.0,0.0,-0.0,-0.0,-0.0,0.58333333,0.86363636,-0.0,0.71875
11.0,-0.0,0.0,0.24137931,0.64,0.62857143,-0.0,-0.0,0.07142857,-0.0,-0.0,-0.0,0.33333333,0.63636364,-0.0,0.6875
12.0,-0.0,0.0,0.13793103,0.6,0.51428571,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.25,0.40909091,-0.0,0.5
13.0,-0.0,0.0,0.06896552,0.4,0.31428571,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.16666667,0.27272727,-0.0,0.125
14.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.04545455,-0.0,-0.0
15.0,-0.0,0.0,-0.0,-0.0,-0.0,0.03448276,0.11428571,0.0,-0.0,0.14285714,0.05,0.0,-0.0,-0.0,-0.0
16.0,0.05,0.4,-0.0,-0.0,-0.0,0.37931034,0.45714286,0.0,-0.0,0.28571429,0.25,0.0,-0.0,0.03703704,-0.0
17.0,0.05,0.53333333,-0.0,-0.0,-0.0,0.34482759,0.57142857,0.0,-0.0,0.57142857,0.6,0.0,-0.0,0.11111111,-0.0
18.0,0.1,0.6,-0.0,-0.0,-0.0,0.44827586,0.68571429,0.0,-0.0,0.60714286,0.6,0.0,-0.0,0.18518519,-0.0
19.0,0.1,0.6,-0.0,-0.0,-0.0,0.55172414,0.91428571,0.0,0.04545455,0.71428571,0.65,0.0,-0.0,0.25925926,-0.0
20.0,0.1,0.73333333,-0.0,-0.0,-0.0,0.75862069,0.94285714,0.07142857,0.09090909,0.71428571,0.6,0.0,-0.0,0.2962963,-0.0
21.0,0.05,0.73333333,-0.0,-0.0,-0.0,0.79310345,0.91428571,0.07142857,0.13636364,0.67857143,0.65,0.0,-0.0,0.37037037,-0.0
22.0,0.1,0.73333333,-0.0,-0.0,-0.0,0.79310345,0.91428571,0.14285714,0.18181818,0.64285714,0.65,0.0,-0.0,0.37037037,-0.0
23.0,0.1,0.73333333,-0.0,-0.0,-0.0,0.75862069,0.88571429,0.14285714,0.09090909,0.64285714,0.5,0.0,-0.0,0.37037037,-0.0
24.0,0.1,0.66666667,-0.0,-0.0,-0.0,0.72413793,0.91428571,0.21428571,0.04545455,0.67857143,0.5,0.0,-0.0,0.37037037,-0.0
