x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,0.104358,0.150868,0.3219177,0.2772528,0.25969771,0.50225701,0.20621962,0.62709238,0.20166455,0.19331619,0.179336,0.76586667,0.4746203,0.50191556,0.16917458
2.0,0.116824,0.15855111,0.33512092,0.27778053,0.22850819,0.50876575,0.19168229,0.61186143,0.18400061,0.16812524,0.18756433,0.79770167,0.42893091,0.53694346,0.14490854
3.0,0.116141,0.15149111,0.35152966,0.22660427,0.2045699,0.5170446,0.18044914,0.5742481,0.16632939,0.13448762,0.211333,0.85732722,0.40960939,0.57366173,0.12775292
4.0,0.12168833,0.14791289,0.28938943,0.2083328,0.1803819,0.53698874,0.17885581,0.5611919,0.13609091,0.11591643,0.181437,0.87277778,0.40771,0.58224025,0.10665938
5.0,0.103253,0.11196711,0.24638805,0.2063264,0.17377295,0.54374552,0.15006629,0.53714333,0.0976797,0.10901476,0.17293067,0.87874611,0.40125121,0.55735506,0.09947521
6.0,0.08299667,0.08542133,0.23869034,0.18313413,0.135596,0.56306092,0.13883143,0.53994095,0.14119333,0.09787119,0.14359233,0.87610056,0.38909061,0.53538716,0.08164125
7.0,0.06897167,0.10850667,0.23561402,0.18009067,0.12252933,0.55429632,0.12204457,0.50653571,0.1200303,0.08036667,0.11442667,0.88944444,0.39024818,0.55968222,0.08934146
8.0,0.070535,0.10552844,0.21133816,0.14474133,0.11082819,0.51784598,0.11693162,0.42510476,0.09087091,0.07078262,0.07329667,0.89926278,0.41389576,0.57183926,0.06728917
9.0,0.08313867,0.09927378,0.18963816,0.1427472,0.07018629,0.50320391,0.08345581,0.40350095,0.05483,0.07482429,0.083536,0.88431222,0.41642,0.45232099,0.08028813
10.0,0.098088,0.083668,0.14236138,0.1230024,0.04629314,0.50322506,0.03451295,0.47703476,0.06748303,0.0927119,0.09768867,0.79439167,0.33775121,0.36775111,0.04987917
11.0,0.093039,0.10557556,0.13861241,0.15184533,0.04426648,0.52176414,0.03618838,0.51418571,0.10122667,0.08544643,0.064663,0.70517167,0.38000515,0.32139975,0.05712146
12.0,0.11059,0.12071511,0.14841195,0.10727013,0.06001219,0.58365425,0.03912724,0.56386048,0.09452091,0.09800881,0.06107833,0.68250833,0.41663667,0.32918247,0.04442313
13.0,0.171118,0.19870756,0.13655586,0.12421573,0.09101352,0.65863609,0.034452,0.62232619,0.12160212,0.14818738,0.05911133,0.71779667,0.51772364,0.32148938,0.11127771
14.0,0.18235567,0.20056844,0.20047563,0.10781333,0.10827905,0.70395609,0.07131086,0.63688048,0.19805424,0.21098881,0.06423367,0.70936556,0.60609303,0.3156916,0.09931792
15.0,0.18978767,0.16761689,0.22116759,0.16623387,0.14182076,0.75913678,0.07888133,0.70043143,0.23078576,0.28508095,0.134387,0.65879056,0.61565152,0.27206321,0.19588271
16.0,0.30613333,0.20570578,0.28746874,0.2134528,0.16044229,0.73824207,0.11639352,0.84602571,0.30645848,0.43358667,0.07599967,0.64189333,0.72733273,0.28373728,0.24324812
17.0,0.22701267,0.304136,0.31591793,0.25788587,0.19182552,0.74055839,0.12601486,0.81903905,0.36768091,0.46036571,0.16310333,0.64406667,0.77404545,0.24238321,0.34801896
18.0,0.23616067,0.30432889,0.3266977,0.37433093,0.24853562,0.72891402,0.14066876,0.8283419,0.42119121,0.49384643,0.281485,0.614415,0.75086303,0.21976568,0.30828062
19.0,0.25600533,0.32278933,0.26906667,0.51643147,0.24484362,0.78386092,0.16172343,0.81814238,0.46938121,0.42711905,0.47444367,0.62185889,0.71565303,0.26242716,0.29815958
20.0,0.22569367,0.32946578,0.24222207,0.58528427,0.25148267,0.71616667,0.17054648,0.80521524,0.50342848,0.43724405,0.46455433,0.67763389,0.67553879,0.26032988,0.3315275
21.0,0.26837067,0.29560489,0.25432667,0.51481627,0.21916248,0.70435655,0.18274857,0.7917681,0.43736333,0.41163929,0.46394267,0.61596389,0.62497576,0.29925309,0.31705146
22.0,0.18907933,0.26867289,0.23910368,0.43298533,0.2167019,0.67965517,0.18578381,0.69406524,0.38203545,0.3787931,0.40878,0.51993111,0.57338667,0.27043506,0.30636437
23.0,0.19258467,0.21590667,0.23531425,0.36032027,0.23273105,0.65418759,0.20368705,0.68183762,0.35456636,0.32258857,0.322034,0.54565056,0.55839697,0.26694568,0.21081604
24.0,0.159791,0.20066578,0.28093126,0.33555707,0.24045676,0.66198759,0.21312914,0.59842381,0.31929576,0.28435643,0.25909967,0.49584667,0.54554455,0.2624079,0.15633021
