x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,0.05,0.0,0.89655172,0.68,0.91428571,0.03448276,-0.0,0.07142857,0.04545455,0.0,0.0,0.83333333,0.86363636,0.0,0.625
2.0,0.05,0.0,0.82758621,0.76,0.94285714,0.03448276,-0.0,0.07142857,0.04545455,0.0,0.0,0.83333333,0.90909091,0.03703704,0.65625
3.0,0.05,0.0,0.86206897,0.64,0.94285714,0.03448276,-0.0,0.07142857,0.09090909,0.0,0.0,0.75,0.90909091,0.0,0.59375
4.0,0.1,0.0,0.79310345,0.68,0.94285714,0.03448276,-0.0,0.14285714,0.09090909,0.0,0.0,0.75,0.90909091,0.0,0.625
5.0,0.1,0.0,0.79310345,0.68,0.97142857,-0.0,-0.0,0.14285714,0.04545455,0.0,0.0,0.91666667,0.86363636,0.0,0.625
6.0,0.05,0.0,0.79310345,0.72,0.91428571,-0.0,-0.0,0.07142857,0.0,0.0,0.0,0.91666667,0.86363636,0.0,0.71875
7.0,0.05,0.0,0.79310345,0.68,0.97142857,-0.0,-0.0,0.07142857,0.04545455,0.0,0.0,0.91666667,0.86363636,0.0,0.71875
8.0,0.05,0.0,0.75862069,0.64,0.97142857,0.03448276,-0.0,0.07142857,0.04545455,0.0,0.0,0.91666667,0.90909091,0.0,0.71875
9.0,0.05,0.0,0.79310345,0.64,0.97142857,0.03448276,-0.0,0.07142857,0.13636364,0.0,0.0,0.91666667,0.86363636,0.0,0.65625
10.0,0.05,0.0,0.65517241,0.64,0.91428571,-0.0,-0.0,0.14285714,0.13636364,0.0,0.0,0.91666667,0.81818182,0.0,0.625
11.0,0.0,0.0,0.37931034,0.68,0.91428571,-0.0,-0.0,0.0,0.09090909,0.0,0.0,0.58333333,0.77272727,0.0,0.5
12.0,0.0,0.0,0.13793103,0.72,0.77142857,-0.0,-0.0,0.0,0.0,0.0,0.0,0.41666667,0.59090909,0.0,0.53125
13.0,0.0,0.0,0.17241379,0.56,0.57142857,-0.0,-0.0,0.0,0.0,0.0,0.0,0.33333333,0.36363636,0.0,0.15625
14.0,0.0,0.0,0.13793103,0.0,0.17142857,-0.0,-0.0,0.0,0.0,0.0,0.0,0.16666667,0.13636364,0.0,-0.0
15.0,0.05,0.0,-0.0,0.0,-0.0,0.06896552,0.11428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
16.0,0.05,0.18718029,-0.0,0.0,-0.0,0.27586207,0.37142857,0.0,0.0,0.21428571,0.35,0.0,0.0,0.0,-0.0
17.0,0.1,0.4,-0.0,0.0,-0.0,0.31034483,0.44818391,0.0,0.0,0.42857143,0.45,0.0,0.0,0.0,-0.0
18.0,0.1,0.4,-0.0,0.0,-0.0,0.44827586,0.54285714,0.0,0.0,0.64285714,0.45,0.0,0.0,0.07407407,-0.0
19.0,0.1,0.46666667,-0.0,0.0,-0.0,0.65517241,0.85714286,0.0,0.13636364,0.64285714,0.4,0.0,0.0,0.33333333,-0.0
20.0,0.1,0.46666667,-0.0,0.0,-0.0,0.65517241,0.88571429,0.0,0.22727273,0.67857143,0.45,0.0,0.0,0.37037037,-0.0
21.0,0.1,0.53333333,-0.0,0.0,-0.0,0.68965517,0.91428571,0.0,0.22727273,0.67857143,0.45,0.0,0.0,0.40740741,-0.0
22.0,0.15,0.66666667,-0.0,0.0,-0.0,0.72413793,0.94285714,0.07142857,0.18181818,0.67857143,0.55,0.0,0.0,0.51851852,-0.0
23.0,0.1,0.66666667,-0.0,0.0,-0.0,0.72413793,0.94285714,0.14285714,0.22727273,0.71428571,0.55,0.0,0.0,0.55555556,-0.0
24.0,0.1,0.66666667,-0.0,0.0,-0.0,0.75862069,0.97142857,0.14285714,0.18181818,0.67857143,0.6,0.0,0.0,0.51851852,-0.0
