x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,0.248047,0.34109156,0.3942331,0.71497547,0.43207867,0.8671508,0.37830533,0.94761905,0.63897182,0.71592952,0.703701,0.81100278,0.85432606,0.55387753,0.52834812
2.0,0.20682667,0.15940356,0.37992989,0.72203653,0.39075943,0.84379609,0.35928933,0.91848762,0.63764667,0.66730167,0.64826967,0.79900278,0.8482403,0.54007778,0.46974583
3.0,0.24994333,0.10958711,0.32837103,0.7158856,0.38922171,0.85122897,0.35029486,0.92480667,0.62187121,0.65275167,0.615951,0.83167222,0.85108545,0.47956444,0.39161396
4.0,0.25427,0.11634356,0.28545448,0.64432267,0.34852419,0.81089356,0.33243886,0.87830238,0.54269394,0.63611833,0.58261167,0.81652389,0.83298545,0.4202916,0.37660875
5.0,0.241488,0.04744889,0.30218851,0.5761376,0.30746133,0.79447586,0.29448133,0.86405714,0.52537152,0.57699595,0.48393667,0.80915444,0.7874,0.37644543,0.31883896
6.0,0.21818033,0.01652533,0.32694345,0.48567653,0.236072,0.77610966,0.27869924,0.78649333,0.44858455,0.51357952,0.41106767,0.74076278,0.73966636,0.30903827,0.29263271
7.0,0.236316,0.02070178,0.34589057,0.41275627,0.23758571,0.80676046,0.27202571,0.76856238,0.44928091,0.47253595,0.36205067,0.74191389,0.7250103,0.28172938,0.26734375
8.0,0.177911,0.020404,0.37403517,0.28221787,0.24137619,0.79817701,0.23581771,0.52352286,0.41214394,0.33024214,0.23333567,0.68149556,0.66913273,0.25926321,0.15652979
9.0,0.12516933,0.04440178,0.3513269,0.2400592,0.18060229,0.75174437,0.23389771,0.65184905,0.27065758,0.28523333,0.235983,0.59620167,0.64034091,0.22475185,0.12815146
10.0,0.120972,0.03640267,0.24705747,0.21729093,0.15591867,0.71846322,0.15624038,0.64223286,0.31464212,0.31326905,0.23476933,0.51132889,0.66518273,0.17579877,0.1318525
11.0,0.15101167,0.03945911,0.15469126,0.22587413,0.11568629,0.74902414,0.10560686,0.70077048,0.35081879,0.34426024,0.168292,0.48619889,0.66324909,0.17960889,0.13545667
12.0,0.10113633,0.04016044,0.16878391,0.18594053,0.13825829,0.71760828,0.13783162,0.7642119,0.39347485,0.3448169,0.131657,0.420165,0.75752636,0.15615333,0.16655208
13.0,0.116983,0.07705156,0.2681731,0.18336347,0.16139276,0.73074667,0.17925486,0.78912429,0.42480758,0.3601381,0.11251567,0.3987,0.75260788,0.13719852,0.20740083
14.0,0.19356667,0.134644,0.31186069,0.18914107,0.17537829,0.78668414,0.2199739,0.78691238,0.44075455,0.38622119,0.10968633,0.38674,0.74612242,0.16433704,0.17454771
15.0,0.280824,0.13223378,0.33727241,0.23261707,0.19054343,0.79744391,0.25383848,0.79841524,0.49530061,0.4259581,0.099889,0.38181667,0.80511212,0.11729432,0.27206979
16.0,0.25425433,0.20714622,0.40483011,0.25036053,0.21403581,0.77916989,0.26921162,0.81052095,0.48457121,0.36871095,0.14434433,0.35725389,0.81350818,0.13565827,0.27256646
17.0,0.19336633,0.24286844,0.45848483,0.3102208,0.23745695,0.76835862,0.27924533,0.84909238,0.53580788,0.48328571,0.19200667,0.33435167,0.8821797,0.13778272,0.26054167
18.0,0.191489,0.27692267,0.46536414,0.38885253,0.27035143,0.78430966,0.30918705,0.88495143,0.60931545,0.56538238,0.287693,0.34085,0.92137091,0.14687827,0.38487625
19.0,0.228848,0.29852622,0.56176207,0.5057504,0.32891048,0.79074828,0.38936838,0.89500857,0.6396603,0.64060857,0.413229,0.35540444,0.93053273,0.21799432,0.48133271
20.0,0.28836433,0.26022356,0.65914529,0.61338107,0.41596286,0.77785954,0.46047638,0.93194952,0.76482091,0.75626071,0.56505567,0.32211167,0.95750364,0.24699086,0.62041771
21.0,0.272027,0.16826,0.71511034,0.6577288,0.4426379,0.81308989,0.47514743,0.93603476,0.76388576,0.77627476,0.74096633,0.25516778,0.95545455,0.2221684,0.70721938
22.0,0.25163033,0.28449378,0.69036046,0.72956427,0.47534514,0.80166069,0.53814629,0.90624571,0.84733727,0.7978481,0.75932967,0.18130889,0.95939394,0.23621679,0.62720729
23.0,0.189718,0.27489689,0.63493264,0.68729493,0.48608343,0.79913724,0.55075143,0.89527381,0.80090212,0.81227357,0.766422,0.15382111,0.95962364,0.24363654,0.61676042
24.0,0.16667233,0.34635956,0.63075632,0.68107067,0.5082301,0.79836851,0.55179714,0.90496571,0.81177394,0.81894167,0.738322,0.15246056,0.89659455,0.27347901,0.55204292
