x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,0.35760733,0.324788,0.33282483,0.55144133,0.42714895,0.69675816,0.40322724,0.8084581,0.53440152,0.5717919,0.56116267,0.91666667,0.6056297,0.76603235,0.42910271
2.0,0.28353867,0.26594222,0.3373331,0.50060507,0.39659124,0.67176759,0.35419752,0.75493905,0.46308606,0.4569231,0.459158,0.95273,0.56310121,0.78038667,0.36819229
3.0,0.27963233,0.18059867,0.33429126,0.42163787,0.36359695,0.67939379,0.29596114,0.65922,0.42841455,0.42129548,0.380543,0.94401333,0.49250061,0.80810074,0.29845604
4.0,0.18742067,0.14528889,0.29104437,0.35612987,0.31092248,0.66334552,0.25418571,0.59239,0.37331242,0.37997,0.32029233,0.91055556,0.46380606,0.79661679,0.24570583
5.0,0.14841267,0.09629778,0.26791126,0.31695893,0.29336019,0.55110345,0.20811733,0.56824143,0.33617303,0.31121548,0.26265767,0.91968222,0.45331667,0.80087605,0.20978417
6.0,0.141723,0.093416,0.2553731,0.24420027,0.24400762,0.56029149,0.19603124,0.54911143,0.29983485,0.28798595,0.24188133,0.96222222,0.44007667,0.80765358,0.17840771
7.0,0.147738,0.08785911,0.23102368,0.2440936,0.23741943,0.53585011,0.17565981,0.50616333,0.27516606,0.23022095,0.239477,0.88008889,0.38454576,0.78596543,0.16043875
8.0,0.09491367,0.05056267,0.23736575,0.1562168,0.24807924,0.5238108,0.16760324,0.48064476,0.18534636,0.14599167,0.11113033,0.87895333,0.36241818,0.75488938,0.08444187
9.0,0.075299,0.03435289,0.2288908,0.12506667,0.19022076,0.52182575,0.12094019,0.46213381,0.11589182,0.13962167,0.10572667,0.86433611,0.36779061,0.69248914,0.08285417
10.0,0.05516533,0.04360222,0.16025908,0.13468987,0.11916533,0.50432299,0.0896259,0.50162143,0.10240939,0.13015048,0.13896667,0.90862222,0.36958303,0.57047136,0.07544833
11.0,0.04086733,0.05430667,0.13014437,0.1506096,0.09334362,0.53652345,0.06625238,0.53930286,0.12847364,0.14552024,0.130598,0.84800667,0.3585803,0.49027457,0.08589646
12.0,0.05369067,0.05747289,0.12023448,0.15165627,0.10634343,0.58535172,0.06324667,0.51634714,0.16561424,0.19755405,0.147929,0.83193222,0.44720455,0.43923679,0.0925875
13.0,0.08239733,0.06299378,0.11341701,0.1361656,0.1224141,0.60241425,0.06795029,0.58016905,0.26565394,0.20414929,0.12652867,0.806675,0.49025818,0.3833516,0.08731562
14.0,0.106589,0.08232267,0.1250308,0.14623013,0.16135333,0.68012069,0.08752552,0.65536333,0.30245303,0.19567524,0.12459967,0.74081167,0.60082,0.32442198,0.13347708
15.0,0.11583767,0.10181511,0.16743655,0.17225627,0.16628286,0.63407448,0.10912381,0.66237476,0.33600909,0.2463031,0.15032633,0.65771,0.56387242,0.33121136,0.11365333
16.0,0.17117533,0.116604,0.22406391,0.23996347,0.18897448,0.63146023,0.12540381,0.64808667,0.39609091,0.32596167,0.150546,0.64760667,0.58771455,0.32354173,0.17947062
17.0,0.19106833,0.17971822,0.19266023,0.27467307,0.20795371,0.6271669,0.15602514,0.75049667,0.41871182,0.42879619,0.17612033,0.61298111,0.59090455,0.27776099,0.27037583
18.0,0.19377633,0.19802667,0.22676828,0.32307013,0.223368,0.59969609,0.17727219,0.84290524,0.42435667,0.5102831,0.21436367,0.53938944,0.64103333,0.30239728,0.24964937
19.0,0.21481433,0.18915822,0.26608759,0.3857288,0.27222038,0.67728644,0.23049105,0.87877857,0.49643091,0.55825095,0.332429,0.46178056,0.71496848,0.3342116,0.35817646
20.0,0.19515333,0.28509911,0.35211701,0.47848587,0.41848171,0.68124161,0.32267962,0.89115762,0.66538424,0.70339024,0.47357333,0.50694667,0.75647939,0.40313605,0.41317896
21.0,0.450105,0.30107467,0.43338483,0.61548613,0.52339219,0.72711057,0.32910971,0.92138762,0.75971333,0.78385214,0.63382433,0.57577222,0.78568182,0.42632642,0.51905875
22.0,0.504244,0.51131067,0.50564138,0.69500107,0.50807314,0.70734644,0.34448724,0.91068333,0.81585485,0.76424262,0.74223933,0.57578667,0.76811545,0.43610568,0.59508479
23.0,0.485193,0.45440667,0.53504161,0.75515227,0.53477657,0.75646851,0.42326133,0.84369857,0.82637788,0.72803381,0.73012133,0.55789389,0.84207697,0.41207037,0.5757475
24.0,0.43786067,0.41071778,0.51667517,0.652264,0.51547371,0.73233172,0.3815539,0.77111619,0.77567848,0.68157929,0.66921367,0.54633111,0.76798667,0.3880079,0.49650062
