x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.0,10520.17287424,12797.34920455,9651.70045036,13797.79974013,9776.29815353,9751.13658205,9865.4591091,11987.8035595,9829.82328137,11765.72468739,13486.2596652,9710.39295604,10268.624928,9581.75763053,12065.10359877
2.0,9989.0515241,12141.98054974,9171.06850694,13038.2922574,9257.29206937,9250.67459779,9409.92247578,11336.51292005,9326.7610852,11143.34456797,12724.84009425,9121.30092712,9759.93348794,9117.03807598,11420.5760914
3.0,9638.12651146,11702.78040872,8904.14139676,12496.73714727,8945.14588802,8937.01029825,9147.59804254,10893.41831147,9009.22326885,10727.33208803,12209.52886052,8807.4521535,9433.01939315,8842.50376821,10971.60959802
4.0,9442.00471933,11448.75824638,8774.67468726,12173.49969581,8779.59328827,8744.58290536,9029.698138,10629.80601017,8835.4845514,10499.14507671,11903.35373711,8600.96526467,9262.52327999,8689.32545231,10723.15750848
5.0,9476.59800337,11447.40142596,8771.07341378,12126.85346132,8795.93630748,8670.81820436,9076.47398983,10613.41723386,8847.64643094,10530.13475371,11836.86473159,8545.64243049,9292.15745524,8672.63788917,10714.73725457
6.0,9920.71738967,11843.21930737,8977.19786937,12452.92208131,9143.52365513,8780.57297353,9403.29969731,11006.17284627,9203.22155191,10962.50767822,12113.40519717,8695.9216713,9636.75501641,8882.81550443,11061.41778357
7.0,10615.80089303,12370.11317302,9548.11074792,12895.49715042,9814.84980645,9176.87553493,10107.16671851,11591.46012278,9879.3647117,11538.2062396,12468.44927794,9160.47573171,10269.31765973,9443.82056949,11513.19951199
8.0,10832.49318052,12503.48714963,10334.94139494,13037.60371223,10198.16815051,9686.52904054,10766.5507795,11763.18080691,10264.5971591,11761.15463101,12681.99784731,9801.65956834,10686.86340035,10124.93759157,11736.0013299
9.0,11154.45018904,13111.92738979,10571.14361059,13858.00627752,10387.07608382,9865.44516155,10951.56611796,12424.34943164,10542.46359942,12405.79962817,13581.47217149,10130.2766632,10932.39762758,10370.01195076,12434.27304729
10.0,11727.11957842,14081.23536886,10669.41736776,15094.17916664,10827.89796515,10209.14682537,11190.63512207,13395.74021402,11016.89892628,13389.13871939,14798.5109339,10410.83425274,11409.18635729,10530.82833384,13414.43742316
11.0,12358.08640181,15106.81006399,10839.9763804,16352.4335296,11338.95935878,10683.32200233,11505.74936121,14403.80056513,11561.09818268,14404.75565217,16036.68752464,10674.21840371,11995.81482396,10745.33101802,14440.2871904
12.0,12950.10220856,15995.84656819,10975.90857464,17454.42065691,11820.49733905,11089.00471738,11762.47111463,15253.26182535,11987.89090964,15256.42593019,17165.11775018,10804.70810132,12489.97379886,10878.81269122,15358.85915094
13.0,13468.37448895,16700.18405584,11003.95803531,18301.35036758,12233.64851787,11356.83190923,11936.95129317,15952.79715358,12339.00757366,15933.82218066,18026.98526595,10794.41130204,12877.1339679,10895.93580211,16071.71154371
14.0,13991.83649644,17308.16459583,10955.8308862,19000.43093008,12622.61093953,11523.32567284,12056.6497395,16580.91868008,12703.43646025,16535.78718547,18738.35216799,10652.43236509,13246.23582239,10827.72167073,16688.06990765
15.0,14419.87814631,17740.46341695,10930.3617569,19529.89925803,12952.10521177,11662.63718718,12117.00514314,17004.28111482,13005.83890627,16940.09592628,19286.4369538,10524.79009151,13525.49885272,10786.1979935,17166.07281048
16.0,14729.0973269,18144.40256442,10883.58070901,19852.46416766,13193.40136981,11697.77391394,12122.72945975,17314.64382327,13262.66681481,17207.34972834,19640.33494524,10403.4413486,13659.70805919,10744.47777633,17490.94108842
17.0,14818.03431909,18401.99814072,10857.06069587,19904.50187555,13283.03536,11676.85554339,12091.03252775,17334.62740538,13396.41558879,17257.28723735,19655.03018121,10346.59282602,13648.26584682,10733.05303394,17579.31064369
18.0,14570.31806211,18300.21007801,10826.60394502,19667.05424461,13114.84668851,11591.47109964,11957.02036905,16958.13397517,13275.85681372,16947.85026448,19379.38226724,10377.17624383,13429.30715902,10747.98155416,17339.35739307
19.0,14040.70152748,17720.35086074,11018.27588004,18993.42188844,12869.91996628,11663.73775678,12000.94672897,16195.31088202,12908.92357644,16264.43775591,18749.59307904,10766.46504833,13167.77234303,10909.56048573,16697.62859836
20.0,13713.80496086,17088.31423943,11413.40071358,18247.11698165,12849.956877,11938.50230262,12270.89410172,15521.49179598,12706.73646443,15760.86381039,18037.22160395,11402.55468695,13211.50562461,11300.40477051,16102.43125911
21.0,13662.61029471,16796.6961464,11429.24976661,17848.39171105,12687.50596988,11929.19327275,12118.50001043,15364.95224576,12688.07036402,15440.815114,17620.4282197,11451.04490798,13118.83856204,11294.14881068,15815.05443303
22.0,13145.06194801,16159.32173439,11218.45791114,17188.14653208,12210.02426335,11669.60822222,11755.25793368,14801.00866941,12233.11251913,14836.6878802,17020.36266226,11297.0109593,12703.34319164,11023.24040194,15279.45177558
23.0,12247.36981623,15098.88040818,10787.23598766,16062.93922493,11465.58961793,11205.41782471,11178.62999158,13830.74146209,11445.33806507,13834.69202812,15917.02092814,10967.72107832,12018.50130513,10539.46364316,14269.6215074
24.0,11216.00704315,13965.33125186,10156.47099695,14882.78661135,10598.95391312,10498.52060128,10440.52570004,12767.42075433,10574.85521189,12741.07653245,14743.35968865,10456.8521563,11182.8471099,9890.76882365,13155.6054699
