x1,x2,x3,x4,x5
1.0,0.0,-0.0,-0.0,0.0
2.0,0.0,-0.0,-0.0,0.0
3.0,0.0,-0.0,-0.0,0.0
4.0,0.0,-0.0,-0.0,0.0
5.0,0.0,-0.0,-0.0,0.0
6.0,0.0,-0.0,-0.0,0.0
7.0,0.00077816,0.00942017,0.00929093,0.00063974
8.0,0.03272584,0.10257598,0.10104242,0.02821296
9.0,0.16764658,0.26355473,0.28006086,0.15761852
10.0,0.31905293,0.43540707,0.42727728,0.31371802
11.0,0.44744172,0.55004056,0.5614627,0.45728095
12.0,0.50353448,0.62437269,0.61447466,0.53371248
13.0,0.55182498,0.63633132,0.65685427,0.57697312
14.0,0.53723141,0.62973745,0.62843249,0.56545224
15.0,0.48637708,0.60240144,0.58455179,0.5261516
16.0,0.4043301,0.48826581,0.48209365,0.41950386
17.0,0.26591811,0.38393995,0.35236725,0.27982596
18.0,0.1163474,0.21599661,0.21011239,0.10993211
19.0,0.01611016,0.0653792,0.06736948,0.01237452
20.0,1.201e-5,0.00273196,0.00279768,3.14e-6
21.0,0.0,-0.0,-0.0,0.0
22.0,0.0,-0.0,-0.0,0.0
23.0,0.0,-0.0,-0.0,0.0
24.0,0.0,-0.0,-0.0,0.0
