x1,x2,x3,x4
-0.0,0.02985075,0.84158416,0.609375
-0.0,0.03731343,0.84158416,0.65625
-0.0,0.02238806,0.86138614,0.578125
-0.0,0.02238806,0.85148515,0.625
-0.0,0.01492537,0.86138614,0.625
-0.0,-0.0,0.84158416,0.671875
-0.0,-0.0,0.86138614,0.671875
-0.0,0.01492537,0.85148515,0.65625
-0.0,0.02985075,0.85148515,0.625
-0.0,0.02985075,0.78217822,0.609375
-0.0,0.01492537,0.64356436,0.546875
-0.0,-0.0,0.47524752,0.5625
-0.0,-0.0,0.36633663,0.296875
-0.0,-0.0,0.14851485,-0.0
-0.0,0.05223881,0.0,-0.0
0.20920764,0.17910448,0.0,-0.0
0.39393939,0.2066152,0.0,-0.0
0.45454545,0.29104478,0.0,-0.0
0.45454545,0.49253731,0.0,-0.0
0.48484848,0.52238806,0.0,-0.0
0.5,0.54477612,0.0,-0.0
0.56060606,0.58955224,0.0,-0.0
0.59090909,0.59701493,0.0,-0.0
0.59090909,0.59701493,0.0,-0.0
