x1,x2,x3,x4
-0.0,0.00746269,0.7029703,0.6875
-0.0,-0.0,0.72277228,0.671875
-0.0,-0.0,0.73267327,0.703125
-0.0,-0.0,0.79207921,0.75
-0.0,-0.0,0.76237624,0.78125
-0.0,0.00746269,0.79207921,0.78125
-0.0,0.01492537,0.78217822,0.75
-0.0,0.00746269,0.78217822,0.6875
-0.0,0.01492537,0.78217822,0.65625
-0.0,-0.0,0.77227723,0.6875
-0.0,0.01492537,0.77227723,0.65625
-0.0,0.00746269,0.5049505,0.640625
-0.0,-0.0,0.37623762,0.4375
-0.0,-0.0,0.0990099,0.015625
-0.0,-0.0,-0.0,-0.0
0.13636364,0.13432836,-0.0,-0.0
0.3030303,0.18656716,-0.0,-0.0
0.42424242,0.25373134,-0.0,-0.0
0.45454545,0.42537313,-0.0,-0.0
0.5,0.47014925,-0.0,-0.0
0.54545455,0.53731343,-0.0,-0.0
0.62121212,0.57462687,-0.0,-0.0
0.63636364,0.58208955,-0.0,-0.0
0.66666667,0.56716418,-0.0,-0.0
