x1,x2,x3,x4,x5
1.0,0.0,-0.0,-0.0,0.0
2.0,0.0,-0.0,-0.0,0.0
3.0,0.0,-0.0,-0.0,0.0
4.0,0.0,-0.0,-0.0,0.0
5.0,0.0,-0.0,-0.0,0.0
6.0,0.0,-0.0,-0.0,0.0
7.0,0.00017857,0.0023859,0.00263996,2.649e-5
8.0,0.0184358,0.07136108,0.06749493,0.01535986
9.0,0.12090845,0.22084039,0.22571071,0.12430919
10.0,0.28123047,0.39012826,0.39251959,0.27166395
11.0,0.40564172,0.53911715,0.55141239,0.4034343
12.0,0.5143629,0.64989981,0.65627833,0.51959502
13.0,0.57049487,0.70722159,0.69755344,0.54948379
14.0,0.59490388,0.71126065,0.71532442,0.57016134
15.0,0.54647292,0.67577508,0.66668206,0.56763903
16.0,0.46452942,0.58390962,0.57107195,0.47644648
17.0,0.31944254,0.43906001,0.42257762,0.34638646
18.0,0.16496733,0.26794498,0.25993201,0.15746156
19.0,0.03020204,0.09670452,0.09059825,0.02439752
20.0,0.00026324,0.00904811,0.00877635,9.673e-5
21.0,0.0,-0.0,-0.0,0.0
22.0,0.0,-0.0,-0.0,0.0
23.0,0.0,-0.0,-0.0,0.0
24.0,0.0,-0.0,-0.0,0.0
