x1,x2,x3,x4,x5
1.0,12755.69602818,9810.98325316,9892.05609556,12653.3208736
2.0,12061.85398652,9303.6803696,9402.07606182,11971.90189257
3.0,11572.3887464,9003.83115386,9102.93923362,11513.18217383
4.0,11290.93147597,8844.93491026,8940.07940778,11247.65081099
5.0,11261.54996123,8849.64968877,8945.2146362,11232.97086078
6.0,11595.21752824,9130.06951886,9237.10570979,11597.47612009
7.0,12033.74948644,9739.15583674,9859.50884022,12073.98327666
8.0,12221.29597066,10279.81596613,10366.02561627,12275.34097162
9.0,12967.98595842,10510.66094489,10595.52043636,13018.69818142
10.0,14051.68092937,10834.41696515,10941.72884833,14087.45118074
11.0,15169.89443347,11232.41029188,11362.3639249,15192.23753958
12.0,16151.09303911,11579.80254857,11707.50739083,16150.90213765
13.0,16920.55513281,11821.56458959,11958.18531514,16899.18938529
14.0,17579.87697976,12012.75552046,12156.58673802,17541.6246327
15.0,18086.70789395,12170.19700771,12307.45757373,18001.04935962
16.0,18406.50944398,12265.4839576,12397.03662132,18332.00187776
17.0,18466.51485783,12291.18290769,12420.07163608,18401.28843235
18.0,18203.17992996,12180.64959003,12313.06946571,18131.22649381
19.0,17535.8943656,12131.913667,12220.96900844,17475.46687487
20.0,16879.67904695,12318.95723671,12345.63057922,16835.68616301
21.0,16557.98429818,12253.82697285,12287.63339475,16502.66845638
22.0,15977.6816748,11907.72556321,11911.34852953,15908.26744085
23.0,14925.24069578,11324.37952749,11281.87380385,14862.76674159
24.0,13786.89384714,10581.22742129,10493.2861572,13736.72476325
