x1,x2,x3,x4,x5
1.0,16787.06122213,12621.84251169,12614.88909611,16406.11962095
2.0,15702.71999486,11967.80859415,11949.10405308,15347.70412636
3.0,14932.77472469,11620.22083705,11578.62777853,14610.09533879
4.0,14433.25949881,11483.84132318,11420.57372189,14137.84580495
5.0,14265.00717005,11575.31179991,11485.94065873,14002.91996411
6.0,14606.19798609,12047.64354793,11960.27444854,14387.23147732
7.0,15324.86029813,13126.40076143,13056.02945776,15185.24617395
8.0,15796.98706887,14293.35143337,14198.45805939,15726.61438046
9.0,16710.36779764,14775.41515185,14674.51036128,16659.15169664
10.0,18048.97379384,14938.42339289,14855.19044465,17998.72436669
11.0,19587.8231288,15114.57476983,15040.8215199,19550.27320646
12.0,21069.00578906,15202.88347275,15141.46751629,21046.35137823
13.0,22402.34847105,15197.33245605,15162.25317989,22428.54227925
14.0,23616.50675466,15190.28300515,15187.64272657,23704.93052393
15.0,24529.90198878,15186.02230396,15209.88704812,24663.52840863
16.0,25144.76277509,15147.97523706,15198.65264375,25297.77854534
17.0,25386.45602993,15138.15237409,15218.47325709,25593.25810959
18.0,25180.53574672,15139.95534187,15235.38407993,25426.35059704
19.0,24472.09913768,15351.63558799,15422.04256465,24738.67419736
20.0,23415.2085099,15797.91737835,15816.65534551,23636.4657711
21.0,22590.38247132,15823.8780927,15883.18739337,22775.57739676
22.0,21701.76808892,15467.33893256,15518.20524573,21875.61444826
23.0,19989.05966836,14687.53422589,14695.59013694,20158.04919749
24.0,18129.55863809,13588.11984176,13565.58328441,18310.59352059
