x1,x2,x3,x4,x5
1.0,8326.4519228,10898.70908248,10995.16089259,8275.01192159
2.0,7792.69247345,10165.09064683,10256.09187319,7756.52357308
3.0,7483.71540326,9648.52025798,9726.19183298,7445.44356313
4.0,7319.91346448,9316.0213684,9382.78784806,7289.00527421
5.0,7301.67562819,9188.00967074,9231.70472853,7270.77298559
6.0,7549.1970473,9418.54940301,9436.69807453,7511.06722691
7.0,8196.03100889,9923.43566044,9900.07916512,8142.39287837
8.0,8856.5717691,10145.33613643,10101.37789484,8830.61915878
9.0,9123.58116393,10746.84611424,10721.46456305,9117.07968847
10.0,9347.71534539,11654.3620503,11649.37020954,9337.64017624
11.0,9619.03534211,12657.49143605,12684.53848356,9592.67195261
12.0,9847.22648246,13606.73747344,13647.12804479,9789.40535179
13.0,10024.39651327,14473.23372745,14514.68775461,9935.81434352
14.0,10203.99482044,15238.65469696,15280.77088515,10079.93494823
15.0,10367.48061533,15850.88087201,15871.53812753,10212.31594548
16.0,10498.61466492,16273.41088454,16283.84977695,10330.99217766
17.0,10586.14229816,16487.67182812,16506.11611181,10414.5097884
18.0,10584.03471948,16391.30390074,16418.62588529,10418.937722
19.0,10563.85926053,15967.58931469,15987.24625123,10434.4605868
20.0,10763.23300019,15288.8705363,15322.16950175,10719.82025258
21.0,10795.84579528,14856.21775665,14897.95535306,10746.7205161
22.0,10458.96356944,14317.94737128,14361.8936223,10430.69199996
23.0,9836.17444143,13251.91738833,13291.39051165,9853.01040264
24.0,9015.29194978,12038.45583271,12070.82307535,9075.56176182
