x1,x2,x3,x4
4755.2048856,4111.62163708,4124.16507397,4772.43993188
4554.15397419,3996.52765865,4016.15723533,4572.48347574
4414.22471934,3938.35021584,3961.82883122,4430.79866084
4319.59977872,3916.85112303,3942.12871886,4335.54355769
4273.22442128,3932.8723345,3958.54589775,4286.05487084
4306.99376369,4004.70001412,4030.4778721,4311.11978591
4432.88539004,4185.8471641,4211.10128813,4421.33458775
4510.55818216,4388.0624647,4418.47461055,4488.59041455
4690.13584938,4480.91218804,4517.5655655,4669.14182829
4949.76376744,4510.94231577,4545.19866887,4934.24418563
5232.68322309,4536.66459753,4563.9113408,5225.98574632
5515.56836455,4547.03774317,4562.55047033,5520.59799145
5765.61599338,4539.93644861,4545.34611491,5779.33455415
6019.59917251,4546.76890529,4543.70070145,6038.29180359
6217.31949539,4569.46149219,4555.5434584,6242.4536347
6359.39617586,4591.71246135,4569.73703968,6399.9981174
6434.53853947,4618.80429514,4593.55347828,6487.30135476
6376.29849592,4619.33662569,4594.95861979,6434.27311788
6249.07742083,4614.14211116,4593.73905895,6306.05350267
6064.31458893,4683.44860378,4676.32103271,6117.76956593
5872.67063739,4715.27095967,4700.90699995,5919.10936841
5718.76957274,4652.56372248,4640.56668812,5761.93420228
5400.15505633,4500.1711626,4498.97202828,5442.14346564
5046.38185336,4288.30252073,4297.02041007,5081.29305428
