x1,x2,x3,x4,x5,x6
1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.00018908,0.00851995,0.00830266,0.00172319,0.00160835
8.0,0.01693243,0.09029898,0.09019337,0.02499211,0.02776841
9.0,0.13658092,0.24825216,0.25689552,0.13230815,0.15529329
10.0,0.30387853,0.41311818,0.42256191,0.27683193,0.314443
11.0,0.42745779,0.54700707,0.5609141,0.39979473,0.4461295
12.0,0.52754745,0.64294149,0.6407902,0.50493989,0.55013472
13.0,0.5812301,0.68664994,0.71237153,0.55560549,0.58860061
14.0,0.61452888,0.69559384,0.69826259,0.54498413,0.59170379
15.0,0.5690769,0.65811996,0.64676532,0.51445816,0.55583365
16.0,0.45069522,0.5411041,0.54901805,0.44771592,0.46795169
17.0,0.3129507,0.40007629,0.42483378,0.31616296,0.32427219
18.0,0.12108569,0.23713809,0.24880692,0.1430773,0.13556203
19.0,0.01488932,0.08507473,0.08613746,0.02790458,0.02494664
20.0,-0.0,0.00872854,0.00849102,0.00054932,0.00058278
21.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0
