x1,x2,x3,x4,x5,x6
1.0,0.83576952,0.36657511,0.63257867,0.55590206,0.62098573
2.0,0.81877471,0.34139797,0.60459641,0.53524865,0.53989146
3.0,0.80059005,0.34505502,0.55658841,0.52315035,0.51544927
4.0,0.74256106,0.32162228,0.5151481,0.48965064,0.50136708
5.0,0.72746974,0.28463013,0.4566041,0.46812695,0.43290219
6.0,0.68917481,0.24854093,0.396328,0.43475858,0.36607812
7.0,0.73076995,0.2240865,0.3426319,0.44135277,0.33203781
8.0,0.66013704,0.19558709,0.23280379,0.43332816,0.21763229
9.0,0.63099153,0.15190329,0.20206759,0.38892255,0.20967396
10.0,0.59637048,0.11034,0.20827918,0.34414404,0.22286958
11.0,0.63076222,0.099287,0.22085497,0.29622071,0.21209083
12.0,0.64264339,0.09189384,0.2196721,0.32269582,0.20594875
13.0,0.66070709,0.11097949,0.23825108,0.35829376,0.21599448
14.0,0.7195545,0.13965595,0.22736174,0.37386511,0.23168052
15.0,0.70780825,0.17759586,0.29139221,0.40039965,0.26315594
16.0,0.69730974,0.17927485,0.30319056,0.42881844,0.27154979
17.0,0.70562328,0.1766627,0.3269521,0.4660278,0.3435099
18.0,0.71885672,0.21224287,0.41704728,0.4911273,0.42064156
19.0,0.73268815,0.28849266,0.51138,0.54494532,0.4918074
20.0,0.75367164,0.3629243,0.62554667,0.60854631,0.58030885
21.0,0.75146307,0.37082177,0.68467826,0.62692652,0.62425396
22.0,0.7665509,0.40321722,0.66667231,0.62666624,0.66373125
23.0,0.75726455,0.38825384,0.64531056,0.61036404,0.66837781
24.0,0.75681418,0.39254084,0.61698862,0.60146064,0.68123229
