x1,x2,x3,x4,x5,x6
1.0,0.93548387,0.8030303,-0.0,0.0483871,0.09638554
2.0,0.93548387,0.8030303,-0.0,0.0483871,0.09638554
3.0,0.92473118,0.81818182,-0.0,0.0483871,0.10843373
4.0,0.92473118,0.77272727,-0.0,0.03225806,0.06024096
5.0,0.91397849,0.75757576,-0.0,0.03225806,0.08433735
6.0,0.93548387,0.77272727,-0.0,0.03225806,0.08433735
7.0,0.91397849,0.77272727,-0.0,0.0483871,0.07228916
8.0,0.92473118,0.77272727,-0.0,0.0483871,0.07228916
9.0,0.89247312,0.72727273,-0.0,0.0483871,0.08433735
10.0,0.88172043,0.72727273,-0.0,0.0483871,0.08433735
11.0,0.79569892,0.77272727,-0.0,0.0483871,0.08433735
12.0,0.56989247,0.75757576,-0.0,0.03225806,0.04819277
13.0,0.44086022,0.63636364,-0.0,-0.0,0.02409639
14.0,0.37634409,0.3030303,-0.0,-0.0,-0.0
15.0,0.17204301,-0.0,-0.0,0.06451613,0.03614458
16.0,-0.0,-0.0,0.26229508,0.17741935,0.19277108
17.0,-0.0,-0.0,0.52459016,0.19354839,0.20481928
18.0,-0.0,-0.0,0.70491803,0.24193548,0.28915663
19.0,-0.0,-0.0,0.7704918,0.32258065,0.36144578
20.0,-0.0,-0.0,0.7704918,0.43548387,0.48192771
21.0,-0.0,-0.0,0.7704918,0.61290323,0.60240964
22.0,-0.0,-0.0,0.78688525,0.66129032,0.63855422
23.0,-0.0,-0.0,0.83606557,0.70967742,0.65060241
24.0,-0.0,-0.0,0.83606557,0.72580645,0.6746988
