x1,x2,x3,x4,x5,x6
1.0,0.88934804,0.71847283,0.71857774,0.75069574,0.74763323
2.0,0.89331894,0.68861781,0.74272523,0.74534539,0.7378026
3.0,0.87097079,0.67422203,0.74684728,0.72910745,0.7580801
4.0,0.85791598,0.66448354,0.73387764,0.73265553,0.71216198
5.0,0.84083048,0.6317903,0.72557703,0.74920227,0.70266073
6.0,0.85283386,0.60550219,0.71336646,0.7342195,0.68822677
7.0,0.82460063,0.59007755,0.7032361,0.73244241,0.67369552
8.0,0.82676032,0.58705401,0.64272369,0.70775043,0.57917396
9.0,0.75815587,0.56401384,0.48230769,0.67765638,0.43798823
10.0,0.67432116,0.48013316,0.44084072,0.61814085,0.38546229
11.0,0.60240095,0.39464051,0.41540923,0.5115656,0.36151021
12.0,0.55518741,0.3470897,0.37988482,0.49389922,0.35186938
13.0,0.54609534,0.36193114,0.37600564,0.51436014,0.35057635
14.0,0.55332148,0.36100414,0.39849487,0.52475539,0.39642833
15.0,0.54285651,0.40250059,0.44464882,0.53543681,0.43757115
16.0,0.54420899,0.42022515,0.45349262,0.53327511,0.4806775
17.0,0.55740275,0.42106456,0.52684564,0.54735206,0.54837135
18.0,0.54148571,0.43930624,0.54189292,0.57304894,0.633535
19.0,0.57932656,0.51523755,0.5666801,0.6347139,0.59202125
20.0,0.6204728,0.63400127,0.61327323,0.6956895,0.72868969
21.0,0.67243026,0.67718017,0.68472462,0.75128163,0.7402074
22.0,0.71418487,0.69972903,0.70966092,0.76050277,0.70354823
23.0,0.73634032,0.7148589,0.75100462,0.77778057,0.69025135
24.0,0.72432635,0.72890025,0.76068872,0.80746865,0.70931104
