x1,x2,x3,x4,x5,x6
1.0,-0.0,0.01265823,0.69230769,0.74468085,-0.0
2.0,-0.0,-0.0,0.67692308,0.76595745,-0.0
3.0,-0.0,-0.0,0.70769231,0.77659574,-0.0
4.0,-0.0,-0.0,0.75384615,0.84042553,-0.0
5.0,-0.0,0.01265823,0.78461538,0.79787234,-0.0
6.0,-0.0,0.02531646,0.78461538,0.82978723,-0.0
7.0,0.01587302,0.02531646,0.75384615,0.81914894,-0.0
8.0,-0.0,0.02531646,0.69230769,0.81914894,-0.0
9.0,0.01587302,0.02531646,0.66153846,0.81914894,-0.0
10.0,-0.0,-0.0,0.69230769,0.81914894,-0.0
11.0,0.01587302,0.02531646,0.66153846,0.80851064,-0.0
12.0,-0.0,0.01265823,0.64615385,0.53191489,-0.0
13.0,-0.0,-0.0,0.43076923,0.40425532,-0.0
14.0,-0.0,-0.0,0.01538462,0.10638298,-0.0
15.0,-0.0,-0.0,-0.0,-0.0,-0.0
16.0,0.12698413,0.12658228,-0.0,-0.0,0.140625
17.0,0.15873016,0.20253165,-0.0,-0.0,0.296875
18.0,0.19047619,0.29113924,-0.0,-0.0,0.421875
19.0,0.3968254,0.41772152,-0.0,-0.0,0.453125
20.0,0.46031746,0.44303797,-0.0,-0.0,0.5
21.0,0.50793651,0.51898734,-0.0,-0.0,0.546875
22.0,0.53968254,0.55696203,-0.0,-0.0,0.625
23.0,0.55555556,0.55696203,-0.0,-0.0,0.640625
24.0,0.53968254,0.5443038,-0.0,-0.0,0.671875
