x1,x2,x3,x4,x5,x6
1.0,0.70126698,0.47253646,0.51847405,0.48424809,0.51636604
2.0,0.66616529,0.43310253,0.45660256,0.47306525,0.41864646
3.0,0.63040402,0.4288454,0.37327631,0.44253014,0.36660562
4.0,0.60478646,0.37023722,0.3229439,0.39844638,0.32100729
5.0,0.53085365,0.34557992,0.28787744,0.3816322,0.26521958
6.0,0.51912868,0.34543426,0.23526903,0.36641972,0.2436749
7.0,0.49371439,0.33739738,0.2212039,0.33483858,0.20644479
8.0,0.46428011,0.30410481,0.14576072,0.34009199,0.11234271
9.0,0.44764032,0.24403257,0.119136,0.32042681,0.11438875
10.0,0.43572571,0.17737139,0.13262113,0.27556461,0.1292074
11.0,0.44896011,0.14860422,0.15073056,0.24502248,0.13401135
12.0,0.4946237,0.12747308,0.14675056,0.26683596,0.16059812
13.0,0.53718519,0.12336709,0.13872708,0.27820681,0.16383385
14.0,0.58490434,0.12718869,0.17596021,0.31112546,0.16313802
15.0,0.57073228,0.14565992,0.17793456,0.30781617,0.19555458
16.0,0.58258751,0.16802624,0.234792,0.33856426,0.2347849
17.0,0.58877852,0.17976,0.30315631,0.33297213,0.30240854
18.0,0.59488582,0.19245553,0.32047313,0.35132284,0.35650458
19.0,0.64007725,0.23457485,0.41777918,0.38961191,0.41178438
20.0,0.72149735,0.30989435,0.46976031,0.47851362,0.52675656
21.0,0.74741175,0.3926335,0.59559046,0.55615043,0.62270667
22.0,0.73455069,0.42884523,0.67193169,0.5617339,0.70436427
23.0,0.76716021,0.45685932,0.66844379,0.59723241,0.658155
24.0,0.70698825,0.44141426,0.57525733,0.56841858,0.60549448
