x1,x2,x3,x4,x5
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.00131157,-0.0,0.00119602,4.641e-5,9.606e-5
0.05019452,0.00595728,0.05045603,0.01131448,0.01301673
0.21924839,0.10385729,0.20523092,0.10914458,0.12042421
0.40587777,0.32624623,0.39659334,0.3092863,0.31588425
0.56370862,0.50443064,0.53595312,0.48870502,0.48710612
0.67801716,0.63335877,0.64213785,0.63463772,0.60796173
0.73424556,0.68952757,0.71793286,0.69938146,0.6768007
0.75371033,0.70158853,0.74066871,0.68949194,0.68016182
0.71549141,0.67470163,0.71052851,0.67584897,0.65481593
0.62598098,0.59338272,0.61145202,0.59254961,0.56867469
0.49643771,0.43313935,0.4893931,0.43464804,0.43793434
0.32776473,0.22807569,0.31745289,0.24983523,0.23803334
0.14337462,0.04261372,0.13368757,0.06014047,0.0618692
0.02278809,0.00100346,0.02173033,0.00218103,0.00284261
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
