x1,x2,x3,x4,x5,x6
1.0,0.71995677,0.75802232,0.82458153,0.92001667,0.62607277
2.0,0.73419434,0.75682919,0.78392973,0.90539043,0.59816442
3.0,0.7113481,0.76851535,0.74500601,0.93101269,0.60407253
4.0,0.69341656,0.75090636,0.72453683,0.87916527,0.57679767
5.0,0.67882186,0.75021808,0.71632492,0.91505075,0.57252843
6.0,0.68094158,0.73928323,0.71755891,0.89009871,0.53609952
7.0,0.693301,0.72182616,0.73204601,0.86685892,0.50865928
8.0,0.66961455,0.65089545,0.65008262,0.84863957,0.47189141
9.0,0.62979297,0.47381596,0.43381705,0.80758624,0.41017036
10.0,0.49832925,0.35203061,0.34460339,0.6810972,0.27903245
11.0,0.38418394,0.34550273,0.27728568,0.57199452,0.19003092
12.0,0.35120832,0.30654606,0.25431486,0.51694108,0.16625213
13.0,0.36953226,0.2608399,0.23208087,0.49599054,0.17631751
14.0,0.36666337,0.25069525,0.2450635,0.49538022,0.19252466
15.0,0.37375792,0.25104687,0.25951279,0.48892538,0.22391036
16.0,0.39530538,0.27655121,0.25290536,0.50614538,0.23589325
17.0,0.39821297,0.31122939,0.30763508,0.51349914,0.25618755
18.0,0.41169333,0.32259333,0.35721519,0.54765,0.27345422
19.0,0.49873233,0.40802444,0.44676142,0.63468065,0.35404072
20.0,0.57239685,0.49324939,0.56722842,0.66562989,0.45880924
21.0,0.6842,0.65776869,0.63929333,0.6943429,0.52514305
22.0,0.72606688,0.7111803,0.68248503,0.79507548,0.59787534
23.0,0.73655871,0.77774929,0.73446426,0.80162946,0.61404988
24.0,0.76667011,0.8253003,0.78581705,0.82765376,0.66062892
