x1,x2,x3,x4,x5,x6
1.0,9904.4279467,9917.32946758,12722.19625961,9790.87441293,12706.18138381
2.0,9400.80946755,9434.31436262,12029.313197,9284.11569483,12023.12539749
3.0,9083.41216854,9145.10890307,11539.97631225,8988.39029009,11561.84358689
4.0,8901.73433105,8995.54889294,11257.72654282,8832.13861703,11294.41802944
5.0,8874.27562324,9024.68158739,11225.22027487,8841.53206213,11278.37676206
6.0,9108.44911065,9362.50001679,11552.87720425,9128.85781212,11639.32944277
7.0,9647.50254568,10043.78897618,11983.28115852,9750.80740332,12111.41604342
8.0,10124.8717029,10563.42763892,12171.53222469,10301.55904174,12308.91322067
9.0,10358.53387621,10806.44799553,12921.64803135,10518.20523921,13056.97241947
10.0,10735.31038347,11148.10194546,14006.28503159,10826.47225238,14131.65015527
11.0,11207.17682822,11552.34136613,15124.37810676,11207.81701407,15238.8225376
12.0,11601.43497073,11885.54759295,16106.56495815,11538.26366497,16197.24021217
13.0,11878.97010402,12134.36331473,16877.63475511,11768.55916148,16943.06632857
14.0,12092.53126366,12343.6459693,17537.14306594,11948.72287998,17579.03955835
15.0,12266.36603669,12496.96490851,18044.73681961,12095.08081595,18033.1405867
16.0,12366.29711237,12594.30854776,18365.43593435,12179.50165,18363.93642402
17.0,12390.41402712,12616.2160382,18428.23484427,12197.42739211,18443.28859196
18.0,12274.55241225,12500.86951485,18168.05091015,12086.11967275,18187.14576661
19.0,12165.58316101,12389.59087353,17504.0078401,12055.45662976,17537.94265127
20.0,12266.84513968,12492.78461428,16848.53162283,12271.18471267,16899.94964819
21.0,12226.16015313,12419.09809523,16529.80704511,12203.01651361,16565.44785903
22.0,11870.33816813,12024.91184181,15950.13361699,11860.54400695,15966.70470736
23.0,11276.66098483,11358.93674731,14896.2106099,11284.63821063,14920.25163974
24.0,10509.22335329,10547.13373307,13755.4299871,10550.03245423,13791.85498715
