x1,x2,x3,x4,x5
4762.84647198,4131.28593138,4773.9727027,4095.45757782,4118.3623533
4563.03233725,4025.59847432,4571.68284022,3973.79596517,4006.32833793
4421.4123232,3974.75077202,4430.06872976,3901.35227449,3956.29969588
4325.98374681,3957.87495533,4334.25322998,3868.38006888,3941.13731831
4275.50486763,3977.85317109,4287.29857073,3873.34964026,3962.53796109
4299.09895268,4053.30215701,4319.87553583,3930.2398001,4044.25549662
4405.91165363,4240.1276049,4445.51063554,4087.15671691,4240.42231813
4471.09677136,4456.38839067,4524.0580206,4268.69390984,4449.16911037
4651.46537351,4554.19559708,4705.89904294,4365.12644976,4540.68051535
4915.07428386,4575.3222505,4969.11715611,4415.83684356,4562.52609553
5204.53657482,4584.89671301,5255.9159894,4474.26112994,4573.6462542
5496.78819153,4575.22742153,5541.82437711,4515.25219232,4570.52141381
5755.14590253,4549.53439076,5794.19937176,4536.80470222,4550.67239845
6013.20285636,4539.99125361,6049.8677554,4566.21156749,4550.06634121
6217.37046437,4544.79129836,6248.54261418,4606.77314943,4566.76127742
6375.2863477,4553.5255688,6393.18894355,4638.80719798,4585.46325301
6463.69583149,4574.25760391,6468.90163711,4670.762498,4610.83572294
6413.36764593,4574.57363637,6409.49438663,4676.10778049,4606.63862777
6286.32802199,4576.56579203,6280.7184956,4666.87386139,4600.07292828
6098.60167481,4670.02853452,6094.38673251,4724.80056795,4664.79224752
5901.27279284,4698.34807289,5901.2563236,4752.34002751,4692.37837954
5745.33501874,4639.34611453,5744.34762287,4684.77478341,4632.56416193
5425.22715373,4503.28247894,5423.16201024,4533.22879512,4474.30903724
5063.95783369,4306.55053527,5067.46552277,4320.68888444,4258.11042592
