x1,x2,x3,x4,x5,x6,x7
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.0,0.00068727,0.00936024,0.00142132,0.00114601,0.0008734,0.0088679
8.0,0.02876971,0.10216447,0.02258478,0.03899611,0.03392002,0.10023608
9.0,0.14406449,0.26159821,0.14188296,0.19245018,0.17344346,0.27734663
10.0,0.28493215,0.43346425,0.27830965,0.35645484,0.33786447,0.42365876
11.0,0.40996973,0.54768629,0.38967571,0.48639338,0.49545245,0.56204976
12.0,0.47500811,0.62191554,0.48597778,0.53526398,0.55998494,0.61446507
13.0,0.50510379,0.63321856,0.54825799,0.5979364,0.59613124,0.65538222
14.0,0.48883685,0.63048982,0.51876155,0.58602609,0.5955391,0.61977041
15.0,0.44742534,0.60014206,0.48119464,0.53248457,0.54936199,0.57910746
16.0,0.36803488,0.49335561,0.4046267,0.43868776,0.42542805,0.48120703
17.0,0.24675052,0.38579898,0.27521675,0.2906127,0.27724426,0.35314209
18.0,0.1100374,0.21665619,0.11474796,0.12882709,0.10523309,0.21086543
19.0,0.0139381,0.06506909,0.01739175,0.02000563,0.01100109,0.06757704
20.0,2.555e-5,0.00274585,0.00020577,6.536e-5,4.6e-6,0.00276513
21.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
