x1,x2,x3,x4,x5,x6
0.32957324,0.20588312,0.22162645,0.55281964,0.36714605,0.26767924
0.31522425,0.19562957,0.21486129,0.52028054,0.36813323,0.28107152
0.29760164,0.18970043,0.17766118,0.56902144,0.37158267,0.271062
0.2713286,0.16962946,0.15932935,0.55072919,0.38754215,0.25737648
0.24166087,0.15458247,0.15294624,0.5616009,0.37937169,0.225078
0.20992338,0.12670043,0.13063312,0.57079838,0.41139179,0.20706848
0.19753758,0.10484645,0.13041806,0.58633838,0.40146872,0.20672019
0.18507314,0.08920237,0.10278516,0.58410018,0.37673292,0.197796
0.14977217,0.0982386,0.10585989,0.58601027,0.34034503,0.15104581
0.11388087,0.10642226,0.08858011,0.53413676,0.32302379,0.11908552
0.09514357,0.10316892,0.10394871,0.5684173,0.32582995,0.11471429
0.09492831,0.12259065,0.07534828,0.61768234,0.3599121,0.11340248
0.1151428,0.15678785,0.12805699,0.67061387,0.41543456,0.12147
0.13889546,0.17863043,0.12817452,0.75346631,0.46214626,0.13365495
0.15510763,0.22296484,0.20238785,0.76017495,0.49900287,0.13714867
0.1780772,0.28700247,0.27599054,0.83155946,0.5429159,0.17321524
0.22920995,0.33919237,0.33360892,0.82056559,0.54700759,0.17160952
0.25306174,0.39265591,0.36948925,0.81142306,0.56316051,0.16499971
0.24388502,0.43436978,0.40982882,0.76484937,0.59838646,0.20480648
0.23580792,0.44062516,0.45319054,0.74801261,0.57349292,0.20750057
0.23902126,0.42835968,0.41284892,0.68205477,0.55206749,0.22358276
0.22883865,0.37230204,0.36827624,0.63367928,0.51673364,0.19271952
0.23464068,0.32065785,0.28590247,0.62399027,0.48527579,0.2049501
0.24823362,0.26901645,0.23693065,0.60149622,0.49592123,0.19162771
