x1,x2,x3,x4,x5,x6,x7
1.0,0.0,-0.0,0.0,0.0,0.0,0.0
2.0,0.0,-0.0,0.0,0.0,0.0,0.0
3.0,0.0,-0.0,0.0,0.0,0.0,0.0
4.0,0.0,-0.0,0.0,0.0,0.0,0.0
5.0,0.0,-0.0,0.0,0.0,0.0,0.0
6.0,0.0,-0.0,0.0,0.0,0.0,0.0
7.0,0.00017209,0.00043112,0.00292983,0.00309847,0.00031382,0.00023877
8.0,0.00945485,0.01075337,0.05761506,0.05740738,0.01416246,0.0102797
9.0,0.09260069,0.0869559,0.21878861,0.21439775,0.10775458,0.11239764
10.0,0.27102286,0.28200213,0.41215669,0.38852703,0.2884756,0.29635822
11.0,0.46324776,0.48166824,0.57182654,0.54319697,0.44770676,0.47766599
12.0,0.62142409,0.62361899,0.67066917,0.65956263,0.58263458,0.61109769
13.0,0.68155986,0.6772754,0.73719892,0.71270343,0.65359731,0.67334518
14.0,0.6921629,0.69679278,0.72822834,0.71089584,0.65081328,0.69635063
15.0,0.64046561,0.66986175,0.69153373,0.66558715,0.64779423,0.63720988
16.0,0.55811325,0.57496814,0.61996259,0.58547725,0.54438475,0.54999441
17.0,0.41117728,0.41673492,0.50167461,0.49237419,0.4112275,0.39738332
18.0,0.22120508,0.23367472,0.34180718,0.31799737,0.22515376,0.20388958
19.0,0.04949711,0.05538156,0.15172542,0.15050178,0.06355716,0.04146204
20.0,0.0022817,0.00354281,0.02585583,0.02755304,0.00382974,0.0022488
21.0,0.0,-0.0,0.0,0.0,0.0,0.0
22.0,0.0,-0.0,0.0,0.0,0.0,0.0
23.0,0.0,-0.0,0.0,0.0,0.0,0.0
24.0,0.0,-0.0,0.0,0.0,0.0,0.0
