x1,x2,x3,x4,x5,x6,x7
1.0,-0.0,0.54054054,-0.0,0.68852459,0.01408451,0.75714286
2.0,-0.0,0.62162162,-0.0,0.67213115,-0.0,0.74285714
3.0,-0.0,0.64864865,-0.0,0.70491803,-0.0,0.74285714
4.0,-0.0,0.67567568,-0.0,0.75409836,-0.0,0.81428571
5.0,-0.0,0.64864865,-0.0,0.7704918,-0.0,0.8
6.0,-0.0,0.64864865,-0.0,0.7704918,0.01408451,0.84285714
7.0,-0.0,0.64864865,-0.0,0.73770492,0.01408451,0.84285714
8.0,-0.0,0.62162162,-0.0,0.68852459,0.01408451,0.82857143
9.0,0.015625,0.62162162,-0.0,0.67213115,0.01408451,0.81428571
10.0,-0.0,0.62162162,-0.0,0.70491803,-0.0,0.8
11.0,-0.0,0.62162162,-0.0,0.67213115,0.02816901,0.8
12.0,-0.0,0.24324324,-0.0,0.67213115,0.01408451,0.6
13.0,-0.0,0.18918919,-0.0,0.44262295,-0.0,0.45714286
14.0,-0.0,0.02702703,-0.0,0.01639344,-0.0,0.12857143
15.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16.0,0.15625,-0.0,0.14516129,-0.0,0.11267606,-0.0
17.0,0.203125,-0.0,0.30645161,-0.0,0.18309859,-0.0
18.0,0.25,-0.0,0.41935484,-0.0,0.28169014,-0.0
19.0,0.46875,-0.0,0.4516129,-0.0,0.4084507,-0.0
20.0,0.53125,-0.0,0.5,-0.0,0.43661972,-0.0
21.0,0.609375,-0.0,0.5483871,-0.0,0.49295775,-0.0
22.0,0.671875,-0.0,0.61290323,-0.0,0.52112676,-0.0
23.0,0.6875,-0.0,0.62903226,-0.0,0.52112676,-0.0
24.0,0.671875,-0.0,0.66129032,-0.0,0.50704225,-0.0
